,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-05-05,,1,,▲,1.0,,0.0,1.0
2,2020-06-04,,1,,▲,2.0,,0.0,2.0
3,2020-06-06,,1,,▲,3.0,,0.0,3.0
4,2020-06-09,2.4,1,,▲,4.0,,0.0,4.0
5,2020-06-17,2.4,2,0.0,-,4.0,0.0,1.0,6.0
6,2020-07-30,2.4,1,0.0,-,4.0,0.0,-1.0,7.0
7,2020-08-16,1.6,1,-0.8,▼,3.0,-33.3,0.0,8.0
8,2020-08-31,201.0,1,199.4,▲,4.0,12462.5,0.0,9.0
9,2020-09-13,,1,,▲,5.0,,0.0,10.0
10,2020-09-29,560.0,1,,▲,6.0,,0.0,11.0
11,2020-10-01,590.0,5,30.0,▲,7.0,5.4,4.0,16.0
12,2020-10-03,590.0,1,0.0,-,7.0,0.0,-4.0,17.0
13,2020-10-06,390.2,1,-199.8,▼,6.0,-33.9,0.0,18.0
14,2020-10-14,190.8,1,-199.4,▼,5.0,-51.1,0.0,19.0
15,2020-10-18,31.8,7,-159.0,▼,4.0,-83.3,6.0,26.0
16,2020-10-24,1.8,4,-30.0,▼,3.0,-94.3,-3.0,30.0
17,2020-11-03,2.2,2,0.4,▲,4.0,22.2,-2.0,32.0
18,2020-11-08,2.4,2,0.2,▲,5.0,9.1,0.0,34.0
19,2020-12-27,2.8,1,0.4,▲,6.0,16.7,-1.0,35.0
20,2020-12-28,2.4,25,-0.4,▼,5.0,-14.3,24.0,60.0
21,2021-01-17,2.4,2,0.0,-,5.0,0.0,-23.0,62.0
22,2021-01-18,2.0,1,-0.4,▼,4.0,-16.7,-1.0,63.0
23,2021-01-29,2.0,3,0.0,-,4.0,0.0,2.0,66.0
24,2021-01-31,1.8,1,-0.2,▼,3.0,-10.0,-2.0,67.0
25,2021-02-09,1.4,81,-0.4,▼,2.0,-22.2,80.0,148.0
26,2021-02-10,1.4,1,0.0,-,2.0,0.0,-80.0,149.0
27,2021-03-10,1.8,1,0.4,▲,3.0,28.6,0.0,150.0
28,2021-03-15,1.8,1,0.0,-,3.0,0.0,0.0,151.0
29,2021-03-21,1.8,1,0.0,-,3.0,0.0,0.0,152.0
30,2021-04-26,1.8,6,0.0,-,3.0,0.0,5.0,158.0
31,2021-05-08,1.8,2,0.0,-,3.0,0.0,-4.0,160.0
32,2021-05-17,36.2,2,34.4,▲,4.0,1911.1,0.0,162.0
33,2021-05-20,36.2,1,0.0,-,4.0,0.0,-1.0,163.0
34,2021-05-25,36.0,1,-0.2,▼,3.0,-0.6,0.0,164.0
35,2021-05-30,36.2,1,0.2,▲,4.0,0.6,0.0,165.0
36,2021-06-01,36.2,20,0.0,-,4.0,0.0,19.0,185.0
37,2021-06-07,1.4,1,-34.8,▼,3.0,-96.1,-19.0,186.0
38,2021-06-10,1.4,1,0.0,-,3.0,0.0,0.0,187.0
39,2021-06-25,1.4,2,0.0,-,3.0,0.0,1.0,189.0
40,2021-07-01,1.4,3,0.0,-,3.0,0.0,1.0,192.0
41,2021-07-04,1.6,1,0.2,▲,4.0,14.3,-2.0,193.0
42,2021-07-08,2.0,1,0.4,▲,5.0,25.0,0.0,194.0
43,2021-08-04,2.0,1,0.0,-,5.0,0.0,0.0,195.0
44,2021-08-08,2.8,15,0.8,▲,6.0,40.0,14.0,210.0
45,2021-08-09,2.8,2,0.0,-,6.0,0.0,-13.0,212.0
46,2021-08-17,4.4,3,1.6,▲,7.0,57.1,1.0,215.0
47,2021-08-18,4.0,1,-0.4,▼,6.0,-9.1,-2.0,216.0
48,2021-08-29,5.2,2,1.2,▲,7.0,30.0,1.0,218.0
49,2021-09-02,4.4,3,-0.8,▼,6.0,-15.4,1.0,221.0
50,2021-09-03,4.2,3,-0.2,▼,5.0,-4.5,0.0,224.0
51,2021-09-19,2.4,8,-1.8,▼,4.0,-42.9,5.0,232.0
52,2021-09-29,2.8,1,0.4,▲,5.0,16.7,-7.0,233.0
