,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-10-29,213.9,4,0.0,-,0.0,0.0,0.0,0.0
1,2020-10-30,214.0,10,0.1,▲,1.0,0.0,6.0,10.0
2,2020-10-31,221.0,10,7.0,▲,2.0,3.3,0.0,20.0
3,2020-11-01,228.9,5,7.9,▲,3.0,3.6,-5.0,25.0
4,2020-11-02,226.4,6,-2.5,▼,2.0,-1.1,1.0,31.0
5,2020-11-03,225.4,6,-1.0,▼,1.0,-0.4,0.0,37.0
6,2020-11-04,225.4,3,0.0,-,1.0,0.0,-3.0,40.0
7,2020-11-05,220.9,4,-4.5,▼,0.0,-2.0,1.0,44.0
8,2020-11-06,217.9,8,-3.0,▼,-1.0,-1.4,4.0,52.0
9,2020-11-07,216.8,4,-1.1,▼,-2.0,-0.5,-4.0,56.0
10,2020-11-08,214.8,8,-2.0,▼,-3.0,-0.9,4.0,64.0
11,2020-11-09,216.8,4,2.0,▲,-2.0,0.9,-4.0,68.0
12,2020-11-10,218.8,6,2.0,▲,-1.0,0.9,2.0,74.0
13,2020-11-11,223.4,3,4.6,▲,0.0,2.1,-3.0,77.0
14,2020-11-12,223.4,3,0.0,-,0.0,0.0,0.0,80.0
15,2020-11-13,223.4,2,0.0,-,0.0,0.0,-1.0,82.0
16,2020-11-14,222.3,6,-1.1,▼,-1.0,-0.5,4.0,88.0
17,2020-11-15,218.1,7,-4.2,▼,-2.0,-1.9,1.0,95.0
18,2020-11-16,212.6,4,-5.5,▼,-3.0,-2.5,-3.0,99.0
19,2020-11-17,208.2,4,-4.4,▼,-4.0,-2.1,0.0,103.0
20,2020-11-18,209.2,5,1.0,▲,-3.0,0.5,1.0,108.0
21,2020-11-19,208.3,4,-0.9,▼,-4.0,-0.4,-1.0,112.0
22,2020-11-20,209.9,7,1.6,▲,-3.0,0.8,3.0,119.0
23,2020-11-21,209.0,7,-0.9,▼,-4.0,-0.4,0.0,126.0
24,2020-11-22,206.2,9,-2.8,▼,-5.0,-1.3,2.0,135.0
25,2020-11-23,204.7,3,-1.5,▼,-6.0,-0.7,-6.0,138.0
26,2020-11-24,196.7,4,-8.0,▼,-7.0,-3.9,1.0,142.0
27,2020-11-25,194.3,7,-2.4,▼,-8.0,-1.2,3.0,149.0
28,2020-11-26,191.2,3,-3.1,▼,-9.0,-1.6,-4.0,152.0
29,2020-11-27,193.5,10,2.3,▲,-8.0,1.2,7.0,162.0
30,2020-11-28,192.0,6,-1.5,▼,-9.0,-0.8,-4.0,168.0
31,2020-11-29,199.4,3,7.4,▲,-8.0,3.9,-3.0,171.0
32,2020-11-30,204.4,5,5.0,▲,-7.0,2.5,2.0,176.0
33,2020-12-01,211.4,3,7.0,▲,-6.0,3.4,-2.0,179.0
34,2020-12-02,208.3,3,-3.1,▼,-7.0,-1.5,0.0,182.0
35,2020-12-03,211.3,5,3.0,▲,-6.0,1.4,2.0,187.0
36,2020-12-04,209.9,2,-1.4,▼,-7.0,-0.7,-3.0,189.0
37,2020-12-05,208.9,2,-1.0,▼,-8.0,-0.5,0.0,191.0
38,2020-12-06,206.4,4,-2.5,▼,-9.0,-1.2,2.0,195.0
39,2020-12-07,214.0,3,7.6,▲,-8.0,3.7,-1.0,198.0
40,2020-12-09,203.3,3,-10.7,▼,-9.0,-5.0,0.0,201.0
41,2020-12-10,201.3,3,-2.0,▼,-10.0,-1.0,0.0,204.0
42,2020-12-11,196.3,3,-5.0,▼,-11.0,-2.5,0.0,207.0
43,2020-12-12,198.8,5,2.5,▲,-10.0,1.3,2.0,212.0
44,2020-12-13,208.2,3,9.4,▲,-9.0,4.7,-2.0,215.0
45,2020-12-14,223.9,2,15.7,▲,-8.0,7.5,-1.0,217.0
46,2020-12-15,232.9,4,9.0,▲,-7.0,4.0,2.0,221.0
47,2020-12-16,241.0,6,8.1,▲,-6.0,3.5,2.0,227.0
48,2020-12-17,234.0,8,-7.0,▼,-7.0,-2.9,2.0,235.0
49,2020-12-18,222.1,4,-11.9,▼,-8.0,-5.1,-4.0,239.0
50,2020-12-19,206.1,4,-16.0,▼,-9.0,-7.2,0.0,243.0
51,2020-12-20,193.2,8,-12.9,▼,-10.0,-6.3,4.0,251.0
52,2020-12-21,185.0,9,-8.2,▼,-11.0,-4.2,1.0,260.0
53,2020-12-22,187.5,4,2.5,▲,-10.0,1.4,-5.0,264.0
54,2020-12-23,175.0,3,-12.5,▼,-11.0,-6.7,-1.0,267.0
55,2020-12-24,186.0,5,11.0,▲,-10.0,6.3,2.0,272.0
56,2020-12-25,191.9,4,5.9,▲,-9.0,3.2,-1.0,276.0
57,2020-12-26,198.5,2,6.6,▲,-8.0,3.4,-2.0,278.0
58,2020-12-27,200.0,5,1.5,▲,-7.0,0.8,3.0,283.0
59,2020-12-28,217.5,5,17.5,▲,-6.0,8.8,0.0,288.0
60,2020-12-29,208.4,4,-9.1,▼,-7.0,-4.2,-1.0,292.0
61,2020-12-30,206.9,7,-1.5,▼,-8.0,-0.7,3.0,299.0
62,2020-12-31,209.4,3,2.5,▲,-7.0,1.2,-4.0,302.0
63,2021-01-01,209.4,4,0.0,-,-7.0,0.0,1.0,306.0
64,2021-01-02,203.4,4,-6.0,▼,-8.0,-2.9,0.0,310.0
65,2021-01-03,216.0,5,12.6,▲,-7.0,6.2,1.0,315.0
66,2021-01-04,223.5,3,7.5,▲,-6.0,3.5,-2.0,318.0
67,2021-01-05,227.0,2,3.5,▲,-5.0,1.6,-1.0,320.0
68,2021-01-06,232.0,3,5.0,▲,-4.0,2.2,1.0,323.0
69,2021-01-07,243.5,4,11.5,▲,-3.0,5.0,1.0,327.0
70,2021-01-08,243.0,2,-0.5,▼,-4.0,-0.2,-2.0,329.0
71,2021-01-09,247.8,3,4.8,▲,-3.0,2.0,1.0,332.0
72,2021-01-10,247.8,5,0.0,-,-3.0,0.0,2.0,337.0
73,2021-01-11,243.8,3,-4.0,▼,-4.0,-1.6,-2.0,340.0
74,2021-01-12,241.3,5,-2.5,▼,-5.0,-1.0,2.0,345.0
75,2021-01-13,230.8,2,-10.5,▼,-6.0,-4.4,-3.0,347.0
76,2021-01-14,212.0,3,-18.8,▼,-7.0,-8.1,1.0,350.0
77,2021-01-15,189.5,11,-22.5,▼,-8.0,-10.6,8.0,361.0
78,2021-01-16,177.0,14,-12.5,▼,-9.0,-6.6,3.0,375.0
79,2021-01-17,159.5,11,-17.5,▼,-10.0,-9.9,-3.0,386.0
80,2021-01-18,161.0,4,1.5,▲,-9.0,0.9,-7.0,390.0
81,2021-01-19,148.0,3,-13.0,▼,-10.0,-8.1,-1.0,393.0
82,2021-01-20,141.0,1,-7.0,▼,-11.0,-4.7,-2.0,394.0
83,2021-01-21,141.4,3,0.4,▲,-10.0,0.3,2.0,397.0
84,2021-01-22,139.9,3,-1.5,▼,-11.0,-1.1,0.0,400.0
85,2021-01-23,132.9,5,-7.0,▼,-12.0,-5.0,2.0,405.0
86,2021-01-24,138.9,6,6.0,▲,-11.0,4.5,1.0,411.0
87,2021-01-25,148.8,7,9.9,▲,-10.0,7.1,1.0,418.0
88,2021-01-26,148.8,3,0.0,-,-10.0,0.0,-4.0,421.0
89,2021-01-27,148.3,3,-0.5,▼,-11.0,-0.3,0.0,424.0
90,2021-01-28,149.8,3,1.5,▲,-10.0,1.0,0.0,427.0
91,2021-01-29,147.8,5,-2.0,▼,-11.0,-1.3,2.0,432.0
92,2021-01-30,148.9,5,1.1,▲,-10.0,0.7,0.0,437.0
93,2021-01-31,146.9,5,-2.0,▼,-11.0,-1.3,0.0,442.0
94,2021-02-01,150.4,4,3.5,▲,-10.0,2.4,-1.0,446.0
95,2021-02-02,152.4,2,2.0,▲,-9.0,1.3,-2.0,448.0
96,2021-02-03,159.9,2,7.5,▲,-8.0,4.9,0.0,450.0
97,2021-02-04,159.9,5,0.0,-,-8.0,0.0,3.0,455.0
98,2021-02-05,159.0,2,-0.9,▼,-9.0,-0.6,-3.0,457.0
99,2021-02-06,157.0,4,-2.0,▼,-10.0,-1.3,2.0,461.0
