,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-05-09,,31,0.0,-,0.0,0.0,0.0,0.0
1,2020-05-10,,35,,▲,1.0,,4.0,35.0
2,2020-05-11,,10,,▲,2.0,,-25.0,45.0
3,2020-05-12,,4,,▲,3.0,,-6.0,49.0
4,2020-05-13,36.4,4,,▲,4.0,,0.0,53.0
5,2020-05-14,34.4,3,-2.0,▼,3.0,-5.5,-1.0,56.0
6,2020-05-15,32.4,2,-2.0,▼,2.0,-5.8,-1.0,58.0
7,2020-05-16,31.9,1,-0.5,▼,1.0,-1.5,-1.0,59.0
8,2020-05-17,33.5,2,1.6,▲,2.0,5.0,1.0,61.0
9,2020-05-18,35.5,1,2.0,▲,3.0,6.0,-1.0,62.0
10,2020-05-19,34.5,1,-1.0,▼,2.0,-2.8,0.0,63.0
11,2020-05-21,35.5,3,1.0,▲,3.0,2.9,2.0,66.0
12,2020-05-22,34.5,1,-1.0,▼,2.0,-2.8,-2.0,67.0
13,2020-05-23,33.0,1,-1.5,▼,1.0,-4.3,0.0,68.0
14,2020-05-24,32.0,1,-1.0,▼,0.0,-3.0,0.0,69.0
15,2020-05-25,32.5,2,0.5,▲,1.0,1.6,1.0,71.0
16,2020-05-27,33.5,1,1.0,▲,2.0,3.1,-1.0,72.0
17,2020-05-28,33.5,2,0.0,-,2.0,0.0,1.0,74.0
18,2020-05-30,35.5,1,2.0,▲,3.0,6.0,-1.0,75.0
19,2020-05-31,33.7,2,-1.8,▼,2.0,-5.1,1.0,77.0
20,2020-06-02,32.2,1,-1.5,▼,1.0,-4.5,-1.0,78.0
21,2020-06-03,32.2,1,0.0,-,1.0,0.0,0.0,79.0
22,2020-06-04,37.2,1,5.0,▲,2.0,15.5,0.0,80.0
23,2020-06-05,37.0,1,-0.2,▼,1.0,-0.5,0.0,81.0
24,2020-06-06,36.8,1,-0.2,▼,0.0,-0.5,0.0,82.0
25,2020-06-07,38.2,2,1.4,▲,1.0,3.8,1.0,84.0
26,2020-06-08,39.6,3,1.4,▲,2.0,3.7,1.0,87.0
27,2020-06-09,39.6,1,0.0,-,2.0,0.0,-2.0,88.0
28,2020-06-10,42.4,3,2.8,▲,3.0,7.1,2.0,91.0
29,2020-06-11,44.4,1,2.0,▲,4.0,4.7,-2.0,92.0
30,2020-06-12,43.0,1,-1.4,▼,3.0,-3.2,0.0,93.0
31,2020-06-13,39.6,1,-3.4,▼,2.0,-7.9,0.0,94.0
32,2020-06-14,36.1,4,-3.5,▼,1.0,-8.8,3.0,98.0
33,2020-06-20,33.0,3,-3.1,▼,0.0,-8.6,-1.0,101.0
34,2020-06-23,33.0,2,0.0,-,0.0,0.0,-1.0,103.0
35,2020-06-25,32.6,1,-0.4,▼,-1.0,-1.2,-1.0,104.0
36,2020-06-26,35.6,1,3.0,▲,0.0,9.2,0.0,105.0
37,2020-06-28,37.1,1,1.5,▲,1.0,4.2,0.0,106.0
38,2020-06-30,41.6,1,4.5,▲,2.0,12.1,0.0,107.0
39,2020-07-01,44.1,2,2.5,▲,3.0,6.0,1.0,109.0
40,2020-07-06,51.5,1,7.4,▲,4.0,16.8,-1.0,110.0
41,2020-07-11,51.8,4,0.3,▲,5.0,0.6,3.0,114.0
42,2020-07-12,52.7,3,0.9,▲,6.0,1.7,-1.0,117.0
43,2020-07-15,52.2,2,-0.5,▼,5.0,-0.9,-1.0,119.0
44,2020-07-16,54.5,1,2.3,▲,6.0,4.4,-1.0,120.0
45,2020-07-17,54.5,1,0.0,-,6.0,0.0,0.0,121.0
46,2020-07-18,54.0,1,-0.5,▼,5.0,-0.9,0.0,122.0
47,2020-07-19,55.1,1,1.1,▲,6.0,2.0,0.0,123.0
48,2020-07-20,53.6,1,-1.5,▼,5.0,-2.7,0.0,124.0
49,2020-07-22,53.8,1,0.2,▲,6.0,0.4,0.0,125.0
50,2020-07-23,53.8,1,0.0,-,6.0,0.0,0.0,126.0
51,2020-07-31,59.0,1,5.2,▲,7.0,9.7,0.0,127.0
52,2020-08-02,62.4,3,3.4,▲,8.0,5.8,2.0,130.0
53,2020-08-07,62.9,2,0.5,▲,9.0,0.8,-1.0,132.0
54,2020-08-08,63.9,1,1.0,▲,10.0,1.6,-1.0,133.0
55,2020-08-10,55.9,2,-8.0,▼,9.0,-12.5,1.0,135.0
56,2020-08-12,51.4,2,-4.5,▼,8.0,-8.1,0.0,137.0
57,2020-08-13,51.5,2,0.1,▲,9.0,0.2,0.0,139.0
58,2020-08-14,53.6,2,2.1,▲,10.0,4.1,0.0,141.0
59,2020-08-16,51.6,2,-2.0,▼,9.0,-3.7,0.0,143.0
60,2020-08-17,59.1,2,7.5,▲,10.0,14.5,0.0,145.0
61,2020-08-18,59.6,1,0.5,▲,11.0,0.8,-1.0,146.0
62,2020-08-19,58.1,3,-1.5,▼,10.0,-2.5,2.0,149.0
63,2020-08-20,59.5,4,1.4,▲,11.0,2.4,1.0,153.0
64,2020-08-21,63.5,1,4.0,▲,12.0,6.7,-3.0,154.0
65,2020-08-23,64.5,3,1.0,▲,13.0,1.6,2.0,157.0
66,2020-08-24,69.5,1,5.0,▲,14.0,7.8,-2.0,158.0
67,2020-09-03,73.5,1,4.0,▲,15.0,5.8,0.0,159.0
68,2020-09-04,74.9,2,1.4,▲,16.0,1.9,1.0,161.0
69,2020-09-05,73.9,1,-1.0,▼,15.0,-1.3,-1.0,162.0
70,2020-09-12,76.4,1,2.5,▲,16.0,3.4,0.0,163.0
71,2020-09-13,74.4,1,-2.0,▼,15.0,-2.6,0.0,164.0
72,2020-09-21,74.4,1,0.0,-,15.0,0.0,0.0,165.0
73,2020-09-27,76.0,1,1.6,▲,16.0,2.2,0.0,166.0
74,2020-09-28,76.0,1,0.0,-,16.0,0.0,0.0,167.0
75,2020-10-01,76.0,1,0.0,-,16.0,0.0,0.0,168.0
76,2020-10-05,79.6,1,3.6,▲,17.0,4.7,0.0,169.0
