,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-27,29.7,3,0.0,-,0.0,0.0
1,2020-04-28,29.2,1,-0.5,▼,-1.0,-1.7
2,2020-04-29,31.2,1,2.0,▲,0.0,6.8
3,2020-04-30,32.2,6,1.0,▲,1.0,3.2
4,2020-05-01,32.5,6,0.3,▲,2.0,0.9
5,2020-05-02,32.5,2,0.0,-,2.0,0.0
6,2020-05-03,32.5,2,0.0,-,2.0,0.0
7,2020-05-04,32.8,2,0.3,▲,3.0,0.9
8,2020-05-07,33.1,1,0.3,▲,4.0,0.9
9,2020-05-08,33.0,3,-0.1,▼,3.0,-0.3
10,2020-05-09,33.0,3,0.0,-,3.0,0.0
11,2020-05-10,33.9,3,0.9,▲,4.0,2.7
12,2020-05-11,33.6,2,-0.3,▼,3.0,-0.9
13,2020-05-13,32.8,1,-0.8,▼,2.0,-2.4
14,2020-05-14,33.4,2,0.6,▲,3.0,1.8
15,2020-05-15,34.4,1,1.0,▲,4.0,3.0
16,2020-05-16,34.5,4,0.1,▲,5.0,0.3
17,2020-05-19,32.5,2,-2.0,▼,4.0,-5.8
18,2020-05-20,32.5,2,0.0,-,4.0,0.0
19,2020-05-21,31.0,5,-1.5,▼,3.0,-4.6
20,2020-05-22,30.5,18,-0.5,▼,2.0,-1.6
21,2020-05-23,29.5,19,-1.0,▼,1.0,-3.3
22,2020-05-24,30.4,13,0.9,▲,2.0,3.1
23,2020-05-25,29.2,3,-1.2,▼,1.0,-3.9
24,2020-05-26,30.0,7,0.8,▲,2.0,2.7
25,2020-05-27,30.5,4,0.5,▲,3.0,1.7
26,2020-05-28,31.5,1,1.0,▲,4.0,3.3
27,2020-05-29,28.4,5,-3.1,▼,3.0,-9.8
28,2020-05-30,27.3,3,-1.1,▼,2.0,-3.9
29,2020-05-31,25.3,3,-2.0,▼,1.0,-7.3
30,2020-06-01,24.8,3,-0.5,▼,0.0,-2.0
31,2020-06-02,21.8,1,-3.0,▼,-1.0,-12.1
32,2020-06-03,25.0,3,3.2,▲,0.0,14.7
33,2020-06-04,26.3,1,1.3,▲,1.0,5.2
34,2020-06-05,27.5,1,1.2,▲,2.0,4.6
35,2020-06-06,26.5,2,-1.0,▼,1.0,-3.6
36,2020-06-07,27.5,6,1.0,▲,2.0,3.8
37,2020-06-08,29.5,1,2.0,▲,3.0,7.3
38,2020-06-09,28.5,4,-1.0,▼,2.0,-3.4
39,2020-06-11,28.5,1,0.0,-,2.0,0.0
40,2020-06-12,29.3,2,0.8,▲,3.0,2.8
41,2020-06-13,30.2,5,0.9,▲,4.0,3.1
42,2020-06-14,25.9,2,-4.3,▼,3.0,-14.2
43,2020-06-15,26.9,1,1.0,▲,4.0,3.9
44,2020-06-16,25.4,2,-1.5,▼,3.0,-5.6
45,2020-06-17,23.9,1,-1.5,▼,2.0,-5.9
46,2020-06-18,21.7,4,-2.2,▼,1.0,-9.2
47,2020-06-19,24.8,1,3.1,▲,2.0,14.3
48,2020-06-21,23.7,3,-1.1,▼,1.0,-4.4
49,2020-06-22,24.0,1,0.3,▲,2.0,1.3
50,2020-06-23,27.1,2,3.1,▲,3.0,12.9
51,2020-06-25,29.9,3,2.8,▲,4.0,10.3
52,2020-06-26,29.9,1,0.0,-,4.0,0.0
53,2020-06-27,31.0,3,1.1,▲,5.0,3.7
54,2020-06-28,30.2,1,-0.8,▼,4.0,-2.6
55,2020-06-29,30.8,2,0.6,▲,5.0,2.0
56,2020-07-02,30.3,1,-0.5,▼,4.0,-1.6
57,2020-07-03,29.5,2,-0.8,▼,3.0,-2.6
58,2020-07-04,30.5,2,1.0,▲,4.0,3.4
59,2020-07-05,31.3,2,0.8,▲,5.0,2.6
60,2020-07-06,28.7,5,-2.6,▼,4.0,-8.3
61,2020-07-07,32.7,1,4.0,▲,5.0,13.9
62,2020-07-08,30.7,1,-2.0,▼,4.0,-6.1
63,2020-07-09,31.7,1,1.0,▲,5.0,3.3
64,2020-07-10,33.9,1,2.2,▲,6.0,6.9
65,2020-07-11,33.0,1,-0.9,▼,5.0,-2.7
66,2020-07-12,28.5,3,-4.5,▼,4.0,-13.6
67,2020-07-13,31.5,3,3.0,▲,5.0,10.5
68,2020-07-14,29.0,3,-2.5,▼,4.0,-7.9
69,2020-07-15,27.9,3,-1.1,▼,3.0,-3.8
70,2020-07-16,28.2,2,0.3,▲,4.0,1.1
71,2020-07-18,25.7,2,-2.5,▼,3.0,-8.9
72,2020-07-19,25.1,3,-0.6,▼,2.0,-2.3
73,2020-07-23,26.5,2,1.4,▲,3.0,5.6
74,2020-07-24,27.5,3,1.0,▲,4.0,3.8
75,2020-07-25,31.0,1,3.5,▲,5.0,12.7
76,2020-07-26,38.0,1,7.0,▲,6.0,22.6
77,2020-07-27,39.1,2,1.1,▲,7.0,2.9
78,2020-07-28,38.6,2,-0.5,▼,6.0,-1.3
79,2020-07-29,36.7,1,-1.9,▼,5.0,-4.9
80,2020-07-30,36.1,2,-0.6,▼,4.0,-1.6
81,2020-07-31,34.1,1,-2.0,▼,3.0,-5.5
82,2020-08-02,33.7,8,-0.4,▼,2.0,-1.2
83,2020-08-03,34.9,1,1.2,▲,3.0,3.6
84,2020-08-04,36.0,3,1.1,▲,4.0,3.2
85,2020-08-05,35.8,2,-0.2,▼,3.0,-0.6
86,2020-08-06,33.7,3,-2.1,▼,2.0,-5.9
87,2020-08-07,34.9,3,1.2,▲,3.0,3.6
