,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-10-29,163.9,6,0.0,-,0.0,0.0,0.0,0.0
1,2020-10-30,164.0,2,0.1,▲,1.0,0.1,-4.0,2.0
2,2020-10-31,163.2,6,-0.8,▼,0.0,-0.5,4.0,8.0
3,2020-11-01,167.0,4,3.8,▲,1.0,2.3,-2.0,12.0
4,2020-11-02,169.0,8,2.0,▲,2.0,1.2,4.0,20.0
5,2020-11-03,170.5,1,1.5,▲,3.0,0.9,-7.0,21.0
6,2020-11-04,170.5,1,0.0,-,3.0,0.0,0.0,22.0
7,2020-11-05,167.8,7,-2.7,▼,2.0,-1.6,6.0,29.0
8,2020-11-06,164.8,3,-3.0,▼,1.0,-1.8,-4.0,32.0
9,2020-11-07,162.8,3,-2.0,▼,0.0,-1.2,0.0,35.0
10,2020-11-08,160.8,13,-2.0,▼,-1.0,-1.2,10.0,48.0
11,2020-11-09,162.7,7,1.9,▲,0.0,1.2,-6.0,55.0
12,2020-11-10,162.7,5,0.0,-,0.0,0.0,-2.0,60.0
13,2020-11-11,160.4,3,-2.3,▼,-1.0,-1.4,-2.0,63.0
14,2020-11-12,162.9,6,2.5,▲,0.0,1.6,3.0,69.0
15,2020-11-13,165.8,7,2.9,▲,1.0,1.8,1.0,76.0
16,2020-11-14,169.2,7,3.4,▲,2.0,2.1,0.0,83.0
17,2020-11-15,167.2,3,-2.0,▼,1.0,-1.2,-4.0,86.0
18,2020-11-16,159.2,7,-8.0,▼,0.0,-4.8,4.0,93.0
19,2020-11-17,161.7,4,2.5,▲,1.0,1.6,-3.0,97.0
20,2020-11-18,159.8,7,-1.9,▼,0.0,-1.2,3.0,104.0
21,2020-11-19,156.0,2,-3.8,▼,-1.0,-2.4,-5.0,106.0
22,2020-11-20,153.5,7,-2.5,▼,-2.0,-1.6,5.0,113.0
23,2020-11-21,157.0,11,3.5,▲,-1.0,2.3,4.0,124.0
24,2020-11-22,156.0,11,-1.0,▼,-2.0,-0.6,0.0,135.0
25,2020-11-23,158.5,8,2.5,▲,-1.0,1.6,-3.0,143.0
26,2020-11-24,160.0,13,1.5,▲,0.0,0.9,5.0,156.0
27,2020-11-25,164.9,6,4.9,▲,1.0,3.1,-7.0,162.0
28,2020-11-26,168.4,11,3.5,▲,2.0,2.1,5.0,173.0
29,2020-11-27,165.4,7,-3.0,▼,1.0,-1.8,-4.0,180.0
30,2020-11-28,165.3,8,-0.1,▼,0.0,-0.1,1.0,188.0
31,2020-11-29,167.3,10,2.0,▲,1.0,1.2,2.0,198.0
32,2020-11-30,168.3,12,1.0,▲,2.0,0.6,2.0,210.0
33,2020-12-01,168.8,8,0.5,▲,3.0,0.3,-4.0,218.0
34,2020-12-02,171.3,7,2.5,▲,4.0,1.5,-1.0,225.0
35,2020-12-03,173.9,3,2.6,▲,5.0,1.5,-4.0,228.0
36,2020-12-04,174.4,9,0.5,▲,6.0,0.3,6.0,237.0
37,2020-12-05,174.0,8,-0.4,▼,5.0,-0.2,-1.0,245.0
38,2020-12-06,173.5,6,-0.5,▼,4.0,-0.3,-2.0,251.0
39,2020-12-07,175.2,10,1.7,▲,5.0,1.0,4.0,261.0
40,2020-12-08,174.2,9,-1.0,▼,4.0,-0.6,-1.0,270.0
41,2020-12-09,175.7,7,1.5,▲,5.0,0.9,-2.0,277.0
42,2020-12-10,177.1,4,1.4,▲,6.0,0.8,-3.0,281.0
43,2020-12-11,178.6,13,1.5,▲,7.0,0.8,9.0,294.0
44,2020-12-12,182.9,11,4.3,▲,8.0,2.4,-2.0,305.0
45,2020-12-13,185.4,20,2.5,▲,9.0,1.4,9.0,325.0
46,2020-12-14,183.4,10,-2.0,▼,8.0,-1.1,-10.0,335.0
47,2020-12-15,186.5,7,3.1,▲,9.0,1.7,-3.0,342.0
