,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-10-29,187.5,11,0.0,-,0.0,0.0,0.0,0.0
1,2020-10-30,190.0,16,2.5,▲,1.0,1.3,5.0,16.0
2,2020-10-31,190.0,16,0.0,-,1.0,0.0,0.0,32.0
3,2020-11-01,190.5,15,0.5,▲,2.0,0.3,-1.0,47.0
4,2020-11-02,190.0,8,-0.5,▼,1.0,-0.3,-7.0,55.0
5,2020-11-03,190.5,16,0.5,▲,2.0,0.3,8.0,71.0
6,2020-11-04,189.0,9,-1.5,▼,1.0,-0.8,-7.0,80.0
7,2020-11-05,189.9,9,0.9,▲,2.0,0.5,0.0,89.0
8,2020-11-06,189.9,13,0.0,-,2.0,0.0,4.0,102.0
9,2020-11-07,191.8,30,1.9,▲,3.0,1.0,17.0,132.0
10,2020-11-08,190.8,19,-1.0,▼,2.0,-0.5,-11.0,151.0
11,2020-11-09,190.3,14,-0.5,▼,1.0,-0.3,-5.0,165.0
12,2020-11-10,187.4,12,-2.9,▼,0.0,-1.5,-2.0,177.0
13,2020-11-11,187.4,10,0.0,-,0.0,0.0,-2.0,187.0
14,2020-11-12,184.8,11,-2.6,▼,-1.0,-1.4,1.0,198.0
15,2020-11-13,181.5,21,-3.3,▼,-2.0,-1.8,10.0,219.0
16,2020-11-14,180.5,23,-1.0,▼,-3.0,-0.6,2.0,242.0
17,2020-11-15,183.0,15,2.5,▲,-2.0,1.4,-8.0,257.0
18,2020-11-16,183.5,15,0.5,▲,-1.0,0.3,0.0,272.0
19,2020-11-17,185.2,4,1.7,▲,0.0,0.9,-11.0,276.0
20,2020-11-18,188.0,14,2.8,▲,1.0,1.5,10.0,290.0
21,2020-11-19,189.4,8,1.4,▲,2.0,0.7,-6.0,298.0
22,2020-11-20,191.3,10,1.9,▲,3.0,1.0,2.0,308.0
23,2020-11-21,187.6,13,-3.7,▼,2.0,-1.9,3.0,321.0
24,2020-11-22,186.6,14,-1.0,▼,1.0,-0.5,1.0,335.0
25,2020-11-23,182.6,10,-4.0,▼,0.0,-2.1,-4.0,345.0
26,2020-11-24,181.2,13,-1.4,▼,-1.0,-0.8,3.0,358.0
27,2020-11-25,177.8,9,-3.4,▼,-2.0,-1.9,-4.0,367.0
