,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,77.9,26,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,77.5,29,-0.4,▼,-1.0,-0.5,3.0,29.0
2,2020-04-29,78.5,22,1.0,▲,0.0,1.3,-7.0,51.0
3,2020-04-30,78.9,30,0.4,▲,1.0,0.5,8.0,81.0
4,2020-05-01,78.9,25,0.0,-,1.0,0.0,-5.0,106.0
5,2020-05-02,78.3,32,-0.6,▼,0.0,-0.8,7.0,138.0
6,2020-05-03,79.3,39,1.0,▲,1.0,1.3,7.0,177.0
7,2020-05-04,78.8,35,-0.5,▼,0.0,-0.6,-4.0,212.0
8,2020-05-05,78.8,21,0.0,-,0.0,0.0,-14.0,233.0
9,2020-05-06,78.8,18,0.0,-,0.0,0.0,-3.0,251.0
10,2020-05-07,78.9,20,0.1,▲,1.0,0.1,2.0,271.0
11,2020-05-08,78.9,26,0.0,-,1.0,0.0,6.0,297.0
12,2020-05-09,80.4,50,1.5,▲,2.0,1.9,24.0,347.0
13,2020-05-10,81.9,30,1.5,▲,3.0,1.9,-20.0,377.0
14,2020-05-11,83.9,20,2.0,▲,4.0,2.4,-10.0,397.0
15,2020-05-12,86.3,22,2.4,▲,5.0,2.9,2.0,419.0
16,2020-05-13,87.2,16,0.9,▲,6.0,1.0,-6.0,435.0
17,2020-05-14,86.7,32,-0.5,▼,5.0,-0.6,16.0,467.0
18,2020-05-15,86.2,30,-0.5,▼,4.0,-0.6,-2.0,497.0
19,2020-05-16,86.0,14,-0.2,▼,3.0,-0.2,-16.0,511.0
20,2020-05-17,85.6,27,-0.4,▼,2.0,-0.5,13.0,538.0
21,2020-05-18,85.2,27,-0.4,▼,1.0,-0.5,0.0,565.0
22,2020-05-19,86.1,25,0.9,▲,2.0,1.1,-2.0,590.0
23,2020-05-20,86.7,16,0.6,▲,3.0,0.7,-9.0,606.0
24,2020-05-21,85.4,20,-1.3,▼,2.0,-1.5,4.0,626.0
25,2020-05-22,83.7,11,-1.7,▼,1.0,-2.0,-9.0,637.0
26,2020-05-23,84.6,35,0.9,▲,2.0,1.1,24.0,672.0
27,2020-05-24,83.2,28,-1.4,▼,1.0,-1.7,-7.0,700.0
28,2020-05-25,83.2,19,0.0,-,1.0,0.0,-9.0,719.0
29,2020-05-26,84.1,14,0.9,▲,2.0,1.1,-5.0,733.0
30,2020-05-27,85.8,19,1.7,▲,3.0,2.0,5.0,752.0
31,2020-05-28,85.9,25,0.1,▲,4.0,0.1,6.0,777.0
32,2020-05-29,87.3,22,1.4,▲,5.0,1.6,-3.0,799.0
33,2020-05-30,87.6,16,0.3,▲,6.0,0.3,-6.0,815.0
34,2020-05-31,87.1,27,-0.5,▼,5.0,-0.6,11.0,842.0
35,2020-06-01,84.6,14,-2.5,▼,4.0,-2.9,-13.0,856.0
36,2020-06-02,83.6,11,-1.0,▼,3.0,-1.2,-3.0,867.0
37,2020-06-03,82.1,22,-1.5,▼,2.0,-1.8,11.0,889.0
38,2020-06-04,80.7,17,-1.4,▼,1.0,-1.7,-5.0,906.0
39,2020-06-05,81.8,20,1.1,▲,2.0,1.4,3.0,926.0
40,2020-06-06,84.3,29,2.5,▲,3.0,3.1,9.0,955.0
41,2020-06-07,85.7,20,1.4,▲,4.0,1.7,-9.0,975.0
42,2020-06-08,86.8,20,1.1,▲,5.0,1.3,0.0,995.0
43,2020-06-09,88.2,22,1.4,▲,6.0,1.6,2.0,1017.0
44,2020-06-10,87.2,24,-1.0,▼,5.0,-1.1,2.0,1041.0
45,2020-06-11,86.7,11,-0.5,▼,4.0,-0.6,-13.0,1052.0
46,2020-06-12,82.8,18,-3.9,▼,3.0,-4.5,7.0,1070.0
47,2020-06-13,82.3,14,-0.5,▼,2.0,-0.6,-4.0,1084.0
48,2020-06-14,82.0,20,-0.3,▼,1.0,-0.4,6.0,1104.0
49,2020-06-15,80.4,15,-1.6,▼,0.0,-2.0,-5.0,1119.0
50,2020-06-16,80.8,16,0.4,▲,1.0,0.5,1.0,1135.0
51,2020-06-17,84.2,10,3.4,▲,2.0,4.2,-6.0,1145.0
52,2020-06-18,83.6,19,-0.6,▼,1.0,-0.7,9.0,1164.0
53,2020-06-19,82.0,13,-1.6,▼,0.0,-1.9,-6.0,1177.0
54,2020-06-20,81.6,17,-0.4,▼,-1.0,-0.5,4.0,1194.0
55,2020-06-21,81.4,20,-0.2,▼,-2.0,-0.2,3.0,1214.0
56,2020-06-22,79.5,18,-1.9,▼,-3.0,-2.3,-2.0,1232.0
57,2020-06-23,80.4,11,0.9,▲,-2.0,1.1,-7.0,1243.0
58,2020-06-24,82.5,15,2.1,▲,-1.0,2.6,4.0,1258.0
59,2020-06-25,85.4,17,2.9,▲,0.0,3.5,2.0,1275.0
60,2020-06-26,83.2,13,-2.2,▼,-1.0,-2.6,-4.0,1288.0
61,2020-06-27,85.7,19,2.5,▲,0.0,3.0,6.0,1307.0
62,2020-06-28,84.6,9,-1.1,▼,-1.0,-1.3,-10.0,1316.0
63,2020-06-29,82.6,18,-2.0,▼,-2.0,-2.4,9.0,1334.0
64,2020-06-30,79.6,16,-3.0,▼,-3.0,-3.6,-2.0,1350.0
65,2020-07-01,79.6,12,0.0,-,-3.0,0.0,-4.0,1362.0
66,2020-07-02,76.9,15,-2.7,▼,-4.0,-3.4,3.0,1377.0
67,2020-07-03,67.2,94,-9.7,▼,-5.0,-12.6,79.0,1471.0
68,2020-07-04,57.6,46,-9.6,▼,-6.0,-14.3,-48.0,1517.0
69,2020-07-05,49.2,59,-8.4,▼,-7.0,-14.6,13.0,1576.0
70,2020-07-06,40.2,31,-9.0,▼,-8.0,-18.3,-28.0,1607.0
71,2020-07-07,31.4,19,-8.8,▼,-9.0,-21.9,-12.0,1626.0
72,2020-07-08,31.4,25,0.0,-,-9.0,0.0,6.0,1651.0
