,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,100.5,18,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,101.8,21,1.3,▲,1.0,1.3,3.0,21.0
2,2020-04-29,105.2,32,3.4,▲,2.0,3.3,11.0,53.0
3,2020-04-30,106.7,22,1.5,▲,3.0,1.4,-10.0,75.0
4,2020-05-01,106.7,34,0.0,-,3.0,0.0,12.0,109.0
5,2020-05-02,105.7,28,-1.0,▼,2.0,-0.9,-6.0,137.0
6,2020-05-03,107.3,18,1.6,▲,3.0,1.5,-10.0,155.0
7,2020-05-04,106.9,18,-0.4,▼,2.0,-0.4,0.0,173.0
8,2020-05-05,108.3,29,1.4,▲,3.0,1.3,11.0,202.0
9,2020-05-06,109.3,25,1.0,▲,4.0,0.9,-4.0,227.0
10,2020-05-07,111.3,18,2.0,▲,5.0,1.8,-7.0,245.0
11,2020-05-08,111.2,19,-0.1,▼,4.0,-0.1,1.0,264.0
12,2020-05-09,112.7,34,1.5,▲,5.0,1.3,15.0,298.0
13,2020-05-10,114.7,29,2.0,▲,6.0,1.8,-5.0,327.0
14,2020-05-11,115.2,27,0.5,▲,7.0,0.4,-2.0,354.0
15,2020-05-12,116.1,40,0.9,▲,8.0,0.8,13.0,394.0
16,2020-05-13,119.7,21,3.6,▲,9.0,3.1,-19.0,415.0
17,2020-05-14,120.2,27,0.5,▲,10.0,0.4,6.0,442.0
18,2020-05-15,119.8,16,-0.4,▼,9.0,-0.3,-11.0,458.0
19,2020-05-16,119.8,23,0.0,-,9.0,0.0,7.0,481.0
20,2020-05-17,120.9,25,1.1,▲,10.0,0.9,2.0,506.0
21,2020-05-18,119.4,17,-1.5,▼,9.0,-1.2,-8.0,523.0
22,2020-05-19,118.4,25,-1.0,▼,8.0,-0.8,8.0,548.0
23,2020-05-20,118.9,15,0.5,▲,9.0,0.4,-10.0,563.0
24,2020-05-21,117.9,19,-1.0,▼,8.0,-0.8,4.0,582.0
25,2020-05-22,99.5,158,-18.4,▼,7.0,-15.6,139.0,740.0
26,2020-05-23,81.6,140,-17.9,▼,6.0,-18.0,-18.0,880.0
27,2020-05-24,64.6,106,-17.0,▼,5.0,-20.8,-34.0,986.0
28,2020-05-25,46.1,44,-18.5,▼,4.0,-28.6,-62.0,1030.0
29,2020-05-26,30.3,22,-15.8,▼,3.0,-34.3,-22.0,1052.0
30,2020-05-27,30.6,38,0.3,▲,4.0,1.0,16.0,1090.0
31,2020-05-28,30.9,40,0.3,▲,5.0,1.0,2.0,1130.0
32,2020-05-29,30.9,29,0.0,-,5.0,0.0,-11.0,1159.0
33,2020-05-30,30.7,36,-0.2,▼,4.0,-0.6,7.0,1195.0
34,2020-05-31,31.5,15,0.8,▲,5.0,2.6,-21.0,1210.0
35,2020-06-01,32.1,24,0.6,▲,6.0,1.9,9.0,1234.0
36,2020-06-02,32.3,19,0.2,▲,7.0,0.6,-5.0,1253.0
37,2020-06-03,32.3,28,0.0,-,7.0,0.0,9.0,1281.0
38,2020-06-04,32.0,26,-0.3,▼,6.0,-0.9,-2.0,1307.0
39,2020-06-05,32.2,44,0.2,▲,7.0,0.6,18.0,1351.0
40,2020-06-06,32.0,11,-0.2,▼,6.0,-0.6,-33.0,1362.0
41,2020-06-07,31.5,35,-0.5,▼,5.0,-1.6,24.0,1397.0
42,2020-06-08,31.2,8,-0.3,▼,4.0,-1.0,-27.0,1405.0
43,2020-06-09,32.1,31,0.9,▲,5.0,2.9,23.0,1436.0
44,2020-06-10,31.6,20,-0.5,▼,4.0,-1.6,-11.0,1456.0
45,2020-06-11,31.3,18,-0.3,▼,3.0,-0.9,-2.0,1474.0
46,2020-06-12,31.3,23,0.0,-,3.0,0.0,5.0,1497.0
47,2020-06-13,31.1,28,-0.2,▼,2.0,-0.6,5.0,1525.0
48,2020-06-14,30.2,18,-0.9,▼,1.0,-2.9,-10.0,1543.0
49,2020-06-15,30.5,19,0.3,▲,2.0,1.0,1.0,1562.0
50,2020-06-16,31.0,16,0.5,▲,3.0,1.6,-3.0,1578.0
51,2020-06-17,31.0,23,0.0,-,3.0,0.0,7.0,1601.0
52,2020-06-18,31.6,33,0.6,▲,4.0,1.9,10.0,1634.0
53,2020-06-19,31.6,22,0.0,-,4.0,0.0,-11.0,1656.0
54,2020-06-20,31.4,23,-0.2,▼,3.0,-0.6,1.0,1679.0
55,2020-06-21,30.7,19,-0.7,▼,2.0,-2.2,-4.0,1698.0
56,2020-06-22,30.6,22,-0.1,▼,1.0,-0.3,3.0,1720.0
57,2020-06-23,31.0,11,0.4,▲,2.0,1.3,-11.0,1731.0
58,2020-06-24,31.0,29,0.0,-,2.0,0.0,18.0,1760.0
59,2020-06-25,31.6,28,0.6,▲,3.0,1.9,-1.0,1788.0
60,2020-06-26,32.3,19,0.7,▲,4.0,2.2,-9.0,1807.0
61,2020-06-27,32.9,20,0.6,▲,5.0,1.9,1.0,1827.0
62,2020-06-28,33.3,24,0.4,▲,6.0,1.2,4.0,1851.0
63,2020-06-29,34.6,25,1.3,▲,7.0,3.9,1.0,1876.0
64,2020-06-30,36.1,20,1.5,▲,8.0,4.3,-5.0,1896.0
65,2020-07-01,36.1,21,0.0,-,8.0,0.0,1.0,1917.0
66,2020-07-02,36.5,10,0.4,▲,9.0,1.1,-11.0,1927.0
67,2020-07-03,36.4,19,-0.1,▼,8.0,-0.3,9.0,1946.0
68,2020-07-04,37.1,25,0.7,▲,9.0,1.9,6.0,1971.0
69,2020-07-05,36.6,14,-0.5,▼,8.0,-1.3,-11.0,1985.0
70,2020-07-06,37.1,23,0.5,▲,9.0,1.4,9.0,2008.0
71,2020-07-07,38.2,19,1.1,▲,10.0,3.0,-4.0,2027.0
72,2020-07-08,39.2,10,1.0,▲,11.0,2.6,-9.0,2037.0
73,2020-07-09,38.6,21,-0.6,▼,10.0,-1.5,11.0,2058.0
74,2020-07-10,38.6,9,0.0,-,10.0,0.0,-12.0,2067.0
75,2020-07-11,38.6,28,0.0,-,10.0,0.0,19.0,2095.0
76,2020-07-12,37.6,23,-1.0,▼,9.0,-2.6,-5.0,2118.0
77,2020-07-13,37.6,16,0.0,-,9.0,0.0,-7.0,2134.0
78,2020-07-14,37.7,19,0.1,▲,10.0,0.3,3.0,2153.0
79,2020-07-15,37.8,26,0.1,▲,11.0,0.3,7.0,2179.0
80,2020-07-16,38.3,36,0.5,▲,12.0,1.3,10.0,2215.0
81,2020-07-17,39.3,23,1.0,▲,13.0,2.6,-13.0,2238.0
82,2020-07-18,39.5,25,0.2,▲,14.0,0.5,2.0,2263.0
83,2020-07-19,40.0,22,0.5,▲,15.0,1.3,-3.0,2285.0
84,2020-07-20,41.5,24,1.5,▲,16.0,3.8,2.0,2309.0
85,2020-07-21,42.5,29,1.0,▲,17.0,2.4,5.0,2338.0
86,2020-07-22,43.5,26,1.0,▲,18.0,2.4,-3.0,2364.0
