,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-18,60.5,3,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-19,64.0,4,3.5,▲,1.0,5.8,1.0,4.0
2,2020-08-20,63.0,3,-1.0,▼,0.0,-1.6,-1.0,7.0
3,2020-08-21,65.0,5,2.0,▲,1.0,3.2,2.0,12.0
4,2020-08-22,66.5,8,1.5,▲,2.0,2.3,3.0,20.0
5,2020-08-23,65.0,5,-1.5,▼,1.0,-2.3,-3.0,25.0
6,2020-08-24,61.0,16,-4.0,▼,0.0,-6.2,11.0,41.0
7,2020-08-25,61.0,8,0.0,-,0.0,0.0,-8.0,49.0
8,2020-08-26,62.4,3,1.4,▲,1.0,2.3,-5.0,52.0
9,2020-08-27,61.4,4,-1.0,▼,0.0,-1.6,1.0,56.0
10,2020-08-28,65.1,14,3.7,▲,1.0,6.0,10.0,70.0
11,2020-08-29,70.9,50,5.8,▲,2.0,8.9,36.0,120.0
12,2020-08-30,75.9,53,5.0,▲,3.0,7.1,3.0,173.0
13,2020-08-31,80.0,44,4.1,▲,4.0,5.4,-9.0,217.0
14,2020-09-01,89.5,45,9.5,▲,5.0,11.9,1.0,262.0
15,2020-09-02,96.8,25,7.3,▲,6.0,8.2,-20.0,287.0
16,2020-09-03,98.5,29,1.7,▲,7.0,1.8,4.0,316.0
17,2020-09-04,103.0,35,4.5,▲,8.0,4.6,6.0,351.0
18,2020-09-05,107.0,31,4.0,▲,9.0,3.9,-4.0,382.0
19,2020-09-06,105.0,29,-2.0,▼,8.0,-1.9,-2.0,411.0
20,2020-09-07,108.4,17,3.4,▲,9.0,3.2,-12.0,428.0
21,2020-09-08,116.9,24,8.5,▲,10.0,7.8,7.0,452.0
22,2020-09-09,124.8,14,7.9,▲,11.0,6.8,-10.0,466.0
23,2020-09-10,130.3,10,5.5,▲,12.0,4.4,-4.0,476.0
24,2020-09-11,135.5,28,5.2,▲,13.0,4.0,18.0,504.0
25,2020-09-12,134.6,20,-0.9,▼,12.0,-0.7,-8.0,524.0
26,2020-09-13,134.6,19,0.0,-,12.0,0.0,-1.0,543.0
27,2020-09-14,138.2,12,3.6,▲,13.0,2.7,-7.0,555.0
28,2020-09-15,139.3,15,1.1,▲,14.0,0.8,3.0,570.0
29,2020-09-16,141.6,5,2.3,▲,15.0,1.7,-10.0,575.0
30,2020-09-17,147.1,10,5.5,▲,16.0,3.9,5.0,585.0
31,2020-09-18,150.0,2,2.9,▲,17.0,2.0,-8.0,587.0
32,2020-09-19,145.0,4,-5.0,▼,16.0,-3.3,2.0,591.0
33,2020-09-20,147.4,6,2.4,▲,17.0,1.7,2.0,597.0
34,2020-09-21,152.9,3,5.5,▲,18.0,3.7,-3.0,600.0
35,2020-09-22,156.4,9,3.5,▲,19.0,2.3,6.0,609.0
36,2020-09-23,156.5,1,0.1,▲,20.0,0.1,-8.0,610.0
