,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-06-18,,23,0.0,-,0.0,0.0,0.0,0.0
1,2021-06-19,,56,,▲,1.0,,33.0,56.0
2,2021-06-20,,53,,▲,2.0,,-3.0,109.0
3,2021-06-21,,16,,▲,3.0,,-37.0,125.0
4,2021-06-22,42.5,8,,▲,4.0,,-8.0,133.0
5,2021-06-23,44.9,7,2.4,▲,5.0,5.6,-1.0,140.0
6,2021-06-24,46.9,12,2.0,▲,6.0,4.5,5.0,152.0
7,2021-06-25,48.7,10,1.8,▲,7.0,3.8,-2.0,162.0
8,2021-06-26,48.6,13,-0.1,▼,6.0,-0.2,3.0,175.0
9,2021-06-27,46.6,3,-2.0,▼,5.0,-4.1,-10.0,178.0
10,2021-06-28,45.1,5,-1.5,▼,4.0,-3.2,2.0,183.0
11,2021-06-29,43.2,5,-1.9,▼,3.0,-4.2,0.0,188.0
12,2021-06-30,42.4,3,-0.8,▼,2.0,-1.9,-2.0,191.0
13,2021-07-01,43.0,1,0.6,▲,3.0,1.4,-2.0,192.0
14,2021-07-02,44.9,8,1.9,▲,4.0,4.4,7.0,200.0
15,2021-07-03,48.2,9,3.3,▲,5.0,7.3,1.0,209.0
16,2021-07-04,51.0,6,2.8,▲,6.0,5.8,-3.0,215.0
17,2021-07-05,53.0,3,2.0,▲,7.0,3.9,-3.0,218.0
18,2021-07-06,51.5,7,-1.5,▼,6.0,-2.8,4.0,225.0
19,2021-07-07,52.6,13,1.1,▲,7.0,2.1,6.0,238.0
20,2021-07-08,53.7,25,1.1,▲,8.0,2.1,12.0,263.0
21,2021-07-09,54.3,15,0.6,▲,9.0,1.1,-10.0,278.0
22,2021-07-10,56.3,24,2.0,▲,10.0,3.7,9.0,302.0
23,2021-07-11,61.5,19,5.2,▲,11.0,9.2,-5.0,321.0
24,2021-07-12,65.0,10,3.5,▲,12.0,5.7,-9.0,331.0
25,2021-07-13,67.8,11,2.8,▲,13.0,4.3,1.0,342.0
26,2021-07-14,71.3,8,3.5,▲,14.0,5.2,-3.0,350.0
27,2021-07-15,72.9,8,1.6,▲,15.0,2.2,0.0,358.0
28,2021-07-16,75.2,5,2.3,▲,16.0,3.2,-3.0,363.0
29,2021-07-17,75.2,3,0.0,-,16.0,0.0,-2.0,366.0
30,2021-07-18,72.0,12,-3.2,▼,15.0,-4.3,9.0,378.0
31,2021-07-19,71.6,7,-0.4,▼,14.0,-0.6,-5.0,385.0
32,2021-07-20,68.5,11,-3.1,▼,13.0,-4.3,4.0,396.0
33,2021-07-21,66.5,8,-2.0,▼,12.0,-2.9,-3.0,404.0
34,2021-07-22,64.6,9,-1.9,▼,11.0,-2.9,1.0,413.0
35,2021-07-23,65.6,4,1.0,▲,12.0,1.5,-5.0,417.0
36,2021-07-24,64.6,22,-1.0,▼,11.0,-1.5,18.0,439.0
37,2021-07-25,66.5,14,1.9,▲,12.0,2.9,-8.0,453.0
38,2021-07-26,67.9,5,1.4,▲,13.0,2.1,-9.0,458.0
39,2021-07-27,69.8,4,1.9,▲,14.0,2.8,-1.0,462.0
40,2021-07-28,68.1,7,-1.7,▼,13.0,-2.4,3.0,469.0
41,2021-07-29,68.6,14,0.5,▲,14.0,0.7,7.0,483.0
42,2021-07-30,71.9,20,3.3,▲,15.0,4.8,6.0,503.0
43,2021-07-31,71.0,7,-0.9,▼,14.0,-1.3,-13.0,510.0
44,2021-08-01,72.9,19,1.9,▲,15.0,2.7,12.0,529.0
45,2021-08-02,77.6,6,4.7,▲,16.0,6.4,-13.0,535.0
46,2021-08-03,78.4,4,0.8,▲,17.0,1.0,-2.0,539.0
47,2021-08-04,77.2,5,-1.2,▼,16.0,-1.5,1.0,544.0
48,2021-08-05,77.7,8,0.5,▲,17.0,0.6,3.0,552.0
49,2021-08-06,76.8,3,-0.9,▼,16.0,-1.2,-5.0,555.0
50,2021-08-07,75.3,12,-1.5,▼,15.0,-2.0,9.0,567.0
51,2021-08-08,76.0,2,0.7,▲,16.0,0.9,-10.0,569.0
52,2021-08-09,76.9,4,0.9,▲,17.0,1.2,2.0,573.0
53,2021-08-10,76.9,11,0.0,-,17.0,0.0,7.0,584.0
54,2021-08-11,77.5,4,0.6,▲,18.0,0.8,-7.0,588.0
55,2021-08-12,78.1,6,0.6,▲,19.0,0.8,2.0,594.0
56,2021-08-13,78.6,2,0.5,▲,20.0,0.6,-4.0,596.0
57,2021-08-14,77.7,51,-0.9,▼,19.0,-1.1,49.0,647.0
58,2021-08-15,79.1,6,1.4,▲,20.0,1.8,-45.0,653.0
59,2021-08-16,77.5,1,-1.6,▼,19.0,-2.0,-5.0,654.0
60,2021-08-17,77.2,5,-0.3,▼,18.0,-0.4,4.0,659.0
61,2021-08-18,73.6,6,-3.6,▼,17.0,-4.7,1.0,665.0
62,2021-08-19,73.5,7,-0.1,▼,16.0,-0.1,1.0,672.0
63,2021-08-20,72.6,20,-0.9,▼,15.0,-1.2,13.0,692.0
64,2021-08-21,73.6,5,1.0,▲,16.0,1.4,-15.0,697.0
65,2021-08-22,74.1,6,0.5,▲,17.0,0.7,1.0,703.0
66,2021-08-23,76.6,3,2.5,▲,18.0,3.4,-3.0,706.0
67,2021-08-24,74.7,5,-1.9,▼,17.0,-2.5,2.0,711.0
68,2021-08-25,75.2,1,0.5,▲,18.0,0.7,-4.0,712.0
69,2021-08-26,74.2,1,-1.0,▼,17.0,-1.3,0.0,713.0
70,2021-08-27,70.4,4,-3.8,▼,16.0,-5.1,3.0,717.0
71,2021-08-28,71.5,10,1.1,▲,17.0,1.6,6.0,727.0
72,2021-08-29,73.5,6,2.0,▲,18.0,2.8,-4.0,733.0
73,2021-08-30,73.5,5,0.0,-,18.0,0.0,-1.0,738.0
74,2021-08-31,75.8,3,2.3,▲,19.0,3.1,-2.0,741.0
75,2021-09-01,79.8,3,4.0,▲,20.0,5.3,0.0,744.0
76,2021-09-02,79.1,2,-0.7,▼,19.0,-0.9,-1.0,746.0
77,2021-09-03,79.6,29,0.5,▲,20.0,0.6,27.0,775.0
78,2021-09-04,80.1,5,0.5,▲,21.0,0.6,-24.0,780.0
79,2021-09-05,79.8,3,-0.3,▼,20.0,-0.4,-2.0,783.0
80,2021-09-06,80.2,4,0.4,▲,21.0,0.5,1.0,787.0
81,2021-09-07,81.9,4,1.7,▲,22.0,2.1,0.0,791.0
82,2021-09-08,82.4,26,0.5,▲,23.0,0.6,22.0,817.0
83,2021-09-09,83.9,5,1.5,▲,24.0,1.8,-21.0,822.0
84,2021-09-10,85.4,3,1.5,▲,25.0,1.8,-2.0,825.0
85,2021-09-11,85.5,35,0.1,▲,26.0,0.1,32.0,860.0
86,2021-09-12,85.5,7,0.0,-,26.0,0.0,-28.0,867.0
87,2021-09-13,86.7,6,1.2,▲,27.0,1.4,-1.0,873.0
88,2021-09-14,86.6,6,-0.1,▼,26.0,-0.1,0.0,879.0
89,2021-09-15,86.0,3,-0.6,▼,25.0,-0.7,-3.0,882.0
90,2021-09-16,86.4,3,0.4,▲,26.0,0.5,0.0,885.0
91,2021-09-18,88.4,6,2.0,▲,27.0,2.3,3.0,891.0
92,2021-09-19,85.6,11,-2.8,▼,26.0,-3.2,5.0,902.0
93,2021-09-20,85.6,28,0.0,-,26.0,0.0,17.0,930.0
94,2021-09-21,87.8,13,2.2,▲,27.0,2.6,-15.0,943.0
95,2021-09-22,87.7,8,-0.1,▼,26.0,-0.1,-5.0,951.0
96,2021-09-23,86.1,4,-1.6,▼,25.0,-1.8,-4.0,955.0
97,2021-09-24,89.6,4,3.5,▲,26.0,4.1,0.0,959.0
98,2021-09-25,89.7,5,0.1,▲,27.0,0.1,1.0,964.0
99,2021-09-26,88.8,22,-0.9,▼,26.0,-1.0,17.0,986.0
100,2021-09-27,91.6,3,2.8,▲,27.0,3.2,-19.0,989.0
