,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,89.0,32,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,90.0,12,1.0,▲,1.0,1.1,-20.0,12.0
2,2020-04-29,91.0,14,1.0,▲,2.0,1.1,2.0,26.0
3,2020-04-30,92.3,14,1.3,▲,3.0,1.4,0.0,40.0
4,2020-05-01,94.5,17,2.2,▲,4.0,2.4,3.0,57.0
5,2020-05-02,94.5,27,0.0,-,4.0,0.0,10.0,84.0
6,2020-05-03,95.0,18,0.5,▲,5.0,0.5,-9.0,102.0
7,2020-05-04,95.0,14,0.0,-,5.0,0.0,-4.0,116.0
8,2020-05-05,94.7,12,-0.3,▼,4.0,-0.3,-2.0,128.0
9,2020-05-06,92.9,13,-1.8,▼,3.0,-1.9,1.0,141.0
10,2020-05-07,93.4,15,0.5,▲,4.0,0.5,2.0,156.0
11,2020-05-08,92.4,21,-1.0,▼,3.0,-1.1,6.0,177.0
12,2020-05-09,90.4,18,-2.0,▼,2.0,-2.2,-3.0,195.0
13,2020-05-10,91.2,18,0.8,▲,3.0,0.9,0.0,213.0
14,2020-05-11,93.7,17,2.5,▲,4.0,2.7,-1.0,230.0
15,2020-05-12,94.9,12,1.2,▲,5.0,1.3,-5.0,242.0
16,2020-05-13,92.0,22,-2.9,▼,4.0,-3.1,10.0,264.0
17,2020-05-14,92.0,47,0.0,-,4.0,0.0,25.0,311.0
18,2020-05-15,91.1,17,-0.9,▼,3.0,-1.0,-30.0,328.0
19,2020-05-16,90.1,14,-1.0,▼,2.0,-1.1,-3.0,342.0
20,2020-05-17,89.3,13,-0.8,▼,1.0,-0.9,-1.0,355.0
21,2020-05-18,93.7,12,4.4,▲,2.0,4.9,-1.0,367.0
22,2020-05-19,97.2,16,3.5,▲,3.0,3.7,4.0,383.0
23,2020-05-20,98.3,18,1.1,▲,4.0,1.1,2.0,401.0
24,2020-05-21,97.8,19,-0.5,▼,3.0,-0.5,1.0,420.0
25,2020-05-22,97.9,13,0.1,▲,4.0,0.1,-6.0,433.0
26,2020-05-23,98.0,21,0.1,▲,5.0,0.1,8.0,454.0
27,2020-05-24,98.0,12,0.0,-,5.0,0.0,-9.0,466.0
28,2020-05-25,97.9,16,-0.1,▼,4.0,-0.1,4.0,482.0
29,2020-05-26,98.9,13,1.0,▲,5.0,1.0,-3.0,495.0
30,2020-05-27,102.9,10,4.0,▲,6.0,4.0,-3.0,505.0
31,2020-05-28,101.9,7,-1.0,▼,5.0,-1.0,-3.0,512.0
32,2020-05-29,102.4,22,0.5,▲,6.0,0.5,15.0,534.0
33,2020-05-30,100.8,18,-1.6,▼,5.0,-1.6,-4.0,552.0
34,2020-05-31,102.8,7,2.0,▲,6.0,2.0,-11.0,559.0
35,2020-06-01,99.4,17,-3.4,▼,5.0,-3.3,10.0,576.0
36,2020-06-02,100.3,6,0.9,▲,6.0,0.9,-11.0,582.0
37,2020-06-03,99.7,9,-0.6,▼,5.0,-0.6,3.0,591.0
38,2020-06-04,104.4,13,4.7,▲,6.0,4.7,4.0,604.0
39,2020-06-05,103.4,21,-1.0,▼,5.0,-1.0,8.0,625.0
40,2020-06-06,105.2,15,1.8,▲,6.0,1.7,-6.0,640.0
41,2020-06-07,104.2,16,-1.0,▼,5.0,-1.0,1.0,656.0
42,2020-06-08,104.8,11,0.6,▲,6.0,0.6,-5.0,667.0
43,2020-06-09,103.7,14,-1.1,▼,5.0,-1.0,3.0,681.0
44,2020-06-10,105.7,9,2.0,▲,6.0,1.9,-5.0,690.0
45,2020-06-11,105.3,9,-0.4,▼,5.0,-0.4,0.0,699.0
46,2020-06-12,109.4,11,4.1,▲,6.0,3.9,2.0,710.0
47,2020-06-13,110.4,17,1.0,▲,7.0,0.9,6.0,727.0
48,2020-06-14,109.4,7,-1.0,▼,6.0,-0.9,-10.0,734.0
49,2020-06-15,107.4,6,-2.0,▼,5.0,-1.8,-1.0,740.0
50,2020-06-16,108.4,10,1.0,▲,6.0,0.9,4.0,750.0
51,2020-06-17,104.9,7,-3.5,▼,5.0,-3.2,-3.0,757.0
52,2020-06-18,102.4,7,-2.5,▼,4.0,-2.4,0.0,764.0
53,2020-06-19,103.5,19,1.1,▲,5.0,1.1,12.0,783.0
54,2020-06-20,104.5,16,1.0,▲,6.0,1.0,-3.0,799.0
55,2020-06-21,105.5,9,1.0,▲,7.0,1.0,-7.0,808.0
56,2020-06-22,106.5,8,1.0,▲,8.0,0.9,-1.0,816.0
57,2020-06-23,111.9,10,5.4,▲,9.0,5.1,2.0,826.0
58,2020-06-24,114.8,11,2.9,▲,10.0,2.6,1.0,837.0
59,2020-06-25,117.3,11,2.5,▲,11.0,2.2,0.0,848.0
60,2020-06-26,118.6,11,1.3,▲,12.0,1.1,0.0,859.0
61,2020-06-27,124.1,6,5.5,▲,13.0,4.6,-5.0,865.0
62,2020-06-28,123.7,14,-0.4,▼,12.0,-0.3,8.0,879.0
63,2020-06-29,123.6,3,-0.1,▼,11.0,-0.1,-11.0,882.0
64,2020-06-30,122.6,6,-1.0,▼,10.0,-0.8,3.0,888.0
65,2020-07-01,121.2,11,-1.4,▼,9.0,-1.1,5.0,899.0
66,2020-07-02,122.2,9,1.0,▲,10.0,0.8,-2.0,908.0
67,2020-07-03,119.7,7,-2.5,▼,9.0,-2.0,-2.0,915.0
68,2020-07-04,120.9,8,1.2,▲,10.0,1.0,1.0,923.0
69,2020-07-05,121.9,8,1.0,▲,11.0,0.8,0.0,931.0
70,2020-07-06,121.0,9,-0.9,▼,10.0,-0.7,1.0,940.0
71,2020-07-07,119.0,9,-2.0,▼,9.0,-1.7,0.0,949.0
72,2020-07-08,122.0,11,3.0,▲,10.0,2.5,2.0,960.0
73,2020-07-09,120.9,13,-1.1,▼,9.0,-0.9,2.0,973.0
74,2020-07-10,118.9,11,-2.0,▼,8.0,-1.7,-2.0,984.0
75,2020-07-11,109.9,19,-9.0,▼,7.0,-7.6,8.0,1003.0
76,2020-07-12,96.9,17,-13.0,▼,6.0,-11.8,-2.0,1020.0
77,2020-07-13,84.4,18,-12.5,▼,5.0,-12.9,1.0,1038.0
78,2020-07-14,71.2,12,-13.2,▼,4.0,-15.6,-6.0,1050.0
79,2020-07-15,62.2,14,-9.0,▼,3.0,-12.6,2.0,1064.0
80,2020-07-16,61.7,12,-0.5,▼,2.0,-0.8,-2.0,1076.0
