,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-05-02,7.3,4,0.0,-,0.0,0.0,0.0,0.0
1,2020-05-03,6.3,1,-1.0,▼,-1.0,-13.7,-3.0,1.0
2,2020-05-04,5.9,2,-0.4,▼,-2.0,-6.3,1.0,3.0
3,2020-05-05,6.1,2,0.2,▲,-1.0,3.4,0.0,5.0
4,2020-05-06,5.9,2,-0.2,▼,-2.0,-3.3,0.0,7.0
5,2020-05-10,6.0,2,0.1,▲,-1.0,1.7,0.0,9.0
6,2020-05-11,6.4,3,0.4,▲,0.0,6.7,1.0,12.0
7,2020-05-12,6.4,2,0.0,-,0.0,0.0,-1.0,14.0
8,2020-05-14,5.9,2,-0.5,▼,-1.0,-7.8,0.0,16.0
9,2020-05-15,5.6,1,-0.3,▼,-2.0,-5.1,-1.0,17.0
10,2020-05-16,5.9,2,0.3,▲,-1.0,5.4,1.0,19.0
11,2020-05-17,5.7,1,-0.2,▼,-2.0,-3.4,-1.0,20.0
12,2020-05-18,5.9,1,0.2,▲,-1.0,3.5,0.0,21.0
13,2020-05-19,5.9,1,0.0,-,-1.0,0.0,0.0,22.0
14,2020-05-20,6.3,1,0.4,▲,0.0,6.8,0.0,23.0
15,2020-05-26,5.6,5,-0.7,▼,-1.0,-11.1,4.0,28.0
16,2020-05-27,5.8,1,0.2,▲,0.0,3.6,-4.0,29.0
17,2020-05-28,6.2,1,0.4,▲,1.0,6.9,0.0,30.0
18,2020-05-29,6.2,1,0.0,-,1.0,0.0,0.0,31.0
19,2020-05-30,6.0,2,-0.2,▼,0.0,-3.2,1.0,33.0
20,2020-05-31,6.2,1,0.2,▲,1.0,3.3,-1.0,34.0
21,2020-06-01,6.2,1,0.0,-,1.0,0.0,0.0,35.0
22,2020-06-02,6.0,1,-0.2,▼,0.0,-3.2,0.0,36.0
23,2020-06-07,6.6,1,0.6,▲,1.0,10.0,0.0,37.0
24,2020-06-09,6.9,2,0.3,▲,2.0,4.5,1.0,39.0
25,2020-06-10,7.3,1,0.4,▲,3.0,5.8,-1.0,40.0
26,2020-06-11,7.1,2,-0.2,▼,2.0,-2.7,1.0,42.0
27,2020-06-12,7.1,1,0.0,-,2.0,0.0,-1.0,43.0
28,2020-06-14,6.3,1,-0.8,▼,1.0,-11.3,0.0,44.0
29,2020-06-15,6.1,3,-0.2,▼,0.0,-3.2,2.0,47.0
30,2020-06-16,6.3,1,0.2,▲,1.0,3.3,-2.0,48.0
31,2020-06-17,6.9,1,0.6,▲,2.0,9.5,0.0,49.0
32,2020-06-21,6.5,2,-0.4,▼,1.0,-5.8,1.0,51.0
33,2020-06-22,6.7,1,0.2,▲,2.0,3.1,-1.0,52.0
34,2020-06-23,6.4,1,-0.3,▼,1.0,-4.5,0.0,53.0
35,2020-06-25,6.8,1,0.4,▲,2.0,6.2,0.0,54.0
36,2020-06-26,6.4,1,-0.4,▼,1.0,-5.9,0.0,55.0
37,2020-06-27,6.4,3,0.0,-,1.0,0.0,2.0,58.0
38,2020-06-30,6.4,1,0.0,-,1.0,0.0,-2.0,59.0
39,2020-07-01,6.2,2,-0.2,▼,0.0,-3.1,1.0,61.0
40,2020-07-02,5.3,2,-0.9,▼,-1.0,-14.5,0.0,63.0
41,2020-07-06,5.7,2,0.4,▲,0.0,7.5,0.0,65.0
42,2020-07-07,6.3,2,0.6,▲,1.0,10.5,0.0,67.0
43,2020-07-10,6.9,1,0.6,▲,2.0,9.5,-1.0,68.0
44,2020-07-12,7.1,1,0.2,▲,3.0,2.9,0.0,69.0
45,2020-07-15,7.6,1,0.5,▲,4.0,7.0,0.0,70.0
46,2020-07-16,7.6,1,0.0,-,4.0,0.0,0.0,71.0
47,2020-07-17,7.0,1,-0.6,▼,3.0,-7.9,0.0,72.0
48,2020-07-21,7.0,1,0.0,-,3.0,0.0,0.0,73.0
49,2020-07-22,7.4,1,0.4,▲,4.0,5.7,0.0,74.0
50,2020-07-23,7.2,1,-0.2,▼,3.0,-2.7,0.0,75.0
51,2020-07-24,6.6,1,-0.6,▼,2.0,-8.3,0.0,76.0
52,2020-07-25,7.2,3,0.6,▲,3.0,9.1,2.0,79.0
53,2020-07-27,6.8,1,-0.4,▼,2.0,-5.6,-2.0,80.0
54,2020-07-29,6.2,1,-0.6,▼,1.0,-8.8,0.0,81.0
55,2020-07-30,6.6,2,0.4,▲,2.0,6.5,1.0,83.0
56,2020-07-31,7.6,1,1.0,▲,3.0,15.2,-1.0,84.0
57,2020-08-01,7.7,2,0.1,▲,4.0,1.3,1.0,86.0
58,2020-08-02,8.2,2,0.5,▲,5.0,6.5,0.0,88.0
59,2020-08-03,8.2,1,0.0,-,5.0,0.0,-1.0,89.0
60,2020-08-06,8.4,5,0.2,▲,6.0,2.4,4.0,94.0
61,2020-08-07,6.6,1,-1.8,▼,5.0,-21.4,-4.0,95.0
62,2020-08-08,5.9,1,-0.7,▼,4.0,-10.6,0.0,96.0
63,2020-08-09,5.7,2,-0.2,▼,3.0,-3.4,1.0,98.0
64,2020-08-11,6.3,1,0.6,▲,4.0,10.5,-1.0,99.0
65,2020-08-12,6.8,2,0.5,▲,5.0,7.9,1.0,101.0
66,2020-08-13,8.6,2,1.8,▲,6.0,26.5,0.0,103.0
67,2020-08-14,9.8,2,1.2,▲,7.0,14.0,0.0,105.0
68,2020-08-16,9.3,3,-0.5,▼,6.0,-5.1,1.0,108.0
69,2020-08-19,9.5,1,0.2,▲,7.0,2.2,-2.0,109.0
70,2020-08-20,8.6,2,-0.9,▼,6.0,-9.5,1.0,111.0
71,2020-08-21,8.4,2,-0.2,▼,5.0,-2.3,0.0,113.0
72,2020-08-23,8.2,1,-0.2,▼,4.0,-2.4,-1.0,114.0
73,2020-08-26,9.4,4,1.2,▲,5.0,14.6,3.0,118.0
74,2020-08-27,9.6,1,0.2,▲,6.0,2.1,-3.0,119.0
75,2020-08-28,9.6,1,0.0,-,6.0,0.0,0.0,120.0
76,2020-08-29,9.3,2,-0.3,▼,5.0,-3.1,1.0,122.0
77,2020-08-30,8.9,4,-0.4,▼,4.0,-4.3,2.0,126.0
78,2020-08-31,8.2,2,-0.7,▼,3.0,-7.9,-2.0,128.0
79,2020-09-01,7.8,2,-0.4,▼,2.0,-4.9,0.0,130.0
80,2020-09-02,7.8,2,0.0,-,2.0,0.0,0.0,132.0
81,2020-09-03,8.1,1,0.3,▲,3.0,3.8,-1.0,133.0
82,2020-09-04,8.2,3,0.1,▲,4.0,1.2,2.0,136.0
83,2020-09-05,8.4,4,0.2,▲,5.0,2.4,1.0,140.0
84,2020-09-06,8.8,1,0.4,▲,6.0,4.8,-3.0,141.0
85,2020-09-07,8.5,5,-0.3,▼,5.0,-3.4,4.0,146.0
86,2020-09-08,8.1,4,-0.4,▼,4.0,-4.7,-1.0,150.0
87,2020-09-09,8.0,1,-0.1,▼,3.0,-1.2,-3.0,151.0
88,2020-09-10,8.3,1,0.3,▲,4.0,3.8,0.0,152.0
89,2020-09-12,7.7,1,-0.6,▼,3.0,-7.2,0.0,153.0
90,2020-09-13,7.8,1,0.1,▲,4.0,1.3,0.0,154.0
91,2020-09-14,8.4,2,0.6,▲,5.0,7.7,1.0,156.0
92,2020-09-16,8.2,2,-0.2,▼,4.0,-2.4,0.0,158.0
93,2020-09-18,7.8,1,-0.4,▼,3.0,-4.9,-1.0,159.0
94,2020-09-19,7.5,3,-0.3,▼,2.0,-3.8,2.0,162.0
95,2020-09-21,7.9,1,0.4,▲,3.0,5.3,-2.0,163.0
96,2020-09-22,7.8,2,-0.1,▼,2.0,-1.3,1.0,165.0
97,2020-09-23,7.8,2,0.0,-,2.0,0.0,0.0,167.0
98,2020-09-24,8.2,1,0.4,▲,3.0,5.1,-1.0,168.0
99,2020-09-25,8.7,1,0.5,▲,4.0,6.1,0.0,169.0
100,2020-09-26,8.5,2,-0.2,▼,3.0,-2.3,1.0,171.0
101,2020-09-27,8.2,1,-0.3,▼,2.0,-3.5,-1.0,172.0
102,2020-09-29,8.6,1,0.4,▲,3.0,4.9,0.0,173.0
103,2020-09-30,8.6,1,0.0,-,3.0,0.0,0.0,174.0
104,2020-10-02,8.8,1,0.2,▲,4.0,2.3,0.0,175.0
105,2020-10-03,9.2,1,0.4,▲,5.0,4.5,0.0,176.0
106,2020-10-04,9.6,1,0.4,▲,6.0,4.3,0.0,177.0
107,2020-10-07,8.9,2,-0.7,▼,5.0,-7.3,1.0,179.0
108,2020-10-08,8.9,2,0.0,-,5.0,0.0,0.0,181.0
109,2020-10-09,8.9,2,0.0,-,5.0,0.0,0.0,183.0
110,2020-10-10,9.0,2,0.1,▲,6.0,1.1,0.0,185.0
111,2020-10-11,8.8,2,-0.2,▼,5.0,-2.2,0.0,187.0
112,2020-10-13,9.4,2,0.6,▲,6.0,6.8,0.0,189.0
113,2020-10-14,9.2,2,-0.2,▼,5.0,-2.1,0.0,191.0
114,2020-10-15,9.0,1,-0.2,▼,4.0,-2.2,-1.0,192.0
115,2020-10-16,8.6,2,-0.4,▼,3.0,-4.4,1.0,194.0
116,2020-10-17,8.6,1,0.0,-,3.0,0.0,-1.0,195.0
117,2020-10-20,8.7,1,0.1,▲,4.0,1.2,0.0,196.0
118,2020-10-21,8.8,2,0.1,▲,5.0,1.1,1.0,198.0
119,2020-10-23,9.2,1,0.4,▲,6.0,4.5,-1.0,199.0
120,2020-10-24,9.3,1,0.1,▲,7.0,1.1,0.0,200.0
121,2020-10-26,9.3,2,0.0,-,7.0,0.0,1.0,202.0
122,2020-10-28,9.3,5,0.0,-,7.0,0.0,3.0,207.0
123,2020-10-29,9.2,2,-0.1,▼,6.0,-1.1,-3.0,209.0
124,2020-10-30,8.6,1,-0.6,▼,5.0,-6.5,-1.0,210.0
125,2020-10-31,8.6,1,0.0,-,5.0,0.0,0.0,211.0
126,2020-11-01,8.6,2,0.0,-,5.0,0.0,1.0,213.0
127,2020-11-02,8.4,1,-0.2,▼,4.0,-2.3,-1.0,214.0
128,2020-11-03,9.0,5,0.6,▲,5.0,7.1,4.0,219.0
129,2020-11-04,9.5,4,0.5,▲,6.0,5.6,-1.0,223.0
130,2020-11-05,9.4,2,-0.1,▼,5.0,-1.1,-2.0,225.0
131,2020-11-06,9.6,1,0.2,▲,6.0,2.1,-1.0,226.0
132,2020-11-07,10.0,2,0.4,▲,7.0,4.2,1.0,228.0
133,2020-11-08,9.4,2,-0.6,▼,6.0,-6.0,0.0,230.0
134,2020-11-09,9.1,2,-0.3,▼,5.0,-3.2,0.0,232.0
135,2020-11-11,9.2,3,0.1,▲,6.0,1.1,1.0,235.0
136,2020-11-14,8.9,2,-0.3,▼,5.0,-3.3,-1.0,237.0
137,2020-11-15,8.7,1,-0.2,▼,4.0,-2.2,-1.0,238.0
138,2020-11-16,8.7,1,0.0,-,4.0,0.0,0.0,239.0
139,2020-11-17,9.1,1,0.4,▲,5.0,4.6,0.0,240.0
140,2020-11-19,9.1,2,0.0,-,5.0,0.0,1.0,242.0
141,2020-11-21,9.2,4,0.1,▲,6.0,1.1,2.0,246.0
142,2020-11-22,8.6,3,-0.6,▼,5.0,-6.5,-1.0,249.0
143,2020-11-23,8.0,1,-0.6,▼,4.0,-7.0,-2.0,250.0
144,2020-11-25,8.2,2,0.2,▲,5.0,2.5,1.0,252.0
145,2020-11-26,7.8,1,-0.4,▼,4.0,-4.9,-1.0,253.0
146,2020-11-27,7.6,1,-0.2,▼,3.0,-2.6,0.0,254.0
147,2020-12-01,8.4,1,0.8,▲,4.0,10.5,0.0,255.0
148,2020-12-02,9.0,1,0.6,▲,5.0,7.1,0.0,256.0
149,2020-12-05,8.7,2,-0.3,▼,4.0,-3.3,1.0,258.0
150,2020-12-06,8.7,1,0.0,-,4.0,0.0,-1.0,259.0
151,2020-12-08,9.1,1,0.4,▲,5.0,4.6,0.0,260.0
152,2020-12-10,8.9,1,-0.2,▼,4.0,-2.2,0.0,261.0
153,2020-12-11,8.5,1,-0.4,▼,3.0,-4.5,0.0,262.0
154,2020-12-12,8.6,1,0.1,▲,4.0,1.2,0.0,263.0
155,2020-12-19,9.2,1,0.6,▲,5.0,7.0,0.0,264.0
156,2020-12-20,8.7,2,-0.5,▼,4.0,-5.4,1.0,266.0
