,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,9.0,23,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,8.8,26,-0.2,▼,-1.0,-2.2,3.0,26.0
2,2020-04-29,9.0,29,0.2,▲,0.0,2.3,3.0,55.0
3,2020-04-30,9.0,36,0.0,-,0.0,0.0,7.0,91.0
4,2020-05-01,9.1,23,0.1,▲,1.0,1.1,-13.0,114.0
5,2020-05-02,9.2,31,0.1,▲,2.0,1.1,8.0,145.0
6,2020-05-03,9.1,25,-0.1,▼,1.0,-1.1,-6.0,170.0
7,2020-05-04,9.0,22,-0.1,▼,0.0,-1.1,-3.0,192.0
8,2020-05-05,9.0,27,0.0,-,0.0,0.0,5.0,219.0
9,2020-05-06,8.7,19,-0.3,▼,-1.0,-3.3,-8.0,238.0
10,2020-05-07,8.3,27,-0.4,▼,-2.0,-4.6,8.0,265.0
11,2020-05-08,8.6,28,0.3,▲,-1.0,3.6,1.0,293.0
12,2020-05-09,8.4,27,-0.2,▼,-2.0,-2.3,-1.0,320.0
13,2020-05-10,8.4,23,0.0,-,-2.0,0.0,-4.0,343.0
14,2020-05-11,8.3,13,-0.1,▼,-3.0,-1.2,-10.0,356.0
15,2020-05-12,8.1,21,-0.2,▼,-4.0,-2.4,8.0,377.0
16,2020-05-13,8.1,17,0.0,-,-4.0,0.0,-4.0,394.0
17,2020-05-14,8.0,25,-0.1,▼,-5.0,-1.2,8.0,419.0
18,2020-05-15,7.7,25,-0.3,▼,-6.0,-3.8,0.0,444.0
19,2020-05-16,7.3,15,-0.4,▼,-7.0,-5.2,-10.0,459.0
20,2020-05-17,7.3,35,0.0,-,-7.0,0.0,20.0,494.0
21,2020-05-18,7.0,25,-0.3,▼,-8.0,-4.1,-10.0,519.0
22,2020-05-19,7.1,15,0.1,▲,-7.0,1.4,-10.0,534.0
23,2020-05-20,7.1,10,0.0,-,-7.0,0.0,-5.0,544.0
24,2020-05-21,7.5,20,0.4,▲,-6.0,5.6,10.0,564.0
25,2020-05-22,7.8,14,0.3,▲,-5.0,4.0,-6.0,578.0
26,2020-05-23,7.9,22,0.1,▲,-4.0,1.3,8.0,600.0
27,2020-05-24,7.6,24,-0.3,▼,-5.0,-3.8,2.0,624.0
28,2020-05-25,7.8,18,0.2,▲,-4.0,2.6,-6.0,642.0
29,2020-05-26,7.5,20,-0.3,▼,-5.0,-3.8,2.0,662.0
30,2020-05-27,7.5,15,0.0,-,-5.0,0.0,-5.0,677.0
31,2020-05-28,7.7,20,0.2,▲,-4.0,2.7,5.0,697.0
32,2020-05-29,8.2,19,0.5,▲,-3.0,6.5,-1.0,716.0
33,2020-05-30,8.2,18,0.0,-,-3.0,0.0,-1.0,734.0
34,2020-05-31,8.4,24,0.2,▲,-2.0,2.4,6.0,758.0
35,2020-06-01,8.4,14,0.0,-,-2.0,0.0,-10.0,772.0
36,2020-06-02,8.2,10,-0.2,▼,-3.0,-2.4,-4.0,782.0
37,2020-06-03,7.8,13,-0.4,▼,-4.0,-4.9,3.0,795.0
38,2020-06-04,7.8,17,0.0,-,-4.0,0.0,4.0,812.0
39,2020-06-05,7.6,11,-0.2,▼,-5.0,-2.6,-6.0,823.0
40,2020-06-06,7.5,17,-0.1,▼,-6.0,-1.3,6.0,840.0
41,2020-06-07,7.7,25,0.2,▲,-5.0,2.7,8.0,865.0
42,2020-06-08,7.7,10,0.0,-,-5.0,0.0,-15.0,875.0
43,2020-06-09,7.6,33,-0.1,▼,-6.0,-1.3,23.0,908.0
44,2020-06-10,7.8,15,0.2,▲,-5.0,2.6,-18.0,923.0
45,2020-06-11,7.6,23,-0.2,▼,-6.0,-2.6,8.0,946.0
46,2020-06-12,7.3,22,-0.3,▼,-7.0,-3.9,-1.0,968.0
47,2020-06-13,7.4,20,0.1,▲,-6.0,1.4,-2.0,988.0
48,2020-06-14,7.5,12,0.1,▲,-5.0,1.4,-8.0,1000.0
49,2020-06-15,7.5,19,0.0,-,-5.0,0.0,7.0,1019.0
50,2020-06-16,7.5,24,0.0,-,-5.0,0.0,5.0,1043.0
51,2020-06-17,7.6,19,0.1,▲,-4.0,1.3,-5.0,1062.0
52,2020-06-18,7.6,26,0.0,-,-4.0,0.0,7.0,1088.0
53,2020-06-19,7.7,29,0.1,▲,-3.0,1.3,3.0,1117.0
54,2020-06-20,7.8,16,0.1,▲,-2.0,1.3,-13.0,1133.0
55,2020-06-21,8.1,13,0.3,▲,-1.0,3.8,-3.0,1146.0
56,2020-06-22,8.3,13,0.2,▲,0.0,2.5,0.0,1159.0
57,2020-06-23,8.5,21,0.2,▲,1.0,2.4,8.0,1180.0
58,2020-06-24,8.5,15,0.0,-,1.0,0.0,-6.0,1195.0
59,2020-06-25,8.3,16,-0.2,▼,0.0,-2.4,1.0,1211.0
60,2020-06-26,8.3,11,0.0,-,0.0,0.0,-5.0,1222.0
61,2020-06-27,8.1,18,-0.2,▼,-1.0,-2.4,7.0,1240.0
62,2020-06-28,8.0,20,-0.1,▼,-2.0,-1.2,2.0,1260.0
63,2020-06-29,8.0,13,0.0,-,-2.0,0.0,-7.0,1273.0
64,2020-06-30,8.0,10,0.0,-,-2.0,0.0,-3.0,1283.0
65,2020-07-01,7.9,11,-0.1,▼,-3.0,-1.2,1.0,1294.0
66,2020-07-02,8.0,22,0.1,▲,-2.0,1.3,11.0,1316.0
67,2020-07-03,8.1,14,0.1,▲,-1.0,1.2,-8.0,1330.0
68,2020-07-04,8.0,21,-0.1,▼,-2.0,-1.2,7.0,1351.0
69,2020-07-05,8.2,17,0.2,▲,-1.0,2.5,-4.0,1368.0
70,2020-07-06,8.3,11,0.1,▲,0.0,1.2,-6.0,1379.0
71,2020-07-07,8.4,18,0.1,▲,1.0,1.2,7.0,1397.0
72,2020-07-08,8.5,9,0.1,▲,2.0,1.2,-9.0,1406.0
73,2020-07-09,8.4,18,-0.1,▼,1.0,-1.2,9.0,1424.0
74,2020-07-10,8.4,21,0.0,-,1.0,0.0,3.0,1445.0
75,2020-07-11,8.2,8,-0.2,▼,0.0,-2.4,-13.0,1453.0
76,2020-07-12,8.1,21,-0.1,▼,-1.0,-1.2,13.0,1474.0
77,2020-07-13,7.8,20,-0.3,▼,-2.0,-3.7,-1.0,1494.0
78,2020-07-14,7.9,5,0.1,▲,-1.0,1.3,-15.0,1499.0
79,2020-07-15,7.8,10,-0.1,▼,-2.0,-1.3,5.0,1509.0
80,2020-07-16,8.0,9,0.2,▲,-1.0,2.6,-1.0,1518.0
81,2020-07-17,8.2,14,0.2,▲,0.0,2.5,5.0,1532.0
82,2020-07-18,8.4,16,0.2,▲,1.0,2.4,2.0,1548.0
83,2020-07-19,8.3,24,-0.1,▼,0.0,-1.2,8.0,1572.0
84,2020-07-20,8.5,10,0.2,▲,1.0,2.4,-14.0,1582.0
85,2020-07-21,8.5,11,0.0,-,1.0,0.0,1.0,1593.0
86,2020-07-22,8.4,17,-0.1,▼,0.0,-1.2,6.0,1610.0
87,2020-07-23,8.2,17,-0.2,▼,-1.0,-2.4,0.0,1627.0
88,2020-07-24,8.1,23,-0.1,▼,-2.0,-1.2,6.0,1650.0
89,2020-07-25,7.4,18,-0.7,▼,-3.0,-8.6,-5.0,1668.0
90,2020-07-26,7.0,11,-0.4,▼,-4.0,-5.4,-7.0,1679.0
91,2020-07-27,6.5,12,-0.5,▼,-5.0,-7.1,1.0,1691.0
92,2020-07-28,6.0,6,-0.5,▼,-6.0,-7.7,-6.0,1697.0
93,2020-07-29,6.0,20,0.0,-,-6.0,0.0,14.0,1717.0
94,2020-07-30,6.3,14,0.3,▲,-5.0,5.0,-6.0,1731.0
95,2020-07-31,6.7,11,0.4,▲,-4.0,6.3,-3.0,1742.0
96,2020-08-01,6.8,9,0.1,▲,-3.0,1.5,-2.0,1751.0
97,2020-08-02,7.2,28,0.4,▲,-2.0,5.9,19.0,1779.0
98,2020-08-03,7.3,23,0.1,▲,-1.0,1.4,-5.0,1802.0
99,2020-08-04,7.4,12,0.1,▲,0.0,1.4,-11.0,1814.0
100,2020-08-05,7.4,18,0.0,-,0.0,0.0,6.0,1832.0
101,2020-08-06,7.5,18,0.1,▲,1.0,1.4,0.0,1850.0
102,2020-08-07,7.5,17,0.0,-,1.0,0.0,-1.0,1867.0
103,2020-08-08,7.6,39,0.1,▲,2.0,1.3,22.0,1906.0
104,2020-08-09,7.8,20,0.2,▲,3.0,2.6,-19.0,1926.0
105,2020-08-10,7.6,24,-0.2,▼,2.0,-2.6,4.0,1950.0
106,2020-08-11,7.9,27,0.3,▲,3.0,3.9,3.0,1977.0
107,2020-08-12,8.2,22,0.3,▲,4.0,3.8,-5.0,1999.0
108,2020-08-13,8.1,10,-0.1,▼,3.0,-1.2,-12.0,2009.0
109,2020-08-14,7.9,21,-0.2,▼,2.0,-2.5,11.0,2030.0
110,2020-08-15,7.8,23,-0.1,▼,1.0,-1.3,2.0,2053.0
111,2020-08-16,7.6,21,-0.2,▼,0.0,-2.6,-2.0,2074.0
112,2020-08-17,7.6,14,0.0,-,0.0,0.0,-7.0,2088.0
113,2020-08-18,7.7,33,0.1,▲,1.0,1.3,19.0,2121.0
114,2020-08-19,7.7,15,0.0,-,1.0,0.0,-18.0,2136.0
115,2020-08-20,7.7,22,0.0,-,1.0,0.0,7.0,2158.0
116,2020-08-21,7.7,26,0.0,-,1.0,0.0,4.0,2184.0
117,2020-08-22,7.7,32,0.0,-,1.0,0.0,6.0,2216.0
118,2020-08-23,7.5,18,-0.2,▼,0.0,-2.6,-14.0,2234.0
119,2020-08-24,7.6,24,0.1,▲,1.0,1.3,6.0,2258.0
120,2020-08-25,7.6,18,0.0,-,1.0,0.0,-6.0,2276.0
121,2020-08-26,7.3,6,-0.3,▼,0.0,-3.9,-12.0,2282.0
122,2020-08-27,7.3,16,0.0,-,0.0,0.0,10.0,2298.0
123,2020-08-28,7.5,24,0.2,▲,1.0,2.7,8.0,2322.0
124,2020-08-29,7.5,20,0.0,-,1.0,0.0,-4.0,2342.0
125,2020-08-30,7.7,23,0.2,▲,2.0,2.7,3.0,2365.0
126,2020-08-31,8.2,10,0.5,▲,3.0,6.5,-13.0,2375.0
127,2020-09-01,8.2,17,0.0,-,3.0,0.0,7.0,2392.0
128,2020-09-02,8.3,11,0.1,▲,4.0,1.2,-6.0,2403.0
129,2020-09-03,8.3,22,0.0,-,4.0,0.0,11.0,2425.0
130,2020-09-04,8.3,17,0.0,-,4.0,0.0,-5.0,2442.0
131,2020-09-05,8.2,24,-0.1,▼,3.0,-1.2,7.0,2466.0
132,2020-09-06,8.1,41,-0.1,▼,2.0,-1.2,17.0,2507.0
133,2020-09-07,8.0,19,-0.1,▼,1.0,-1.2,-22.0,2526.0
134,2020-09-08,7.8,28,-0.2,▼,0.0,-2.5,9.0,2554.0
135,2020-09-09,7.7,15,-0.1,▼,-1.0,-1.3,-13.0,2569.0
136,2020-09-10,7.5,12,-0.2,▼,-2.0,-2.6,-3.0,2581.0
