,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-29,4.8,3,0.0,-,0.0,0.0
1,2020-04-30,5.0,2,0.2,▲,1.0,4.2
2,2020-05-01,5.5,1,0.5,▲,2.0,10.0
3,2020-05-04,5.5,2,0.0,-,2.0,0.0
4,2020-05-05,5.0,1,-0.5,▼,1.0,-9.1
5,2020-05-06,4.6,1,-0.4,▼,0.0,-8.0
6,2020-05-07,5.0,3,0.4,▲,1.0,8.7
7,2020-05-08,4.2,1,-0.8,▼,0.0,-16.0
8,2020-05-09,4.5,2,0.3,▲,1.0,7.1
9,2020-05-11,4.9,1,0.4,▲,2.0,8.9
10,2020-05-12,4.9,1,0.0,-,2.0,0.0
11,2020-05-13,4.1,1,-0.8,▼,1.0,-16.3
12,2020-05-14,4.5,1,0.4,▲,2.0,9.8
13,2020-05-15,3.4,2,-1.1,▼,1.0,-24.4
14,2020-05-16,3.4,2,0.0,-,1.0,0.0
15,2020-05-17,3.2,4,-0.2,▼,0.0,-5.9
16,2020-05-18,3.4,1,0.2,▲,1.0,6.2
17,2020-05-19,3.4,2,0.0,-,1.0,0.0
18,2020-05-20,4.0,1,0.6,▲,2.0,17.6
19,2020-05-24,4.0,2,0.0,-,2.0,0.0
20,2020-05-25,5.1,3,1.1,▲,3.0,27.5
21,2020-05-27,4.9,1,-0.2,▼,2.0,-3.9
22,2020-05-29,4.7,2,-0.2,▼,1.0,-4.1
23,2020-05-31,4.7,2,0.0,-,1.0,0.0
24,2020-06-01,4.7,4,0.0,-,1.0,0.0
25,2020-06-04,5.0,1,0.3,▲,2.0,6.4
26,2020-06-06,5.5,2,0.5,▲,3.0,10.0
27,2020-06-08,5.7,2,0.2,▲,4.0,3.6
28,2020-06-10,5.7,3,0.0,-,4.0,0.0
29,2020-06-11,5.7,1,0.0,-,4.0,0.0
30,2020-06-13,4.7,4,-1.0,▼,3.0,-17.5
31,2020-06-14,4.6,4,-0.1,▼,2.0,-2.1
32,2020-06-15,4.5,6,-0.1,▼,1.0,-2.2
33,2020-06-16,4.5,1,0.0,-,1.0,0.0
34,2020-06-17,4.5,1,0.0,-,1.0,0.0
35,2020-06-18,4.5,5,0.0,-,1.0,0.0
36,2020-06-19,4.5,3,0.0,-,1.0,0.0
37,2020-06-20,4.9,5,0.4,▲,2.0,8.9
38,2020-06-21,5.0,5,0.1,▲,3.0,2.0
39,2020-06-22,4.8,2,-0.2,▼,2.0,-4.0
40,2020-06-23,5.0,2,0.2,▲,3.0,4.2
41,2020-06-24,4.9,2,-0.1,▼,2.0,-2.0
42,2020-06-25,4.8,4,-0.1,▼,1.0,-2.0
43,2020-06-26,4.9,1,0.1,▲,2.0,2.1
44,2020-06-27,4.7,2,-0.2,▼,1.0,-4.1
45,2020-06-28,4.7,1,0.0,-,1.0,0.0
46,2020-06-30,4.8,5,0.1,▲,2.0,2.1
47,2020-07-02,4.6,1,-0.2,▼,1.0,-4.2
48,2020-07-03,5.0,2,0.4,▲,2.0,8.7
49,2020-07-04,5.2,2,0.2,▲,3.0,4.0
50,2020-07-05,5.0,2,-0.2,▼,2.0,-3.8
51,2020-07-06,4.8,1,-0.2,▼,1.0,-4.0
52,2020-07-08,4.8,1,0.0,-,1.0,0.0
53,2020-07-09,4.2,1,-0.6,▼,0.0,-12.5
54,2020-07-10,4.4,1,0.2,▲,1.0,4.8
55,2020-07-11,4.5,3,0.1,▲,2.0,2.3
56,2020-07-12,4.7,1,0.2,▲,3.0,4.4
57,2020-07-13,4.6,2,-0.1,▼,2.0,-2.1
58,2020-07-15,4.6,1,0.0,-,2.0,0.0
59,2020-07-16,4.6,1,0.0,-,2.0,0.0
60,2020-07-17,4.7,1,0.1,▲,3.0,2.2
61,2020-07-18,4.7,1,0.0,-,3.0,0.0
62,2020-07-22,4.8,1,0.1,▲,4.0,2.1
63,2020-07-23,5.0,1,0.2,▲,5.0,4.2
64,2020-07-24,5.0,2,0.0,-,5.0,0.0
65,2020-07-25,5.6,1,0.6,▲,6.0,12.0
66,2020-07-28,6.4,7,0.8,▲,7.0,14.3
67,2020-07-29,6.4,1,0.0,-,7.0,0.0
68,2020-08-02,6.6,1,0.2,▲,8.0,3.1
69,2020-08-03,6.3,2,-0.3,▼,7.0,-4.5
70,2020-08-05,5.3,1,-1.0,▼,6.0,-15.9
71,2020-08-08,4.5,1,-0.8,▼,5.0,-15.1
72,2020-08-09,5.5,1,1.0,▲,6.0,22.2
73,2020-08-15,5.2,2,-0.3,▼,5.0,-5.5
74,2020-08-21,5.3,2,0.1,▲,6.0,1.9
75,2020-08-27,5.4,2,0.1,▲,7.0,1.9
