,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-09,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-11,,1,,▲,1.0,,0.0,1.0
2,2020-04-12,,1,,▲,2.0,,0.0,2.0
3,2020-05-18,,1,,▲,3.0,,0.0,3.0
4,2020-06-06,2.2,1,,▲,4.0,,0.0,4.0
5,2020-06-14,2.0,1,-0.2,▼,3.0,-9.1,0.0,5.0
6,2020-06-18,2.0,1,0.0,-,3.0,0.0,0.0,6.0
7,2020-06-25,2.0,1,0.0,-,3.0,0.0,0.0,7.0
8,2020-06-30,2.8,1,0.8,▲,4.0,40.0,0.0,8.0
9,2020-07-26,2.7,2,-0.1,▼,3.0,-3.6,1.0,10.0
10,2020-08-03,2.5,1,-0.2,▼,2.0,-7.4,-1.0,11.0
11,2020-08-06,2.5,1,0.0,-,2.0,0.0,0.0,12.0
12,2020-09-08,2.7,1,0.2,▲,3.0,8.0,0.0,13.0
13,2020-09-20,1.9,1,-0.8,▼,2.0,-29.6,0.0,14.0
14,2020-09-22,1.7,3,-0.2,▼,1.0,-10.5,2.0,17.0
15,2020-10-11,1.9,1,0.2,▲,2.0,11.8,-2.0,18.0
16,2020-10-14,1.7,1,-0.2,▼,1.0,-10.5,0.0,19.0
17,2020-10-25,1.3,4,-0.4,▼,0.0,-23.5,3.0,23.0
18,2020-11-04,1.3,1,0.0,-,0.0,0.0,-3.0,24.0
19,2020-11-21,1.2,1,-0.1,▼,-1.0,-7.7,0.0,25.0
20,2020-11-28,1.2,1,0.0,-,-1.0,0.0,0.0,26.0
21,2020-12-12,1.4,1,0.2,▲,0.0,16.7,0.0,27.0
22,2021-01-17,3.2,1,1.8,▲,1.0,128.6,0.0,28.0
23,2021-01-27,3.2,1,0.0,-,1.0,0.0,0.0,29.0
24,2021-02-13,3.2,1,0.0,-,1.0,0.0,0.0,30.0
25,2021-02-28,3.2,1,0.0,-,1.0,0.0,0.0,31.0
26,2021-03-04,3.2,2,0.0,-,1.0,0.0,1.0,33.0
27,2021-03-14,1.8,1,-1.4,▼,0.0,-43.7,-1.0,34.0
28,2021-03-17,2.0,1,0.2,▲,1.0,11.1,0.0,35.0
29,2021-04-08,2.0,1,0.0,-,1.0,0.0,0.0,36.0
