,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,66.4,7,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,66.9,3,0.5,▲,1.0,0.8,-4.0,3.0
2,2020-04-29,66.7,3,-0.2,▼,0.0,-0.3,0.0,6.0
3,2020-04-30,65.2,2,-1.5,▼,-1.0,-2.2,-1.0,8.0
4,2020-05-01,65.1,2,-0.1,▼,-2.0,-0.2,0.0,10.0
5,2020-05-02,58.0,1,-7.1,▼,-3.0,-10.9,-1.0,11.0
6,2020-05-03,58.5,4,0.5,▲,-2.0,0.9,3.0,15.0
7,2020-05-04,60.8,2,2.3,▲,-1.0,3.9,-2.0,17.0
8,2020-05-05,63.8,2,3.0,▲,0.0,4.9,0.0,19.0
9,2020-05-06,64.9,2,1.1,▲,1.0,1.7,0.0,21.0
10,2020-05-07,68.9,7,4.0,▲,2.0,6.2,5.0,28.0
11,2020-05-08,74.4,3,5.5,▲,3.0,8.0,-4.0,31.0
12,2020-05-09,71.9,2,-2.5,▼,2.0,-3.4,-1.0,33.0
13,2020-05-10,70.9,3,-1.0,▼,1.0,-1.4,1.0,36.0
14,2020-05-11,68.4,1,-2.5,▼,0.0,-3.5,-2.0,37.0
15,2020-05-12,72.0,4,3.6,▲,1.0,5.3,3.0,41.0
16,2020-05-13,69.0,2,-3.0,▼,0.0,-4.2,-2.0,43.0
17,2020-05-14,69.0,2,0.0,-,0.0,0.0,0.0,45.0
18,2020-05-15,69.0,5,0.0,-,0.0,0.0,3.0,50.0
19,2020-05-16,73.0,7,4.0,▲,1.0,5.8,2.0,57.0
20,2020-05-17,72.0,4,-1.0,▼,0.0,-1.4,-3.0,61.0
21,2020-05-18,70.0,7,-2.0,▼,-1.0,-2.8,3.0,68.0
22,2020-05-19,71.0,1,1.0,▲,0.0,1.4,-6.0,69.0
23,2020-05-20,68.0,4,-3.0,▼,-1.0,-4.2,3.0,73.0
24,2020-05-21,63.0,11,-5.0,▼,-2.0,-7.4,7.0,84.0
25,2020-05-22,61.4,8,-1.6,▼,-3.0,-2.5,-3.0,92.0
26,2020-05-23,62.4,1,1.0,▲,-2.0,1.6,-7.0,93.0
27,2020-05-24,60.4,8,-2.0,▼,-3.0,-3.2,7.0,101.0
28,2020-05-25,65.9,3,5.5,▲,-2.0,9.1,-5.0,104.0
29,2020-05-26,69.9,4,4.0,▲,-1.0,6.1,1.0,108.0
30,2020-05-27,67.5,2,-2.4,▼,-2.0,-3.4,-2.0,110.0
31,2020-05-28,69.9,2,2.4,▲,-1.0,3.6,0.0,112.0
32,2020-05-29,73.8,3,3.9,▲,0.0,5.6,1.0,115.0
33,2020-05-30,72.8,2,-1.0,▼,-1.0,-1.4,-1.0,117.0
34,2020-05-31,72.3,4,-0.5,▼,-2.0,-0.7,2.0,121.0
35,2020-06-01,77.3,2,5.0,▲,-1.0,6.9,-2.0,123.0
36,2020-06-02,74.9,3,-2.4,▼,-2.0,-3.1,1.0,126.0
37,2020-06-03,75.5,6,0.6,▲,-1.0,0.8,3.0,132.0
38,2020-06-04,75.9,3,0.4,▲,0.0,0.5,-3.0,135.0
39,2020-06-05,79.4,4,3.5,▲,1.0,4.6,1.0,139.0
40,2020-06-06,79.4,1,0.0,-,1.0,0.0,-3.0,140.0
41,2020-06-07,82.4,1,3.0,▲,2.0,3.8,0.0,141.0
42,2020-06-08,83.9,2,1.5,▲,3.0,1.8,1.0,143.0
43,2020-06-09,85.5,13,1.6,▲,4.0,1.9,11.0,156.0
44,2020-06-10,85.3,5,-0.2,▼,3.0,-0.2,-8.0,161.0
45,2020-06-11,82.8,7,-2.5,▼,2.0,-2.9,2.0,168.0
46,2020-06-12,81.3,5,-1.5,▼,1.0,-1.8,-2.0,173.0
47,2020-06-15,78.3,1,-3.0,▼,0.0,-3.7,-4.0,174.0
48,2020-06-16,77.7,2,-0.6,▼,-1.0,-0.8,1.0,176.0
49,2020-06-17,79.9,6,2.2,▲,0.0,2.8,4.0,182.0
50,2020-06-18,85.1,5,5.2,▲,1.0,6.5,-1.0,187.0
51,2020-06-19,87.1,3,2.0,▲,2.0,2.4,-2.0,190.0
52,2020-06-20,85.8,3,-1.3,▼,1.0,-1.5,0.0,193.0
53,2020-06-22,86.9,1,1.1,▲,2.0,1.3,-2.0,194.0
54,2020-06-23,84.9,2,-2.0,▼,1.0,-2.3,1.0,196.0
55,2020-06-24,80.2,1,-4.7,▼,0.0,-5.5,-1.0,197.0
56,2020-06-26,78.7,1,-1.5,▼,-1.0,-1.9,0.0,198.0
57,2020-06-28,86.7,2,8.0,▲,0.0,10.2,1.0,200.0
58,2020-06-29,91.2,3,4.5,▲,1.0,5.2,1.0,203.0
59,2020-06-30,94.2,1,3.0,▲,2.0,3.3,-2.0,204.0
60,2020-07-01,98.2,2,4.0,▲,3.0,4.2,1.0,206.0
61,2020-07-02,98.7,3,0.5,▲,4.0,0.5,1.0,209.0
62,2020-07-03,95.5,6,-3.2,▼,3.0,-3.2,3.0,215.0
63,2020-07-04,95.4,2,-0.1,▼,2.0,-0.1,-4.0,217.0
64,2020-07-05,93.4,2,-2.0,▼,1.0,-2.1,0.0,219.0
65,2020-07-06,92.9,2,-0.5,▼,0.0,-0.5,0.0,221.0
66,2020-07-07,94.9,3,2.0,▲,1.0,2.2,1.0,224.0
67,2020-07-09,94.4,1,-0.5,▼,0.0,-0.5,-2.0,225.0
68,2020-07-11,85.8,16,-8.6,▼,-1.0,-9.1,15.0,241.0
69,2020-07-12,78.8,32,-7.0,▼,-2.0,-8.2,16.0,273.0
70,2020-07-13,73.3,9,-5.5,▼,-3.0,-7.0,-23.0,282.0
71,2020-07-14,65.8,4,-7.5,▼,-4.0,-10.2,-5.0,286.0
72,2020-07-15,61.2,6,-4.6,▼,-5.0,-7.0,2.0,292.0
73,2020-07-16,57.4,8,-3.8,▼,-6.0,-6.2,2.0,300.0
74,2020-07-17,57.0,6,-0.4,▼,-7.0,-0.7,-2.0,306.0
75,2020-07-18,55.5,10,-1.5,▼,-8.0,-2.6,4.0,316.0
76,2020-07-19,56.0,5,0.5,▲,-7.0,0.9,-5.0,321.0
77,2020-07-20,56.1,7,0.1,▲,-6.0,0.2,2.0,328.0
78,2020-07-21,60.6,4,4.5,▲,-5.0,8.0,-3.0,332.0
79,2020-07-22,65.5,4,4.9,▲,-4.0,8.1,0.0,336.0
80,2020-07-23,68.9,2,3.4,▲,-3.0,5.2,-2.0,338.0
81,2020-07-24,72.3,7,3.4,▲,-2.0,4.9,5.0,345.0
82,2020-07-25,72.3,4,0.0,-,-2.0,0.0,-3.0,349.0
83,2020-07-26,72.2,5,-0.1,▼,-3.0,-0.1,1.0,354.0
84,2020-07-27,70.1,6,-2.1,▼,-4.0,-2.9,1.0,360.0
85,2020-07-28,71.7,5,1.6,▲,-3.0,2.3,-1.0,365.0
86,2020-07-29,69.3,4,-2.4,▼,-4.0,-3.3,-1.0,369.0
87,2020-07-30,69.7,3,0.4,▲,-3.0,0.6,-1.0,372.0
88,2020-07-31,70.8,4,1.1,▲,-2.0,1.6,1.0,376.0
89,2020-08-01,72.4,2,1.6,▲,-1.0,2.3,-2.0,378.0
90,2020-08-02,68.0,11,-4.4,▼,-2.0,-6.1,9.0,389.0
91,2020-08-03,66.0,12,-2.0,▼,-3.0,-2.9,1.0,401.0
92,2020-08-04,62.6,12,-3.4,▼,-4.0,-5.2,0.0,413.0
93,2020-08-05,59.1,7,-3.5,▼,-5.0,-5.6,-5.0,420.0
94,2020-08-06,57.0,5,-2.1,▼,-6.0,-3.6,-2.0,425.0
95,2020-08-07,58.4,7,1.4,▲,-5.0,2.5,2.0,432.0
96,2020-08-08,60.0,4,1.6,▲,-4.0,2.7,-3.0,436.0
97,2020-08-09,62.5,3,2.5,▲,-3.0,4.2,-1.0,439.0
98,2020-08-10,62.5,3,0.0,-,-3.0,0.0,0.0,442.0
99,2020-08-11,63.1,7,0.6,▲,-2.0,1.0,4.0,449.0
100,2020-08-12,65.9,5,2.8,▲,-1.0,4.4,-2.0,454.0
101,2020-08-13,68.3,5,2.4,▲,0.0,3.6,0.0,459.0
102,2020-08-14,69.8,2,1.5,▲,1.0,2.2,-3.0,461.0
103,2020-08-15,70.6,6,0.8,▲,2.0,1.1,4.0,467.0
104,2020-08-16,71.1,8,0.5,▲,3.0,0.7,2.0,475.0
105,2020-08-17,69.8,7,-1.3,▼,2.0,-1.8,-1.0,482.0
106,2020-08-18,69.1,2,-0.7,▼,1.0,-1.0,-5.0,484.0
107,2020-08-19,68.6,7,-0.5,▼,0.0,-0.7,5.0,491.0
108,2020-08-20,69.2,5,0.6,▲,1.0,0.9,-2.0,496.0
109,2020-08-21,67.2,3,-2.0,▼,0.0,-2.9,-2.0,499.0
110,2020-08-22,66.9,9,-0.3,▼,-1.0,-0.4,6.0,508.0
111,2020-08-23,66.9,8,0.0,-,-1.0,0.0,-1.0,516.0
112,2020-08-24,66.3,5,-0.6,▼,-2.0,-0.9,-3.0,521.0
113,2020-08-25,66.4,5,0.1,▲,-1.0,0.2,0.0,526.0
114,2020-08-26,67.4,1,1.0,▲,0.0,1.5,-4.0,527.0
115,2020-08-27,67.9,3,0.5,▲,1.0,0.7,2.0,530.0
116,2020-08-28,70.1,8,2.2,▲,2.0,3.2,5.0,538.0
117,2020-08-29,67.2,33,-2.9,▼,1.0,-4.1,25.0,571.0
118,2020-08-30,67.7,1,0.5,▲,2.0,0.7,-32.0,572.0
119,2020-08-31,68.2,3,0.5,▲,3.0,0.7,2.0,575.0
120,2020-09-01,68.5,8,0.3,▲,4.0,0.4,5.0,583.0
121,2020-09-02,67.0,6,-1.5,▼,3.0,-2.2,-2.0,589.0
122,2020-09-03,72.5,2,5.5,▲,4.0,8.2,-4.0,591.0
123,2020-09-04,70.5,4,-2.0,▼,3.0,-2.8,2.0,595.0
124,2020-09-05,73.0,7,2.5,▲,4.0,3.5,3.0,602.0
125,2020-09-06,76.5,5,3.5,▲,5.0,4.8,-2.0,607.0
126,2020-09-07,77.8,7,1.3,▲,6.0,1.7,2.0,614.0
127,2020-09-08,78.3,2,0.5,▲,7.0,0.6,-5.0,616.0
128,2020-09-09,76.3,1,-2.0,▼,6.0,-2.6,-1.0,617.0
129,2020-09-10,77.8,7,1.5,▲,7.0,2.0,6.0,624.0
130,2020-09-11,75.6,7,-2.2,▼,6.0,-2.8,0.0,631.0
131,2020-09-12,72.3,5,-3.3,▼,5.0,-4.4,-2.0,636.0
132,2020-09-13,70.3,9,-2.0,▼,4.0,-2.8,4.0,645.0
133,2020-09-14,76.8,10,6.5,▲,5.0,9.2,1.0,655.0
134,2020-09-15,76.8,2,0.0,-,5.0,0.0,-8.0,657.0
135,2020-09-16,75.7,9,-1.1,▼,4.0,-1.4,7.0,666.0
136,2020-09-17,79.4,4,3.7,▲,5.0,4.9,-5.0,670.0
137,2020-09-18,80.4,3,1.0,▲,6.0,1.3,-1.0,673.0
138,2020-09-19,79.4,5,-1.0,▼,5.0,-1.2,2.0,678.0
139,2020-09-20,77.9,8,-1.5,▼,4.0,-1.9,3.0,686.0
140,2020-09-21,79.2,2,1.3,▲,5.0,1.7,-6.0,688.0
141,2020-09-22,79.5,2,0.3,▲,6.0,0.4,0.0,690.0
142,2020-09-25,81.0,7,1.5,▲,7.0,1.9,5.0,697.0
143,2020-09-26,82.5,6,1.5,▲,8.0,1.9,-1.0,703.0
144,2020-09-27,81.5,4,-1.0,▼,7.0,-1.2,-2.0,707.0
145,2020-09-28,79.5,1,-2.0,▼,6.0,-2.5,-3.0,708.0
146,2020-09-29,81.5,5,2.0,▲,7.0,2.5,4.0,713.0
147,2020-09-30,81.0,4,-0.5,▼,6.0,-0.6,-1.0,717.0
148,2020-10-01,81.0,3,0.0,-,6.0,0.0,-1.0,720.0
149,2020-10-03,84.0,1,3.0,▲,7.0,3.7,-2.0,721.0
150,2020-10-04,89.9,10,5.9,▲,8.0,7.0,9.0,731.0
151,2020-10-05,89.4,2,-0.5,▼,7.0,-0.6,-8.0,733.0
152,2020-10-06,93.4,2,4.0,▲,8.0,4.5,0.0,735.0
153,2020-10-07,96.4,14,3.0,▲,9.0,3.2,12.0,749.0
154,2020-10-08,100.3,5,3.9,▲,10.0,4.0,-9.0,754.0
155,2020-10-09,101.3,2,1.0,▲,11.0,1.0,-3.0,756.0
156,2020-10-10,97.3,3,-4.0,▼,10.0,-3.9,1.0,759.0
157,2020-10-12,94.3,6,-3.0,▼,9.0,-3.1,3.0,765.0
158,2020-10-13,98.3,2,4.0,▲,10.0,4.2,-4.0,767.0
159,2020-10-14,96.4,2,-1.9,▼,9.0,-1.9,0.0,769.0
160,2020-10-15,101.0,4,4.6,▲,10.0,4.8,2.0,773.0
161,2020-10-16,113.0,1,12.0,▲,11.0,11.9,-3.0,774.0
162,2020-10-17,116.4,2,3.4,▲,12.0,3.0,1.0,776.0
163,2020-10-20,115.3,4,-1.1,▼,11.0,-0.9,2.0,780.0
164,2020-10-21,117.8,4,2.5,▲,12.0,2.2,0.0,784.0
165,2020-10-22,115.1,2,-2.7,▼,11.0,-2.3,-2.0,786.0
166,2020-10-23,94.1,73,-21.0,▼,10.0,-18.2,71.0,859.0
167,2020-10-24,79.2,68,-14.9,▼,9.0,-15.8,-5.0,927.0
