,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-24,24.5,7,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-25,25.0,10,0.5,▲,1.0,2.0,3.0,10.0
2,2020-03-26,24.0,7,-1.0,▼,0.0,-4.0,-3.0,17.0
3,2020-03-27,23.4,11,-0.6,▼,-1.0,-2.5,4.0,28.0
4,2020-03-28,23.8,5,0.4,▲,0.0,1.7,-6.0,33.0
5,2020-03-29,24.6,4,0.8,▲,1.0,3.4,-1.0,37.0
6,2020-03-30,24.1,14,-0.5,▼,0.0,-2.0,10.0,51.0
7,2020-03-31,24.2,8,0.1,▲,1.0,0.4,-6.0,59.0
8,2020-04-01,25.7,10,1.5,▲,2.0,6.2,2.0,69.0
9,2020-04-02,26.2,5,0.5,▲,3.0,1.9,-5.0,74.0
10,2020-04-03,24.5,11,-1.7,▼,2.0,-6.5,6.0,85.0
11,2020-04-04,26.4,12,1.9,▲,3.0,7.8,1.0,97.0
12,2020-04-05,26.8,9,0.4,▲,4.0,1.5,-3.0,106.0
13,2020-04-06,27.2,9,0.4,▲,5.0,1.5,0.0,115.0
14,2020-04-07,27.8,11,0.6,▲,6.0,2.2,2.0,126.0
15,2020-04-08,27.8,9,0.0,-,6.0,0.0,-2.0,135.0
16,2020-04-09,28.1,8,0.3,▲,7.0,1.1,-1.0,143.0
17,2020-04-10,28.1,11,0.0,-,7.0,0.0,3.0,154.0
18,2020-04-11,26.7,9,-1.4,▼,6.0,-5.0,-2.0,163.0
19,2020-04-12,28.6,8,1.9,▲,7.0,7.1,-1.0,171.0
20,2020-04-13,29.4,15,0.8,▲,8.0,2.8,7.0,186.0
21,2020-04-14,30.7,6,1.3,▲,9.0,4.4,-9.0,192.0
22,2020-04-15,33.7,8,3.0,▲,10.0,9.8,2.0,200.0
23,2020-04-16,36.7,3,3.0,▲,11.0,8.9,-5.0,203.0
24,2020-04-17,35.1,2,-1.6,▼,10.0,-4.4,-1.0,205.0
25,2020-04-18,36.6,10,1.5,▲,11.0,4.3,8.0,215.0
26,2020-04-19,35.4,6,-1.2,▼,10.0,-3.3,-4.0,221.0
27,2020-04-20,31.4,19,-4.0,▼,9.0,-11.3,13.0,240.0
28,2020-04-21,25.6,3,-5.8,▼,8.0,-18.5,-16.0,243.0
29,2020-04-22,23.2,5,-2.4,▼,7.0,-9.4,2.0,248.0
30,2020-04-23,20.7,3,-2.5,▼,6.0,-10.8,-2.0,251.0
31,2020-04-24,17.7,9,-3.0,▼,5.0,-14.5,6.0,260.0
32,2020-04-25,17.4,14,-0.3,▼,4.0,-1.7,5.0,274.0
33,2020-04-26,18.3,15,0.9,▲,5.0,5.2,1.0,289.0
34,2020-04-27,18.4,13,0.1,▲,6.0,0.5,-2.0,302.0
35,2020-04-28,20.0,13,1.6,▲,7.0,8.7,0.0,315.0
36,2020-04-29,20.1,10,0.1,▲,8.0,0.5,-3.0,325.0
37,2020-04-30,20.8,11,0.7,▲,9.0,3.5,1.0,336.0
38,2020-05-01,21.8,12,1.0,▲,10.0,4.8,1.0,348.0
39,2020-05-02,22.3,11,0.5,▲,11.0,2.3,-1.0,359.0
40,2020-05-03,20.6,14,-1.7,▼,10.0,-7.6,3.0,373.0
41,2020-05-04,21.7,11,1.1,▲,11.0,5.3,-3.0,384.0
42,2020-05-05,23.8,13,2.1,▲,12.0,9.7,2.0,397.0
43,2020-05-06,25.4,14,1.6,▲,13.0,6.7,1.0,411.0
44,2020-05-07,27.6,8,2.2,▲,14.0,8.7,-6.0,419.0
45,2020-05-08,29.9,13,2.3,▲,15.0,8.3,5.0,432.0
46,2020-05-09,29.6,12,-0.3,▼,14.0,-1.0,-1.0,444.0
47,2020-05-10,30.3,9,0.7,▲,15.0,2.4,-3.0,453.0
48,2020-05-11,33.1,10,2.8,▲,16.0,9.2,1.0,463.0
49,2020-05-12,32.9,8,-0.2,▼,15.0,-0.6,-2.0,471.0
50,2020-05-13,33.0,12,0.1,▲,16.0,0.3,4.0,483.0
51,2020-05-14,34.3,12,1.3,▲,17.0,3.9,0.0,495.0
52,2020-05-15,33.6,10,-0.7,▼,16.0,-2.0,-2.0,505.0
53,2020-05-16,30.2,16,-3.4,▼,15.0,-10.1,6.0,521.0
54,2020-05-17,31.2,8,1.0,▲,16.0,3.3,-8.0,529.0
55,2020-05-18,31.3,12,0.1,▲,17.0,0.3,4.0,541.0
56,2020-05-19,31.1,5,-0.2,▼,16.0,-0.6,-7.0,546.0
57,2020-05-20,32.0,4,0.9,▲,17.0,2.9,-1.0,550.0
58,2020-05-21,33.7,10,1.7,▲,18.0,5.3,6.0,560.0
59,2020-05-22,32.2,5,-1.5,▼,17.0,-4.5,-5.0,565.0
60,2020-05-23,32.4,3,0.2,▲,18.0,0.6,-2.0,568.0
61,2020-05-24,32.6,6,0.2,▲,19.0,0.6,3.0,574.0
62,2020-05-25,31.6,5,-1.0,▼,18.0,-3.1,-1.0,579.0
63,2020-05-26,31.4,9,-0.2,▼,17.0,-0.6,4.0,588.0
64,2020-05-27,32.8,6,1.4,▲,18.0,4.5,-3.0,594.0
65,2020-05-28,31.6,5,-1.2,▼,17.0,-3.7,-1.0,599.0
66,2020-05-29,34.2,5,2.6,▲,18.0,8.2,0.0,604.0
67,2020-05-30,34.8,12,0.6,▲,19.0,1.8,7.0,616.0
68,2020-05-31,37.8,5,3.0,▲,20.0,8.6,-7.0,621.0
69,2020-06-01,35.2,8,-2.6,▼,19.0,-6.9,3.0,629.0
70,2020-06-02,33.4,9,-1.8,▼,18.0,-5.1,1.0,638.0
71,2020-06-03,29.3,10,-4.1,▼,17.0,-12.3,1.0,648.0
72,2020-06-04,26.2,7,-3.1,▼,16.0,-10.6,-3.0,655.0
73,2020-06-05,20.7,11,-5.5,▼,15.0,-21.0,4.0,666.0
74,2020-06-06,20.3,6,-0.4,▼,14.0,-1.9,-5.0,672.0
75,2020-06-07,20.8,13,0.5,▲,15.0,2.5,7.0,685.0
76,2020-06-08,21.2,16,0.4,▲,16.0,1.9,3.0,701.0
77,2020-06-09,21.3,5,0.1,▲,17.0,0.5,-11.0,706.0
78,2020-06-10,22.3,11,1.0,▲,18.0,4.7,6.0,717.0
79,2020-06-11,23.4,6,1.1,▲,19.0,4.9,-5.0,723.0
80,2020-06-12,25.7,9,2.3,▲,20.0,9.8,3.0,732.0
81,2020-06-13,26.6,7,0.9,▲,21.0,3.5,-2.0,739.0
82,2020-06-14,29.1,3,2.5,▲,22.0,9.4,-4.0,742.0
83,2020-06-15,28.6,9,-0.5,▼,21.0,-1.7,6.0,751.0
84,2020-06-16,29.0,10,0.4,▲,22.0,1.4,1.0,761.0
85,2020-06-17,29.2,11,0.2,▲,23.0,0.7,1.0,772.0
86,2020-06-18,30.8,4,1.6,▲,24.0,5.5,-7.0,776.0
87,2020-06-19,31.3,5,0.5,▲,25.0,1.6,1.0,781.0
88,2020-06-20,34.5,6,3.2,▲,26.0,10.2,1.0,787.0
89,2020-06-21,34.9,4,0.4,▲,27.0,1.2,-2.0,791.0
90,2020-06-22,37.3,6,2.4,▲,28.0,6.9,2.0,797.0
91,2020-06-23,35.4,4,-1.9,▼,27.0,-5.1,-2.0,801.0
92,2020-06-24,34.7,6,-0.7,▼,26.0,-2.0,2.0,807.0
93,2020-06-25,33.0,11,-1.7,▼,25.0,-4.9,5.0,818.0
94,2020-06-26,34.2,10,1.2,▲,26.0,3.6,-1.0,828.0
95,2020-06-27,33.3,1,-0.9,▼,25.0,-2.6,-9.0,829.0
96,2020-06-28,35.3,5,2.0,▲,26.0,6.0,4.0,834.0
97,2020-06-29,32.8,9,-2.5,▼,25.0,-7.1,4.0,843.0
98,2020-06-30,32.2,5,-0.6,▼,24.0,-1.8,-4.0,848.0
99,2020-07-01,28.2,5,-4.0,▼,23.0,-12.4,0.0,853.0
100,2020-07-02,23.7,3,-4.5,▼,22.0,-16.0,-2.0,856.0
101,2020-07-03,19.5,6,-4.2,▼,21.0,-17.7,3.0,862.0
102,2020-07-04,19.7,7,0.2,▲,22.0,1.0,1.0,869.0
103,2020-07-05,18.7,13,-1.0,▼,21.0,-5.1,6.0,882.0
104,2020-07-06,19.1,7,0.4,▲,22.0,2.1,-6.0,889.0
105,2020-07-07,20.1,5,1.0,▲,23.0,5.2,-2.0,894.0
106,2020-07-08,21.3,5,1.2,▲,24.0,6.0,0.0,899.0
107,2020-07-09,22.3,2,1.0,▲,25.0,4.7,-3.0,901.0
108,2020-07-10,23.2,6,0.9,▲,26.0,4.0,4.0,907.0
109,2020-07-11,23.3,7,0.1,▲,27.0,0.4,1.0,914.0
110,2020-07-12,23.8,6,0.5,▲,28.0,2.1,-1.0,920.0
111,2020-07-13,23.9,2,0.1,▲,29.0,0.4,-4.0,922.0
112,2020-07-14,23.9,4,0.0,-,29.0,0.0,2.0,926.0
113,2020-07-15,23.6,5,-0.3,▼,28.0,-1.3,1.0,931.0
114,2020-07-16,25.9,8,2.3,▲,29.0,9.7,3.0,939.0
115,2020-07-17,27.6,8,1.7,▲,30.0,6.6,0.0,947.0
116,2020-07-18,29.2,3,1.6,▲,31.0,5.8,-5.0,950.0
117,2020-07-19,29.1,9,-0.1,▼,30.0,-0.3,6.0,959.0
118,2020-07-20,30.1,11,1.0,▲,31.0,3.4,2.0,970.0
119,2020-07-21,30.2,8,0.1,▲,32.0,0.3,-3.0,978.0
120,2020-07-22,27.9,5,-2.3,▼,31.0,-7.6,-3.0,983.0
121,2020-07-23,29.0,7,1.1,▲,32.0,3.9,2.0,990.0
122,2020-07-24,31.9,6,2.9,▲,33.0,10.0,-1.0,996.0
123,2020-07-25,32.8,9,0.9,▲,34.0,2.8,3.0,1005.0
124,2020-07-26,34.7,5,1.9,▲,35.0,5.8,-4.0,1010.0
125,2020-07-27,33.7,12,-1.0,▼,34.0,-2.9,7.0,1022.0
126,2020-07-28,30.7,7,-3.0,▼,33.0,-8.9,-5.0,1029.0
127,2020-07-29,26.1,7,-4.6,▼,32.0,-15.0,0.0,1036.0
128,2020-07-30,23.2,7,-2.9,▼,31.0,-11.1,0.0,1043.0
129,2020-07-31,19.1,8,-4.1,▼,30.0,-17.7,1.0,1051.0
130,2020-08-01,19.3,7,0.2,▲,31.0,1.0,-1.0,1058.0
131,2020-08-02,18.0,12,-1.3,▼,30.0,-6.7,5.0,1070.0
132,2020-08-03,18.3,2,0.3,▲,31.0,1.7,-10.0,1072.0
133,2020-08-04,16.6,8,-1.7,▼,30.0,-9.3,6.0,1080.0
134,2020-08-05,15.7,11,-0.9,▼,29.0,-5.4,3.0,1091.0
135,2020-08-06,15.9,8,0.2,▲,30.0,1.3,-3.0,1099.0
136,2020-08-07,17.5,8,1.6,▲,31.0,10.1,0.0,1107.0
137,2020-08-08,17.8,12,0.3,▲,32.0,1.7,4.0,1119.0
138,2020-08-09,19.4,6,1.6,▲,33.0,9.0,-6.0,1125.0
139,2020-08-10,20.2,9,0.8,▲,34.0,4.1,3.0,1134.0
140,2020-08-11,20.8,12,0.6,▲,35.0,3.0,3.0,1146.0
141,2020-08-12,21.2,6,0.4,▲,36.0,1.9,-6.0,1152.0
142,2020-08-13,21.9,5,0.7,▲,37.0,3.3,-1.0,1157.0
143,2020-08-14,22.8,8,0.9,▲,38.0,4.1,3.0,1165.0
144,2020-08-15,24.0,7,1.2,▲,39.0,5.3,-1.0,1172.0
145,2020-08-16,24.0,8,0.0,-,39.0,0.0,1.0,1180.0
146,2020-08-17,23.9,7,-0.1,▼,38.0,-0.4,-1.0,1187.0
147,2020-08-18,23.2,6,-0.7,▼,37.0,-2.9,-1.0,1193.0
148,2020-08-19,22.8,7,-0.4,▼,36.0,-1.7,1.0,1200.0
149,2020-08-20,23.6,5,0.8,▲,37.0,3.5,-2.0,1205.0
150,2020-08-21,23.2,11,-0.4,▼,36.0,-1.7,6.0,1216.0
151,2020-08-22,23.6,7,0.4,▲,37.0,1.7,-4.0,1223.0
152,2020-08-23,25.1,7,1.5,▲,38.0,6.4,0.0,1230.0
153,2020-08-24,26.6,5,1.5,▲,39.0,6.0,-2.0,1235.0
154,2020-08-25,26.4,6,-0.2,▼,38.0,-0.8,1.0,1241.0
155,2020-08-26,28.7,3,2.3,▲,39.0,8.7,-3.0,1244.0
156,2020-08-27,28.8,7,0.1,▲,40.0,0.3,4.0,1251.0
157,2020-08-28,29.2,8,0.4,▲,41.0,1.4,1.0,1259.0
158,2020-08-29,29.5,11,0.3,▲,42.0,1.0,3.0,1270.0
159,2020-08-30,30.0,12,0.5,▲,43.0,1.7,1.0,1282.0
160,2020-08-31,29.6,4,-0.4,▼,42.0,-1.3,-8.0,1286.0
161,2020-09-01,30.2,7,0.6,▲,43.0,2.0,3.0,1293.0
162,2020-09-02,30.3,11,0.1,▲,44.0,0.3,4.0,1304.0
163,2020-09-03,30.5,10,0.2,▲,45.0,0.7,-1.0,1314.0
164,2020-09-04,29.6,11,-0.9,▼,44.0,-3.0,1.0,1325.0
165,2020-09-05,29.8,8,0.2,▲,45.0,0.7,-3.0,1333.0
166,2020-09-06,30.3,14,0.5,▲,46.0,1.7,6.0,1347.0
167,2020-09-07,31.5,7,1.2,▲,47.0,4.0,-7.0,1354.0
168,2020-09-08,32.1,12,0.6,▲,48.0,1.9,5.0,1366.0
169,2020-09-09,33.2,8,1.1,▲,49.0,3.4,-4.0,1374.0
170,2020-09-10,34.6,16,1.4,▲,50.0,4.2,8.0,1390.0
