,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-05-19,,2,,▲,1.0,,1.0,2.0
2,2020-05-21,,1,,▲,2.0,,-1.0,3.0
3,2020-05-23,5.4,1,,▲,3.0,,0.0,4.0
4,2020-06-03,5.2,1,-0.2,▼,2.0,-3.7,0.0,5.0
5,2020-06-14,5.0,2,-0.2,▼,1.0,-3.8,1.0,7.0
6,2020-06-15,5.2,1,0.2,▲,2.0,4.0,-1.0,8.0
7,2020-06-28,5.2,1,0.0,-,2.0,0.0,0.0,9.0
8,2020-06-29,5.0,1,-0.2,▼,1.0,-3.8,0.0,10.0
9,2020-07-02,5.0,1,0.0,-,1.0,0.0,0.0,11.0
10,2020-07-09,5.2,1,0.2,▲,2.0,4.0,0.0,12.0
11,2020-07-18,5.2,1,0.0,-,2.0,0.0,0.0,13.0
12,2020-07-19,5.2,1,0.0,-,2.0,0.0,0.0,14.0
13,2020-07-24,6.0,1,0.8,▲,3.0,15.4,0.0,15.0
14,2020-08-07,6.0,1,0.0,-,3.0,0.0,0.0,16.0
15,2020-08-08,6.0,1,0.0,-,3.0,0.0,0.0,17.0
16,2020-08-18,6.2,1,0.2,▲,4.0,3.3,0.0,18.0
17,2020-08-29,6.3,2,0.1,▲,5.0,1.6,1.0,20.0
18,2020-09-01,5.1,1,-1.2,▼,4.0,-19.0,-1.0,21.0
19,2020-09-02,5.1,1,0.0,-,4.0,0.0,0.0,22.0
20,2020-09-06,5.1,1,0.0,-,4.0,0.0,0.0,23.0
21,2020-09-12,4.9,1,-0.2,▼,3.0,-3.9,0.0,24.0
22,2020-09-13,4.8,1,-0.1,▼,2.0,-2.0,0.0,25.0
23,2020-09-16,5.2,1,0.4,▲,3.0,8.3,0.0,26.0
24,2020-10-10,5.2,1,0.0,-,3.0,0.0,0.0,27.0
