,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,5.2,12,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,4.9,8,-0.3,▼,-1.0,-5.8,-4.0,8.0
2,2020-04-29,4.8,6,-0.1,▼,-2.0,-2.0,-2.0,14.0
3,2020-04-30,5.2,9,0.4,▲,-1.0,8.3,3.0,23.0
4,2020-05-01,5.3,8,0.1,▲,0.0,1.9,-1.0,31.0
5,2020-05-02,5.1,7,-0.2,▼,-1.0,-3.8,-1.0,38.0
6,2020-05-03,5.3,11,0.2,▲,0.0,3.9,4.0,49.0
7,2020-05-04,5.1,8,-0.2,▼,-1.0,-3.8,-3.0,57.0
8,2020-05-05,4.7,6,-0.4,▼,-2.0,-7.8,-2.0,63.0
9,2020-05-06,4.5,13,-0.2,▼,-3.0,-4.3,7.0,76.0
10,2020-05-07,4.3,8,-0.2,▼,-4.0,-4.4,-5.0,84.0
11,2020-05-08,4.2,9,-0.1,▼,-5.0,-2.3,1.0,93.0
12,2020-05-09,4.4,13,0.2,▲,-4.0,4.8,4.0,106.0
13,2020-05-10,4.3,7,-0.1,▼,-5.0,-2.3,-6.0,113.0
14,2020-05-11,4.4,8,0.1,▲,-4.0,2.3,1.0,121.0
15,2020-05-12,4.6,11,0.2,▲,-3.0,4.5,3.0,132.0
16,2020-05-13,4.8,10,0.2,▲,-2.0,4.3,-1.0,142.0
17,2020-05-14,4.8,15,0.0,-,-2.0,0.0,5.0,157.0
18,2020-05-15,5.0,14,0.2,▲,-1.0,4.2,-1.0,171.0
19,2020-05-16,5.1,7,0.1,▲,0.0,2.0,-7.0,178.0
20,2020-05-17,5.3,5,0.2,▲,1.0,3.9,-2.0,183.0
21,2020-05-18,5.3,8,0.0,-,1.0,0.0,3.0,191.0
22,2020-05-19,5.5,7,0.2,▲,2.0,3.8,-1.0,198.0
23,2020-05-20,5.4,16,-0.1,▼,1.0,-1.8,9.0,214.0
24,2020-05-21,5.2,4,-0.2,▼,0.0,-3.7,-12.0,218.0
25,2020-05-22,5.6,10,0.4,▲,1.0,7.7,6.0,228.0
26,2020-05-23,5.5,6,-0.1,▼,0.0,-1.8,-4.0,234.0
27,2020-05-24,5.5,10,0.0,-,0.0,0.0,4.0,244.0
28,2020-05-25,5.6,5,0.1,▲,1.0,1.8,-5.0,249.0
29,2020-05-26,5.6,9,0.0,-,1.0,0.0,4.0,258.0
30,2020-05-27,5.4,7,-0.2,▼,0.0,-3.6,-2.0,265.0
31,2020-05-28,5.4,5,0.0,-,0.0,0.0,-2.0,270.0
32,2020-05-29,5.5,5,0.1,▲,1.0,1.9,0.0,275.0
33,2020-05-30,5.5,11,0.0,-,1.0,0.0,6.0,286.0
34,2020-05-31,5.7,11,0.2,▲,2.0,3.6,0.0,297.0
35,2020-06-01,5.7,13,0.0,-,2.0,0.0,2.0,310.0
36,2020-06-02,6.1,6,0.4,▲,3.0,7.0,-7.0,316.0
37,2020-06-03,6.2,8,0.1,▲,4.0,1.6,2.0,324.0
38,2020-06-04,6.3,6,0.1,▲,5.0,1.6,-2.0,330.0
39,2020-06-05,6.3,7,0.0,-,5.0,0.0,1.0,337.0
40,2020-06-06,6.2,5,-0.1,▼,4.0,-1.6,-2.0,342.0
41,2020-06-07,6.1,8,-0.1,▼,3.0,-1.6,3.0,350.0
42,2020-06-08,5.8,8,-0.3,▼,2.0,-4.9,0.0,358.0
43,2020-06-09,5.5,4,-0.3,▼,1.0,-5.2,-4.0,362.0
44,2020-06-10,5.6,9,0.1,▲,2.0,1.8,5.0,371.0
45,2020-06-11,5.4,7,-0.2,▼,1.0,-3.6,-2.0,378.0
46,2020-06-12,5.3,3,-0.1,▼,0.0,-1.9,-4.0,381.0
47,2020-06-13,5.6,8,0.3,▲,1.0,5.7,5.0,389.0
48,2020-06-14,5.8,6,0.2,▲,2.0,3.6,-2.0,395.0
49,2020-06-15,5.7,3,-0.1,▼,1.0,-1.7,-3.0,398.0
50,2020-06-16,5.9,5,0.2,▲,2.0,3.5,2.0,403.0
51,2020-06-17,5.8,2,-0.1,▼,1.0,-1.7,-3.0,405.0
52,2020-06-18,5.8,6,0.0,-,1.0,0.0,4.0,411.0
53,2020-06-19,5.8,4,0.0,-,1.0,0.0,-2.0,415.0
54,2020-06-20,6.0,7,0.2,▲,2.0,3.4,3.0,422.0
55,2020-06-21,6.1,6,0.1,▲,3.0,1.7,-1.0,428.0
56,2020-06-22,6.5,13,0.4,▲,4.0,6.6,7.0,441.0
57,2020-06-23,6.7,13,0.2,▲,5.0,3.1,0.0,454.0
58,2020-06-24,7.1,13,0.4,▲,6.0,6.0,0.0,467.0
59,2020-06-25,7.1,5,0.0,-,6.0,0.0,-8.0,472.0
60,2020-06-26,6.9,3,-0.2,▼,5.0,-2.8,-2.0,475.0
61,2020-06-27,6.6,5,-0.3,▼,4.0,-4.3,2.0,480.0
62,2020-06-28,6.5,6,-0.1,▼,3.0,-1.5,1.0,486.0
63,2020-06-29,6.3,7,-0.2,▼,2.0,-3.1,1.0,493.0
64,2020-06-30,6.5,7,0.2,▲,3.0,3.2,0.0,500.0
65,2020-07-01,7.1,14,0.6,▲,4.0,9.2,7.0,514.0
66,2020-07-02,7.4,5,0.3,▲,5.0,4.2,-9.0,519.0
67,2020-07-03,7.5,10,0.1,▲,6.0,1.4,5.0,529.0
68,2020-07-04,7.8,3,0.3,▲,7.0,4.0,-7.0,532.0
69,2020-07-05,7.5,4,-0.3,▼,6.0,-3.8,1.0,536.0
70,2020-07-06,7.4,8,-0.1,▼,5.0,-1.3,4.0,544.0
71,2020-07-07,7.2,4,-0.2,▼,4.0,-2.7,-4.0,548.0
72,2020-07-08,7.0,7,-0.2,▼,3.0,-2.8,3.0,555.0
73,2020-07-09,6.8,12,-0.2,▼,2.0,-2.9,5.0,567.0
74,2020-07-10,7.0,2,0.2,▲,3.0,2.9,-10.0,569.0
75,2020-07-11,6.9,6,-0.1,▼,2.0,-1.4,4.0,575.0
76,2020-07-12,6.9,4,0.0,-,2.0,0.0,-2.0,579.0
77,2020-07-13,6.9,9,0.0,-,2.0,0.0,5.0,588.0
78,2020-07-14,7.1,11,0.2,▲,3.0,2.9,2.0,599.0
79,2020-07-15,7.0,5,-0.1,▼,2.0,-1.4,-6.0,604.0
80,2020-07-16,7.2,6,0.2,▲,3.0,2.9,1.0,610.0
81,2020-07-17,7.4,5,0.2,▲,4.0,2.8,-1.0,615.0
82,2020-07-18,7.4,3,0.0,-,4.0,0.0,-2.0,618.0
83,2020-07-19,7.5,9,0.1,▲,5.0,1.4,6.0,627.0
84,2020-07-20,7.8,10,0.3,▲,6.0,4.0,1.0,637.0
85,2020-07-21,7.6,9,-0.2,▼,5.0,-2.6,-1.0,646.0
86,2020-07-22,7.8,9,0.2,▲,6.0,2.6,0.0,655.0
87,2020-07-23,8.1,9,0.3,▲,7.0,3.8,0.0,664.0
88,2020-07-24,8.0,9,-0.1,▼,6.0,-1.2,0.0,673.0
89,2020-07-25,8.1,7,0.1,▲,7.0,1.2,-2.0,680.0
90,2020-07-26,7.9,5,-0.2,▼,6.0,-2.5,-2.0,685.0
91,2020-07-27,7.9,8,0.0,-,6.0,0.0,3.0,693.0
92,2020-07-28,8.1,10,0.2,▲,7.0,2.5,2.0,703.0
93,2020-07-29,7.8,4,-0.3,▼,6.0,-3.7,-6.0,707.0
94,2020-07-30,8.0,5,0.2,▲,7.0,2.6,1.0,712.0
95,2020-07-31,8.5,9,0.5,▲,8.0,6.2,4.0,721.0
96,2020-08-01,8.7,2,0.2,▲,9.0,2.4,-7.0,723.0
97,2020-08-02,8.4,6,-0.3,▼,8.0,-3.4,4.0,729.0
98,2020-08-03,8.4,2,0.0,-,8.0,0.0,-4.0,731.0
99,2020-08-04,8.0,10,-0.4,▼,7.0,-4.8,8.0,741.0
100,2020-08-05,7.7,7,-0.3,▼,6.0,-3.8,-3.0,748.0
101,2020-08-06,7.2,8,-0.5,▼,5.0,-6.5,1.0,756.0
102,2020-08-07,7.4,13,0.2,▲,6.0,2.8,5.0,769.0
103,2020-08-08,7.8,9,0.4,▲,7.0,5.4,-4.0,778.0
104,2020-08-09,8.1,9,0.3,▲,8.0,3.8,0.0,787.0
105,2020-08-10,8.3,13,0.2,▲,9.0,2.5,4.0,800.0
106,2020-08-11,8.6,12,0.3,▲,10.0,3.6,-1.0,812.0
107,2020-08-12,8.6,6,0.0,-,10.0,0.0,-6.0,818.0
108,2020-08-13,8.7,9,0.1,▲,11.0,1.2,3.0,827.0
109,2020-08-14,8.6,7,-0.1,▼,10.0,-1.1,-2.0,834.0
110,2020-08-15,8.6,13,0.0,-,10.0,0.0,6.0,847.0
111,2020-08-16,8.7,12,0.1,▲,11.0,1.2,-1.0,859.0
112,2020-08-17,8.7,11,0.0,-,11.0,0.0,-1.0,870.0
113,2020-08-18,8.3,4,-0.4,▼,10.0,-4.6,-7.0,874.0
114,2020-08-19,7.9,8,-0.4,▼,9.0,-4.8,4.0,882.0
115,2020-08-20,7.8,8,-0.1,▼,8.0,-1.3,0.0,890.0
116,2020-08-21,7.8,7,0.0,-,8.0,0.0,-1.0,897.0
117,2020-08-22,7.8,10,0.0,-,8.0,0.0,3.0,907.0
118,2020-08-23,7.9,13,0.1,▲,9.0,1.3,3.0,920.0
119,2020-08-24,8.3,10,0.4,▲,10.0,5.1,-3.0,930.0
120,2020-08-25,8.4,9,0.1,▲,11.0,1.2,-1.0,939.0
121,2020-08-26,8.5,4,0.1,▲,12.0,1.2,-5.0,943.0
122,2020-08-27,8.6,11,0.1,▲,13.0,1.2,7.0,954.0
123,2020-08-28,8.8,8,0.2,▲,14.0,2.3,-3.0,962.0
124,2020-08-29,8.8,12,0.0,-,14.0,0.0,4.0,974.0
125,2020-08-30,8.6,12,-0.2,▼,13.0,-2.3,0.0,986.0
126,2020-08-31,8.4,10,-0.2,▼,12.0,-2.3,-2.0,996.0
127,2020-09-01,8.5,20,0.1,▲,13.0,1.2,10.0,1016.0
128,2020-09-02,8.6,6,0.1,▲,14.0,1.2,-14.0,1022.0
129,2020-09-03,8.8,5,0.2,▲,15.0,2.3,-1.0,1027.0
130,2020-09-04,8.9,10,0.1,▲,16.0,1.1,5.0,1037.0
131,2020-09-05,8.9,15,0.0,-,16.0,0.0,5.0,1052.0
132,2020-09-06,8.7,12,-0.2,▼,15.0,-2.2,-3.0,1064.0
133,2020-09-07,8.7,9,0.0,-,15.0,0.0,-3.0,1073.0
134,2020-09-08,8.3,11,-0.4,▼,14.0,-4.6,2.0,1084.0
135,2020-09-09,8.5,11,0.2,▲,15.0,2.4,0.0,1095.0
136,2020-09-10,8.6,11,0.1,▲,16.0,1.2,0.0,1106.0
137,2020-09-11,8.7,7,0.1,▲,17.0,1.2,-4.0,1113.0
138,2020-09-12,8.7,11,0.0,-,17.0,0.0,4.0,1124.0
139,2020-09-13,9.0,11,0.3,▲,18.0,3.4,0.0,1135.0
140,2020-09-14,9.0,7,0.0,-,18.0,0.0,-4.0,1142.0
141,2020-09-15,9.0,11,0.0,-,18.0,0.0,4.0,1153.0
142,2020-09-16,8.9,11,-0.1,▼,17.0,-1.1,0.0,1164.0
143,2020-09-17,8.9,12,0.0,-,17.0,0.0,1.0,1176.0
144,2020-09-18,8.8,8,-0.1,▼,16.0,-1.1,-4.0,1184.0
145,2020-09-19,8.6,6,-0.2,▼,15.0,-2.3,-2.0,1190.0
146,2020-09-20,8.6,14,0.0,-,15.0,0.0,8.0,1204.0
147,2020-09-21,8.6,3,0.0,-,15.0,0.0,-11.0,1207.0
148,2020-09-22,8.5,11,-0.1,▼,14.0,-1.2,8.0,1218.0
149,2020-09-23,8.4,8,-0.1,▼,13.0,-1.2,-3.0,1226.0
150,2020-09-24,8.3,10,-0.1,▼,12.0,-1.2,2.0,1236.0
151,2020-09-25,8.0,12,-0.3,▼,11.0,-3.6,2.0,1248.0
152,2020-09-26,8.0,14,0.0,-,11.0,0.0,2.0,1262.0
153,2020-09-27,7.8,7,-0.2,▼,10.0,-2.5,-7.0,1269.0
154,2020-09-28,7.8,7,0.0,-,10.0,0.0,0.0,1276.0
155,2020-09-29,7.9,12,0.1,▲,11.0,1.3,5.0,1288.0
156,2020-09-30,7.9,13,0.0,-,11.0,0.0,1.0,1301.0
157,2020-10-01,8.0,8,0.1,▲,12.0,1.3,-5.0,1309.0
158,2020-10-02,8.1,3,0.1,▲,13.0,1.2,-5.0,1312.0
159,2020-10-03,7.8,6,-0.3,▼,12.0,-3.7,3.0,1318.0
160,2020-10-04,8.0,13,0.2,▲,13.0,2.6,7.0,1331.0
161,2020-10-05,8.2,11,0.2,▲,14.0,2.5,-2.0,1342.0
162,2020-10-06,8.0,6,-0.2,▼,13.0,-2.4,-5.0,1348.0
163,2020-10-07,8.1,10,0.1,▲,14.0,1.2,4.0,1358.0
164,2020-10-08,8.5,11,0.4,▲,15.0,4.9,1.0,1369.0
165,2020-10-09,8.4,19,-0.1,▼,14.0,-1.2,8.0,1388.0
166,2020-10-10,8.4,15,0.0,-,14.0,0.0,-4.0,1403.0
167,2020-10-11,8.6,13,0.2,▲,15.0,2.4,-2.0,1416.0
168,2020-10-12,8.8,6,0.2,▲,16.0,2.3,-7.0,1422.0
169,2020-10-13,9.0,10,0.2,▲,17.0,2.3,4.0,1432.0
170,2020-10-14,9.1,13,0.1,▲,18.0,1.1,3.0,1445.0
171,2020-10-15,9.2,10,0.1,▲,19.0,1.1,-3.0,1455.0
172,2020-10-16,9.2,29,0.0,-,19.0,0.0,19.0,1484.0
173,2020-10-17,9.4,20,0.2,▲,20.0,2.2,-9.0,1504.0
174,2020-10-18,9.2,22,-0.2,▼,19.0,-2.1,2.0,1526.0
175,2020-10-19,9.3,18,0.1,▲,20.0,1.1,-4.0,1544.0
176,2020-10-20,9.4,6,0.1,▲,21.0,1.1,-12.0,1550.0
177,2020-10-21,9.3,5,-0.1,▼,20.0,-1.1,-1.0,1555.0
178,2020-10-22,9.1,9,-0.2,▼,19.0,-2.2,4.0,1564.0
179,2020-10-23,9.9,7,0.8,▲,20.0,8.8,-2.0,1571.0
180,2020-10-24,9.7,20,-0.2,▼,19.0,-2.0,13.0,1591.0
181,2020-10-25,9.5,16,-0.2,▼,18.0,-2.1,-4.0,1607.0
182,2020-10-26,9.4,13,-0.1,▼,17.0,-1.1,-3.0,1620.0
183,2020-10-27,9.6,15,0.2,▲,18.0,2.1,2.0,1635.0
184,2020-10-28,9.3,12,-0.3,▼,17.0,-3.1,-3.0,1647.0
185,2020-10-29,9.2,8,-0.1,▼,16.0,-1.1,-4.0,1655.0
186,2020-10-30,9.2,16,0.0,-,16.0,0.0,8.0,1671.0
187,2020-10-31,9.4,8,0.2,▲,17.0,2.2,-8.0,1679.0
188,2020-11-01,8.9,10,-0.5,▼,16.0,-5.3,2.0,1689.0
189,2020-11-02,8.9,11,0.0,-,16.0,0.0,1.0,1700.0
190,2020-11-03,10.0,20,1.1,▲,17.0,12.4,9.0,1720.0
191,2020-11-04,10.6,10,0.6,▲,18.0,6.0,-10.0,1730.0
192,2020-11-05,11.2,8,0.6,▲,19.0,5.7,-2.0,1738.0
193,2020-11-06,11.3,10,0.1,▲,20.0,0.9,2.0,1748.0
194,2020-11-07,10.8,16,-0.5,▼,19.0,-4.4,6.0,1764.0
195,2020-11-08,10.0,11,-0.8,▼,18.0,-7.4,-5.0,1775.0
196,2020-11-09,9.4,5,-0.6,▼,17.0,-6.0,-6.0,1780.0
197,2020-11-10,8.9,7,-0.5,▼,16.0,-5.3,2.0,1787.0
198,2020-11-11,8.9,10,0.0,-,16.0,0.0,3.0,1797.0
199,2020-11-12,8.7,10,-0.2,▼,15.0,-2.2,0.0,1807.0
200,2020-11-13,8.5,10,-0.2,▼,14.0,-2.3,0.0,1817.0
201,2020-11-14,8.6,9,0.1,▲,15.0,1.2,-1.0,1826.0
202,2020-11-15,8.4,9,-0.2,▼,14.0,-2.3,0.0,1835.0
203,2020-11-16,8.5,5,0.1,▲,15.0,1.2,-4.0,1840.0
204,2020-11-17,8.8,8,0.3,▲,16.0,3.5,3.0,1848.0
205,2020-11-18,8.9,6,0.1,▲,17.0,1.1,-2.0,1854.0
206,2020-11-19,8.8,7,-0.1,▼,16.0,-1.1,1.0,1861.0
207,2020-11-20,9.4,12,0.6,▲,17.0,6.8,5.0,1873.0
208,2020-11-21,9.4,9,0.0,-,17.0,0.0,-3.0,1882.0
209,2020-11-22,9.1,10,-0.3,▼,16.0,-3.2,1.0,1892.0
210,2020-11-23,9.2,2,0.1,▲,17.0,1.1,-8.0,1894.0
211,2020-11-24,10.3,13,1.1,▲,18.0,12.0,11.0,1907.0
212,2020-11-25,9.9,8,-0.4,▼,17.0,-3.9,-5.0,1915.0
213,2020-11-27,9.9,8,0.0,-,17.0,0.0,0.0,1923.0
214,2020-11-28,10.7,13,0.8,▲,18.0,8.1,5.0,1936.0
215,2020-11-29,10.7,4,0.0,-,18.0,0.0,-9.0,1940.0
216,2020-11-30,9.6,5,-1.1,▼,17.0,-10.3,1.0,1945.0
217,2020-12-01,9.5,6,-0.1,▼,16.0,-1.0,1.0,1951.0
218,2020-12-02,9.6,6,0.1,▲,17.0,1.1,0.0,1957.0
219,2020-12-03,9.0,8,-0.6,▼,16.0,-6.2,2.0,1965.0
220,2020-12-04,9.0,3,0.0,-,16.0,0.0,-5.0,1968.0
221,2020-12-05,9.0,7,0.0,-,16.0,0.0,4.0,1975.0
222,2020-12-06,9.0,5,0.0,-,16.0,0.0,-2.0,1980.0
223,2020-12-07,9.0,4,0.0,-,16.0,0.0,-1.0,1984.0
224,2020-12-08,9.2,4,0.2,▲,17.0,2.2,0.0,1988.0
225,2020-12-09,9.1,5,-0.1,▼,16.0,-1.1,1.0,1993.0
226,2020-12-10,9.3,5,0.2,▲,17.0,2.2,0.0,1998.0
227,2020-12-11,9.3,3,0.0,-,17.0,0.0,-2.0,2001.0
228,2020-12-12,9.1,9,-0.2,▼,16.0,-2.2,6.0,2010.0
229,2020-12-13,8.9,7,-0.2,▼,15.0,-2.2,-2.0,2017.0
230,2020-12-14,9.0,4,0.1,▲,16.0,1.1,-3.0,2021.0
231,2020-12-15,8.8,6,-0.2,▼,15.0,-2.2,2.0,2027.0
232,2020-12-16,8.6,3,-0.2,▼,14.0,-2.3,-3.0,2030.0
233,2020-12-17,8.7,7,0.1,▲,15.0,1.2,4.0,2037.0
234,2020-12-18,8.7,2,0.0,-,15.0,0.0,-5.0,2039.0
