,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-27,8.4,3,0.0,-,0.0,0.0
1,2020-04-28,8.3,4,-0.1,▼,-1.0,-1.2
2,2020-04-29,8.0,5,-0.3,▼,-2.0,-3.6
3,2020-04-30,8.1,8,0.1,▲,-1.0,1.2
4,2020-05-01,8.4,5,0.3,▲,0.0,3.7
5,2020-05-02,8.5,8,0.1,▲,1.0,1.2
6,2020-05-03,8.3,8,-0.2,▼,0.0,-2.4
7,2020-05-04,8.2,6,-0.1,▼,-1.0,-1.2
8,2020-05-05,8.1,3,-0.1,▼,-2.0,-1.2
9,2020-05-06,7.8,4,-0.3,▼,-3.0,-3.7
10,2020-05-07,7.6,6,-0.2,▼,-4.0,-2.6
11,2020-05-08,7.6,6,0.0,-,-4.0,0.0
12,2020-05-09,7.6,6,0.0,-,-4.0,0.0
13,2020-05-10,7.3,5,-0.3,▼,-5.0,-3.9
14,2020-05-11,7.0,4,-0.3,▼,-6.0,-4.1
15,2020-05-12,6.6,5,-0.4,▼,-7.0,-5.7
16,2020-05-13,6.5,7,-0.1,▼,-8.0,-1.5
17,2020-05-14,6.3,9,-0.2,▼,-9.0,-3.1
18,2020-05-15,6.5,11,0.2,▲,-8.0,3.2
19,2020-05-16,7.0,9,0.5,▲,-7.0,7.7
20,2020-05-17,7.7,3,0.7,▲,-6.0,10.0
21,2020-05-18,7.8,13,0.1,▲,-5.0,1.3
22,2020-05-19,8.4,6,0.6,▲,-4.0,7.7
23,2020-05-20,8.1,11,-0.3,▼,-5.0,-3.6
24,2020-05-21,8.1,11,0.0,-,-5.0,0.0
25,2020-05-22,8.2,3,0.1,▲,-4.0,1.2
26,2020-05-23,8.5,5,0.3,▲,-3.0,3.7
27,2020-05-24,8.1,8,-0.4,▼,-4.0,-4.7
28,2020-05-25,8.7,2,0.6,▲,-3.0,7.4
29,2020-05-26,8.7,3,0.0,-,-3.0,0.0
30,2020-05-27,8.6,5,-0.1,▼,-4.0,-1.1
31,2020-05-28,8.7,3,0.1,▲,-3.0,1.2
32,2020-05-29,9.0,2,0.3,▲,-2.0,3.4
33,2020-05-30,8.6,4,-0.4,▼,-3.0,-4.4
34,2020-05-31,8.3,9,-0.3,▼,-4.0,-3.5
35,2020-06-01,8.1,5,-0.2,▼,-5.0,-2.4
36,2020-06-03,7.8,3,-0.3,▼,-6.0,-3.7
37,2020-06-04,7.6,4,-0.2,▼,-7.0,-2.6
38,2020-06-05,7.8,5,0.2,▲,-6.0,2.6
39,2020-06-06,7.8,6,0.0,-,-6.0,0.0
40,2020-06-07,7.7,5,-0.1,▼,-7.0,-1.3
41,2020-06-08,7.7,5,0.0,-,-7.0,0.0
42,2020-06-09,7.6,9,-0.1,▼,-8.0,-1.3
43,2020-06-10,7.9,3,0.3,▲,-7.0,3.9
44,2020-06-11,8.4,9,0.5,▲,-6.0,6.3
45,2020-06-12,8.5,3,0.1,▲,-5.0,1.2
46,2020-06-13,8.2,4,-0.3,▼,-6.0,-3.5
47,2020-06-14,8.2,3,0.0,-,-6.0,0.0
48,2020-06-15,8.0,3,-0.2,▼,-7.0,-2.4
49,2020-06-16,8.0,3,0.0,-,-7.0,0.0
50,2020-06-17,7.3,4,-0.7,▼,-8.0,-8.8
51,2020-06-18,7.7,4,0.4,▲,-7.0,5.5
52,2020-06-19,7.9,4,0.2,▲,-6.0,2.6
53,2020-06-20,7.5,4,-0.4,▼,-7.0,-5.1
54,2020-06-21,7.2,2,-0.3,▼,-8.0,-4.0
55,2020-06-22,8.1,2,0.9,▲,-7.0,12.5
56,2020-06-23,7.9,8,-0.2,▼,-8.0,-2.5
57,2020-06-24,7.7,3,-0.2,▼,-9.0,-2.5
58,2020-06-25,8.2,4,0.5,▲,-8.0,6.5
59,2020-06-26,8.1,5,-0.1,▼,-9.0,-1.2
60,2020-06-27,8.2,2,0.1,▲,-8.0,1.2
61,2020-06-28,8.4,3,0.2,▲,-7.0,2.4
62,2020-06-29,8.4,5,0.0,-,-7.0,0.0
63,2020-06-30,8.1,5,-0.3,▼,-8.0,-3.6
64,2020-07-01,7.9,2,-0.2,▼,-9.0,-2.5
