,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-05-08,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-05-15,,1,,▲,1.0,,0.0,1.0
2,2020-05-16,,1,,▲,2.0,,0.0,2.0
3,2020-06-04,,1,,▲,3.0,,0.0,3.0
4,2020-06-07,1.0,1,,▲,4.0,,0.0,4.0
5,2020-06-09,1.0,2,0.0,-,4.0,0.0,1.0,6.0
6,2020-06-18,1.0,1,0.0,-,4.0,0.0,-1.0,7.0
7,2020-07-05,1.0,1,0.0,-,4.0,0.0,0.0,8.0
8,2020-07-09,1.2,1,0.2,▲,5.0,20.0,0.0,9.0
9,2020-08-14,1.4,2,0.2,▲,6.0,16.7,1.0,11.0
10,2020-08-28,2.0,6,0.6,▲,7.0,42.9,4.0,17.0
11,2020-09-05,2.0,1,0.0,-,7.0,0.0,-5.0,18.0
12,2020-09-10,2.0,1,0.0,-,7.0,0.0,0.0,19.0
13,2020-09-12,1.8,1,-0.2,▼,6.0,-10.0,0.0,20.0
14,2020-09-22,1.6,1,-0.2,▼,5.0,-11.1,0.0,21.0
15,2020-09-28,1.4,13,-0.2,▼,4.0,-12.5,12.0,34.0
16,2020-10-04,2.0,1,0.6,▲,5.0,42.9,-12.0,35.0
