,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-24,11.0,4,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-25,10.0,7,-1.0,▼,-1.0,-9.1,3.0,7.0
2,2020-03-26,10.0,5,0.0,-,-1.0,0.0,-2.0,12.0
3,2020-03-27,9.9,5,-0.1,▼,-2.0,-1.0,0.0,17.0
4,2020-03-28,9.2,9,-0.7,▼,-3.0,-7.1,4.0,26.0
5,2020-03-29,9.5,6,0.3,▲,-2.0,3.3,-3.0,32.0
6,2020-03-30,9.9,5,0.4,▲,-1.0,4.2,-1.0,37.0
7,2020-03-31,9.9,5,0.0,-,-1.0,0.0,0.0,42.0
8,2020-04-01,9.7,4,-0.2,▼,-2.0,-2.0,-1.0,46.0
9,2020-04-02,9.8,8,0.1,▲,-1.0,1.0,4.0,54.0
10,2020-04-03,9.3,7,-0.5,▼,-2.0,-5.1,-1.0,61.0
11,2020-04-04,8.7,3,-0.6,▼,-3.0,-6.5,-4.0,64.0
12,2020-04-05,8.6,5,-0.1,▼,-4.0,-1.1,2.0,69.0
13,2020-04-06,8.5,3,-0.1,▼,-5.0,-1.2,-2.0,72.0
14,2020-04-07,8.3,1,-0.2,▼,-6.0,-2.4,-2.0,73.0
15,2020-04-08,7.9,7,-0.4,▼,-7.0,-4.8,6.0,80.0
16,2020-04-09,7.7,10,-0.2,▼,-8.0,-2.5,3.0,90.0
17,2020-04-10,7.7,3,0.0,-,-8.0,0.0,-7.0,93.0
18,2020-04-11,7.1,8,-0.6,▼,-9.0,-7.8,5.0,101.0
19,2020-04-12,6.6,4,-0.5,▼,-10.0,-7.0,-4.0,105.0
20,2020-04-13,6.7,4,0.1,▲,-9.0,1.5,0.0,109.0
21,2020-04-14,6.5,5,-0.2,▼,-10.0,-3.0,1.0,114.0
22,2020-04-15,5.8,3,-0.7,▼,-11.0,-10.8,-2.0,117.0
23,2020-04-16,6.0,4,0.2,▲,-10.0,3.4,1.0,121.0
24,2020-04-17,6.1,5,0.1,▲,-9.0,1.7,1.0,126.0
25,2020-04-18,5.9,3,-0.2,▼,-10.0,-3.3,-2.0,129.0
26,2020-04-19,6.0,8,0.1,▲,-9.0,1.7,5.0,137.0
27,2020-04-20,6.3,7,0.3,▲,-8.0,5.0,-1.0,144.0
28,2020-04-21,5.8,2,-0.5,▼,-9.0,-7.9,-5.0,146.0
29,2020-04-22,5.8,4,0.0,-,-9.0,0.0,2.0,150.0
30,2020-04-23,5.7,2,-0.1,▼,-10.0,-1.7,-2.0,152.0
31,2020-04-24,5.5,5,-0.2,▼,-11.0,-3.5,3.0,157.0
32,2020-04-25,5.5,7,0.0,-,-11.0,0.0,2.0,164.0
33,2020-04-26,5.8,4,0.3,▲,-10.0,5.5,-3.0,168.0
34,2020-04-27,5.6,1,-0.2,▼,-11.0,-3.4,-3.0,169.0
35,2020-04-29,5.8,3,0.2,▲,-10.0,3.6,2.0,172.0
36,2020-04-30,5.5,3,-0.3,▼,-11.0,-5.2,0.0,175.0
37,2020-05-01,5.6,9,0.1,▲,-10.0,1.8,6.0,184.0
38,2020-05-02,5.5,4,-0.1,▼,-11.0,-1.8,-5.0,188.0
39,2020-05-03,5.5,6,0.0,-,-11.0,0.0,2.0,194.0
40,2020-05-04,5.3,11,-0.2,▼,-12.0,-3.6,5.0,205.0
41,2020-05-05,5.8,4,0.5,▲,-11.0,9.4,-7.0,209.0
42,2020-05-06,5.3,5,-0.5,▼,-12.0,-8.6,1.0,214.0
43,2020-05-07,5.5,5,0.2,▲,-11.0,3.8,0.0,219.0
44,2020-05-08,5.5,6,0.0,-,-11.0,0.0,1.0,225.0
45,2020-05-09,6.2,3,0.7,▲,-10.0,12.7,-3.0,228.0
46,2020-05-10,5.9,3,-0.3,▼,-11.0,-4.8,0.0,231.0
47,2020-05-11,6.1,8,0.2,▲,-10.0,3.4,5.0,239.0
48,2020-05-12,6.1,9,0.0,-,-10.0,0.0,1.0,248.0
49,2020-05-13,6.6,12,0.5,▲,-9.0,8.2,3.0,260.0
50,2020-05-14,5.8,6,-0.8,▼,-10.0,-12.1,-6.0,266.0
51,2020-05-15,6.1,5,0.3,▲,-9.0,5.2,-1.0,271.0
52,2020-05-16,6.3,7,0.2,▲,-8.0,3.3,2.0,278.0
53,2020-05-17,7.1,5,0.8,▲,-7.0,12.7,-2.0,283.0
54,2020-05-18,6.8,10,-0.3,▼,-8.0,-4.2,5.0,293.0
55,2020-05-19,7.2,4,0.4,▲,-7.0,5.9,-6.0,297.0
56,2020-05-20,7.1,8,-0.1,▼,-8.0,-1.4,4.0,305.0
57,2020-05-21,7.3,6,0.2,▲,-7.0,2.8,-2.0,311.0
58,2020-05-22,7.0,3,-0.3,▼,-8.0,-4.1,-3.0,314.0
59,2020-05-23,7.1,4,0.1,▲,-7.0,1.4,1.0,318.0
60,2020-05-24,6.8,2,-0.3,▼,-8.0,-4.2,-2.0,320.0
61,2020-05-25,6.5,2,-0.3,▼,-9.0,-4.4,0.0,322.0
62,2020-05-26,6.0,1,-0.5,▼,-10.0,-7.7,-1.0,323.0
63,2020-05-27,5.4,5,-0.6,▼,-11.0,-10.0,4.0,328.0
64,2020-05-28,5.4,6,0.0,-,-11.0,0.0,1.0,334.0
65,2020-05-29,5.5,2,0.1,▲,-10.0,1.9,-4.0,336.0
66,2020-05-30,5.9,3,0.4,▲,-9.0,7.3,1.0,339.0
67,2020-05-31,6.3,13,0.4,▲,-8.0,6.8,10.0,352.0
68,2020-06-01,6.6,6,0.3,▲,-7.0,4.8,-7.0,358.0
69,2020-06-02,6.6,3,0.0,-,-7.0,0.0,-3.0,361.0
70,2020-06-03,6.6,4,0.0,-,-7.0,0.0,1.0,365.0
71,2020-06-04,6.6,12,0.0,-,-7.0,0.0,8.0,377.0
72,2020-06-05,6.5,9,-0.1,▼,-8.0,-1.5,-3.0,386.0
73,2020-06-06,6.6,4,0.1,▲,-7.0,1.5,-5.0,390.0
74,2020-06-07,6.6,7,0.0,-,-7.0,0.0,3.0,397.0
75,2020-06-08,6.5,5,-0.1,▼,-8.0,-1.5,-2.0,402.0
76,2020-06-09,6.4,3,-0.1,▼,-9.0,-1.5,-2.0,405.0
77,2020-06-10,6.4,10,0.0,-,-9.0,0.0,7.0,415.0
78,2020-06-11,5.9,2,-0.5,▼,-10.0,-7.8,-8.0,417.0
79,2020-06-12,5.9,3,0.0,-,-10.0,0.0,1.0,420.0
80,2020-06-13,5.8,2,-0.1,▼,-11.0,-1.7,-1.0,422.0
81,2020-06-14,6.1,9,0.3,▲,-10.0,5.2,7.0,431.0
82,2020-06-15,6.2,7,0.1,▲,-9.0,1.6,-2.0,438.0
83,2020-06-16,6.8,6,0.6,▲,-8.0,9.7,-1.0,444.0
84,2020-06-17,7.2,8,0.4,▲,-7.0,5.9,2.0,452.0
85,2020-06-18,7.5,6,0.3,▲,-6.0,4.2,-2.0,458.0
86,2020-06-19,7.5,7,0.0,-,-6.0,0.0,1.0,465.0
87,2020-06-20,7.6,3,0.1,▲,-5.0,1.3,-4.0,468.0
