,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-28,,1,0.0,-,0.0,0.0
1,2020-04-29,,1,,▲,1.0,
2,2020-04-30,,1,,▲,2.0,
3,2020-05-01,2.8,2,,▲,3.0,
4,2020-05-02,2.4,2,-0.4,▼,2.0,-14.3
5,2020-05-03,3.0,1,0.6,▲,3.0,25.0
6,2020-05-04,3.0,1,0.0,-,3.0,0.0
7,2020-05-05,2.8,2,-0.2,▼,2.0,-6.7
8,2020-05-06,2.6,5,-0.2,▼,1.0,-7.1
9,2020-05-09,2.8,1,0.2,▲,2.0,7.7
10,2020-05-10,2.3,7,-0.5,▼,1.0,-17.9
11,2020-05-11,2.4,3,0.1,▲,2.0,4.3
12,2020-05-13,2.4,1,0.0,-,2.0,0.0
13,2020-05-14,2.3,8,-0.1,▼,1.0,-4.2
14,2020-05-15,2.3,1,0.0,-,1.0,0.0
15,2020-05-16,2.2,1,-0.1,▼,0.0,-4.3
16,2020-05-17,2.3,1,0.1,▲,1.0,4.5
17,2020-05-18,2.1,1,-0.2,▼,0.0,-8.7
18,2020-05-19,2.0,7,-0.1,▼,-1.0,-4.8
19,2020-05-20,1.9,3,-0.1,▼,-2.0,-5.0
20,2020-05-21,2.1,1,0.2,▲,-1.0,10.5
21,2020-05-22,2.1,1,0.0,-,-1.0,0.0
22,2020-05-23,2.3,1,0.2,▲,0.0,9.5
23,2020-05-24,2.1,1,-0.2,▼,-1.0,-8.7
24,2020-05-25,2.2,1,0.1,▲,0.0,4.8
25,2020-05-26,2.0,1,-0.2,▼,-1.0,-9.1
26,2020-05-27,1.9,2,-0.1,▼,-2.0,-5.0
27,2020-05-28,1.9,1,0.0,-,-2.0,0.0
28,2020-05-29,2.3,2,0.4,▲,-1.0,21.1
29,2020-05-30,2.3,1,0.0,-,-1.0,0.0
30,2020-06-01,2.6,3,0.3,▲,0.0,13.0
31,2020-06-04,2.6,2,0.0,-,0.0,0.0
32,2020-06-05,2.6,1,0.0,-,0.0,0.0
33,2020-06-06,2.6,2,0.0,-,0.0,0.0
34,2020-06-08,3.0,1,0.4,▲,1.0,15.4
35,2020-06-11,2.9,1,-0.1,▼,0.0,-3.3
36,2020-06-13,3.0,1,0.1,▲,1.0,3.4
37,2020-06-14,3.2,4,0.2,▲,2.0,6.7
38,2020-06-19,3.0,1,-0.2,▼,1.0,-6.2
39,2020-06-20,2.4,1,-0.6,▼,0.0,-20.0
40,2020-06-21,2.2,2,-0.2,▼,-1.0,-8.3
41,2020-06-23,2.0,1,-0.2,▼,-2.0,-9.1
42,2020-06-24,1.7,2,-0.3,▼,-3.0,-15.0
43,2020-06-26,1.9,1,0.2,▲,-2.0,11.8
44,2020-06-27,2.1,1,0.2,▲,-1.0,10.5
45,2020-07-01,2.1,1,0.0,-,-1.0,0.0
46,2020-07-06,2.3,1,0.2,▲,0.0,9.5
47,2020-07-09,2.8,1,0.5,▲,1.0,21.7
48,2020-07-13,2.6,1,-0.2,▼,0.0,-7.1
49,2020-07-16,2.8,3,0.2,▲,1.0,7.7
50,2020-07-17,3.0,2,0.2,▲,2.0,7.1
51,2020-07-18,2.8,2,-0.2,▼,1.0,-6.7
52,2020-07-22,2.4,1,-0.4,▼,0.0,-14.3
53,2020-07-28,2.6,1,0.2,▲,1.0,8.3
54,2020-07-29,2.2,1,-0.4,▼,0.0,-15.4
55,2020-08-01,2.0,1,-0.2,▼,-1.0,-9.1
56,2020-08-03,1.9,2,-0.1,▼,-2.0,-5.0
57,2020-08-04,2.1,1,0.2,▲,-1.0,10.5
58,2020-08-05,1.8,3,-0.3,▼,-2.0,-14.3
59,2020-08-06,1.9,2,0.1,▲,-1.0,5.6
60,2020-08-10,1.9,3,0.0,-,-1.0,0.0
61,2020-08-12,2.0,1,0.1,▲,0.0,5.3
62,2020-08-13,1.8,1,-0.2,▼,-1.0,-10.0
63,2020-08-14,1.7,1,-0.1,▼,-2.0,-5.6
64,2020-08-15,1.8,3,0.1,▲,-1.0,5.9
65,2020-08-17,1.7,3,-0.1,▼,-2.0,-5.6
66,2020-08-22,1.7,1,0.0,-,-2.0,0.0
67,2020-08-25,1.7,1,0.0,-,-2.0,0.0
