,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-05-01,,3,0.0,-,0.0,0.0
1,2020-05-02,2.2,4,,▲,1.0,
2,2020-05-06,1.7,2,-0.5,▼,0.0,-22.7
3,2020-05-08,1.5,1,-0.2,▼,-1.0,-11.8
4,2020-05-10,1.7,2,0.2,▲,0.0,13.3
5,2020-05-11,2.0,1,0.3,▲,1.0,17.6
6,2020-05-12,2.1,2,0.1,▲,2.0,5.0
7,2020-05-15,1.9,2,-0.2,▼,1.0,-9.5
8,2020-05-16,2.1,1,0.2,▲,2.0,10.5
9,2020-05-17,2.2,2,0.1,▲,3.0,4.8
10,2020-05-19,2.0,2,-0.2,▼,2.0,-9.1
11,2020-05-20,2.2,1,0.2,▲,3.0,10.0
12,2020-05-22,2.5,8,0.3,▲,4.0,13.6
13,2020-05-23,2.3,1,-0.2,▼,3.0,-8.0
14,2020-05-24,2.2,1,-0.1,▼,2.0,-4.3
15,2020-05-25,2.2,1,0.0,-,2.0,0.0
16,2020-05-27,2.0,1,-0.2,▼,1.0,-9.1
17,2020-06-01,1.8,3,-0.2,▼,0.0,-10.0
18,2020-06-02,2.0,1,0.2,▲,1.0,11.1
19,2020-06-03,2.0,1,0.0,-,1.0,0.0
20,2020-06-05,2.0,5,0.0,-,1.0,0.0
21,2020-06-07,2.2,1,0.2,▲,2.0,10.0
22,2020-06-08,2.4,1,0.2,▲,3.0,9.1
23,2020-06-09,2.6,1,0.2,▲,4.0,8.3
24,2020-06-12,2.8,4,0.2,▲,5.0,7.7
25,2020-06-13,3.4,2,0.6,▲,6.0,21.4
26,2020-06-14,3.2,11,-0.2,▼,5.0,-5.9
27,2020-06-17,3.2,1,0.0,-,5.0,0.0
28,2020-06-18,2.9,5,-0.3,▼,4.0,-9.4
29,2020-06-19,2.9,1,0.0,-,4.0,0.0
30,2020-06-20,2.3,3,-0.6,▼,3.0,-20.7
31,2020-06-21,2.6,3,0.3,▲,4.0,13.0
32,2020-06-23,2.6,1,0.0,-,4.0,0.0
33,2020-06-24,2.7,1,0.1,▲,5.0,3.8
34,2020-06-26,2.3,2,-0.4,▼,4.0,-14.8
35,2020-06-29,2.1,1,-0.2,▼,3.0,-8.7
36,2020-06-30,1.8,1,-0.3,▼,2.0,-14.3
37,2020-07-01,1.6,1,-0.2,▼,1.0,-11.1
38,2020-07-04,1.4,1,-0.2,▼,0.0,-12.5
39,2020-07-05,1.7,2,0.3,▲,1.0,21.4
40,2020-07-09,1.9,1,0.2,▲,2.0,11.8
41,2020-07-10,1.9,1,0.0,-,2.0,0.0
42,2020-07-12,1.9,1,0.0,-,2.0,0.0
43,2020-07-13,2.2,2,0.3,▲,3.0,15.8
44,2020-07-18,2.1,5,-0.1,▼,2.0,-4.5
45,2020-07-19,2.3,5,0.2,▲,3.0,9.5
46,2020-07-21,2.3,1,0.0,-,3.0,0.0
47,2020-07-25,2.3,1,0.0,-,3.0,0.0
48,2020-08-01,2.2,2,-0.1,▼,2.0,-4.3
49,2020-08-02,2.2,1,0.0,-,2.0,0.0
50,2020-08-03,2.0,6,-0.2,▼,1.0,-9.1
51,2020-08-04,2.0,1,0.0,-,1.0,0.0
52,2020-08-05,2.3,6,0.3,▲,2.0,15.0
53,2020-08-09,2.3,1,0.0,-,2.0,0.0
54,2020-08-10,2.3,2,0.0,-,2.0,0.0
55,2020-08-11,2.7,1,0.4,▲,3.0,17.4
56,2020-08-13,2.7,1,0.0,-,3.0,0.0
