,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-28,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-29,9.4,1,,▲,1.0,,0.0,1.0
2,2020-05-01,9.2,1,-0.2,▼,0.0,-2.1,0.0,2.0
3,2020-05-04,9.0,1,-0.2,▼,-1.0,-2.2,0.0,3.0
4,2020-05-06,9.0,1,0.0,-,-1.0,0.0,0.0,4.0
5,2020-05-08,9.4,1,0.4,▲,0.0,4.4,0.0,5.0
6,2020-05-12,9.5,2,0.1,▲,1.0,1.1,1.0,7.0
7,2020-05-13,9.7,1,0.2,▲,2.0,2.1,-1.0,8.0
8,2020-05-14,9.8,3,0.1,▲,3.0,1.0,2.0,11.0
9,2020-05-16,9.6,1,-0.2,▼,2.0,-2.0,-2.0,12.0
10,2020-05-17,9.4,1,-0.2,▼,1.0,-2.1,0.0,13.0
11,2020-05-18,9.3,3,-0.1,▼,0.0,-1.1,2.0,16.0
12,2020-05-19,9.1,1,-0.2,▼,-1.0,-2.2,-2.0,17.0
13,2020-05-20,8.8,1,-0.3,▼,-2.0,-3.3,0.0,18.0
14,2020-05-21,8.6,1,-0.2,▼,-3.0,-2.3,0.0,19.0
15,2020-05-22,8.8,2,0.2,▲,-2.0,2.3,1.0,21.0
16,2020-05-23,8.9,2,0.1,▲,-1.0,1.1,0.0,23.0
17,2020-05-24,8.9,3,0.0,-,-1.0,0.0,1.0,26.0
18,2020-05-27,9.3,1,0.4,▲,0.0,4.5,-2.0,27.0
19,2020-06-01,9.7,1,0.4,▲,1.0,4.3,0.0,28.0
20,2020-06-02,9.5,1,-0.2,▼,0.0,-2.1,0.0,29.0
21,2020-06-07,9.4,1,-0.1,▼,-1.0,-1.1,0.0,30.0
22,2020-06-14,9.6,1,0.2,▲,0.0,2.1,0.0,31.0
23,2020-06-15,9.6,1,0.0,-,0.0,0.0,0.0,32.0
24,2020-06-18,9.6,1,0.0,-,0.0,0.0,0.0,33.0
25,2020-06-19,9.4,3,-0.2,▼,-1.0,-2.1,2.0,36.0
26,2020-06-20,9.6,1,0.2,▲,0.0,2.1,-2.0,37.0
27,2020-06-21,10.6,1,1.0,▲,1.0,10.4,0.0,38.0
28,2020-06-22,10.4,2,-0.2,▼,0.0,-1.9,1.0,40.0
29,2020-06-24,10.3,2,-0.1,▼,-1.0,-1.0,0.0,42.0
30,2020-06-25,10.5,1,0.2,▲,0.0,1.9,-1.0,43.0
31,2020-06-28,10.5,2,0.0,-,0.0,0.0,1.0,45.0
32,2020-06-30,9.3,1,-1.2,▼,-1.0,-11.4,-1.0,46.0
33,2020-07-01,9.3,1,0.0,-,-1.0,0.0,0.0,47.0
34,2020-07-02,9.2,2,-0.1,▼,-2.0,-1.1,1.0,49.0
35,2020-07-04,9.4,1,0.2,▲,-1.0,2.2,-1.0,50.0
36,2020-07-06,9.4,2,0.0,-,-1.0,0.0,1.0,52.0
37,2020-07-07,9.4,1,0.0,-,-1.0,0.0,-1.0,53.0
38,2020-07-09,9.5,4,0.1,▲,0.0,1.1,3.0,57.0
39,2020-07-10,9.5,1,0.0,-,0.0,0.0,-3.0,58.0
40,2020-07-13,9.3,2,-0.2,▼,-1.0,-2.1,1.0,60.0
41,2020-07-14,9.2,2,-0.1,▼,-2.0,-1.1,0.0,62.0
42,2020-07-16,9.4,1,0.2,▲,-1.0,2.2,-1.0,63.0
43,2020-07-17,9.5,1,0.1,▲,0.0,1.1,0.0,64.0
44,2020-07-19,9.3,1,-0.2,▼,-1.0,-2.1,0.0,65.0
45,2020-07-20,9.4,4,0.1,▲,0.0,1.1,3.0,69.0
46,2020-07-23,9.1,1,-0.3,▼,-1.0,-3.2,-3.0,70.0
47,2020-07-24,8.9,1,-0.2,▼,-2.0,-2.2,0.0,71.0
48,2020-07-29,8.7,1,-0.2,▼,-3.0,-2.2,0.0,72.0
49,2020-08-03,8.9,3,0.2,▲,-2.0,2.3,2.0,75.0
50,2020-08-04,8.9,2,0.0,-,-2.0,0.0,-1.0,77.0
51,2020-08-07,9.1,1,0.2,▲,-1.0,2.2,-1.0,78.0
52,2020-08-08,8.3,1,-0.8,▼,-2.0,-8.8,0.0,79.0
53,2020-08-09,8.3,2,0.0,-,-2.0,0.0,1.0,81.0
54,2020-08-14,8.1,1,-0.2,▼,-3.0,-2.4,-1.0,82.0
55,2020-08-16,8.1,2,0.0,-,-3.0,0.0,1.0,84.0
56,2020-08-20,8.3,1,0.2,▲,-2.0,2.5,-1.0,85.0
57,2020-08-21,9.3,1,1.0,▲,-1.0,12.0,0.0,86.0
58,2020-08-23,9.5,1,0.2,▲,0.0,2.2,0.0,87.0
59,2020-08-24,9.5,1,0.0,-,0.0,0.0,0.0,88.0
60,2020-08-28,9.4,3,-0.1,▼,-1.0,-1.1,2.0,91.0
61,2020-08-30,9.2,2,-0.2,▼,-2.0,-2.1,-1.0,93.0
62,2020-09-01,8.8,1,-0.4,▼,-3.0,-4.3,-1.0,94.0
63,2020-09-02,8.8,1,0.0,-,-3.0,0.0,0.0,95.0
64,2020-09-04,8.3,3,-0.5,▼,-4.0,-5.7,2.0,98.0
65,2020-09-06,7.4,2,-0.9,▼,-5.0,-10.8,-1.0,100.0
66,2020-09-13,6.6,2,-0.8,▼,-6.0,-10.8,0.0,102.0
67,2020-09-16,5.9,2,-0.7,▼,-7.0,-10.6,0.0,104.0
68,2020-09-21,5.5,1,-0.4,▼,-8.0,-6.8,-1.0,105.0
69,2020-09-23,5.2,1,-0.3,▼,-9.0,-5.5,0.0,106.0
70,2020-09-24,5.3,2,0.1,▲,-8.0,1.9,1.0,108.0
71,2020-10-02,5.3,1,0.0,-,-8.0,0.0,-1.0,109.0
72,2020-10-05,5.6,1,0.3,▲,-7.0,5.7,0.0,110.0
73,2020-10-11,4.8,1,-0.8,▼,-8.0,-14.3,0.0,111.0
74,2020-10-20,5.4,1,0.6,▲,-7.0,12.5,0.0,112.0
75,2020-10-23,5.0,1,-0.4,▼,-8.0,-7.4,0.0,113.0
76,2020-10-27,5.8,6,0.8,▲,-7.0,16.0,5.0,119.0
77,2020-11-05,5.4,1,-0.4,▼,-8.0,-6.9,-5.0,120.0
78,2020-11-12,5.4,1,0.0,-,-8.0,0.0,0.0,121.0
79,2020-11-14,4.6,1,-0.8,▼,-9.0,-14.8,0.0,122.0
80,2020-11-15,5.2,1,0.6,▲,-8.0,13.0,0.0,123.0
81,2020-11-30,5.0,1,-0.2,▼,-9.0,-3.8,0.0,124.0
82,2020-12-03,6.2,1,1.2,▲,-8.0,24.0,0.0,125.0
83,2020-12-05,6.5,2,0.3,▲,-7.0,4.8,1.0,127.0
84,2020-12-06,6.9,3,0.4,▲,-6.0,6.2,1.0,130.0
85,2020-12-09,6.7,1,-0.2,▼,-7.0,-2.9,-2.0,131.0
86,2020-12-11,6.1,1,-0.6,▼,-8.0,-9.0,0.0,132.0
87,2020-12-14,5.1,1,-1.0,▼,-9.0,-16.4,0.0,133.0
88,2020-12-17,5.4,1,0.3,▲,-8.0,5.9,0.0,134.0
89,2020-12-19,6.0,1,0.6,▲,-7.0,11.1,0.0,135.0
90,2020-12-26,6.0,1,0.0,-,-7.0,0.0,0.0,136.0
91,2020-12-29,6.0,1,0.0,-,-7.0,0.0,0.0,137.0
92,2021-01-02,6.0,1,0.0,-,-7.0,0.0,0.0,138.0
93,2021-01-07,5.2,1,-0.8,▼,-8.0,-13.3,0.0,139.0
94,2021-01-12,4.4,2,-0.8,▼,-9.0,-15.4,1.0,141.0
95,2021-01-18,4.2,1,-0.2,▼,-10.0,-4.5,-1.0,142.0
96,2021-01-24,4.6,1,0.4,▲,-9.0,9.5,0.0,143.0
97,2021-01-28,4.6,1,0.0,-,-9.0,0.0,0.0,144.0
98,2021-01-31,6.0,2,1.4,▲,-8.0,30.4,1.0,146.0
99,2021-02-03,6.2,1,0.2,▲,-7.0,3.3,-1.0,147.0
100,2021-02-04,6.6,1,0.4,▲,-6.0,6.5,0.0,148.0
101,2021-02-06,7.2,1,0.6,▲,-5.0,9.1,0.0,149.0
102,2021-02-07,8.2,1,1.0,▲,-4.0,13.9,0.0,150.0
103,2021-02-08,8.0,2,-0.2,▼,-5.0,-2.4,1.0,152.0
