,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-07,8.5,25,0.0,-,0.0,0.0
1,2020-04-08,8.7,16,0.2,▲,1.0,2.4
2,2020-04-09,8.8,18,0.1,▲,2.0,1.1
3,2020-04-10,8.5,19,-0.3,▼,1.0,-3.4
4,2020-04-11,8.6,32,0.1,▲,2.0,1.2
5,2020-04-12,8.6,39,0.0,-,2.0,0.0
6,2020-04-13,8.4,49,-0.2,▼,1.0,-2.3
7,2020-04-14,8.3,28,-0.1,▼,0.0,-1.2
8,2020-04-15,8.3,30,0.0,-,0.0,0.0
9,2020-04-16,8.3,26,0.0,-,0.0,0.0
10,2020-04-17,8.3,30,0.0,-,0.0,0.0
11,2020-04-18,8.2,37,-0.1,▼,-1.0,-1.2
12,2020-04-19,8.3,24,0.1,▲,0.0,1.2
13,2020-04-20,8.3,26,0.0,-,0.0,0.0
14,2020-04-21,8.3,25,0.0,-,0.0,0.0
15,2020-04-22,8.3,28,0.0,-,0.0,0.0
16,2020-04-23,8.3,29,0.0,-,0.0,0.0
17,2020-04-24,8.1,36,-0.2,▼,-1.0,-2.4
18,2020-04-25,8.8,43,0.7,▲,0.0,8.6
19,2020-04-26,8.8,34,0.0,-,0.0,0.0
20,2020-04-27,8.9,24,0.1,▲,1.0,1.1
21,2020-04-28,9.0,25,0.1,▲,2.0,1.1
22,2020-04-29,9.1,34,0.1,▲,3.0,1.1
23,2020-04-30,8.6,15,-0.5,▼,2.0,-5.5
24,2020-05-01,8.7,27,0.1,▲,3.0,1.2
25,2020-05-02,8.7,27,0.0,-,3.0,0.0
26,2020-05-03,8.6,25,-0.1,▼,2.0,-1.1
27,2020-05-04,8.6,25,0.0,-,2.0,0.0
28,2020-05-05,8.5,23,-0.1,▼,1.0,-1.2
29,2020-05-06,8.2,31,-0.3,▼,0.0,-3.5
30,2020-05-07,7.9,31,-0.3,▼,-1.0,-3.7
31,2020-05-08,8.1,28,0.2,▲,0.0,2.5
32,2020-05-09,8.0,32,-0.1,▼,-1.0,-1.2
33,2020-05-10,8.0,35,0.0,-,-1.0,0.0
34,2020-05-11,8.2,30,0.2,▲,0.0,2.5
