,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-24,,2,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-28,,1,,▲,1.0,,-1.0,1.0
2,2020-03-31,,1,,▲,2.0,,0.0,2.0
3,2020-04-01,2.8,2,,▲,3.0,,1.0,4.0
4,2020-04-02,2.6,1,-0.2,▼,2.0,-7.1,-1.0,5.0
5,2020-04-04,2.4,1,-0.2,▼,1.0,-7.7,0.0,6.0
6,2020-04-14,3.0,1,0.6,▲,2.0,25.0,0.0,7.0
7,2020-04-17,2.2,1,-0.8,▼,1.0,-26.7,0.0,8.0
8,2020-04-24,4.0,4,1.8,▲,2.0,81.8,3.0,12.0
9,2020-04-26,4.9,2,0.9,▲,3.0,22.5,-2.0,14.0
10,2020-04-28,6.5,1,1.6,▲,4.0,32.7,-1.0,15.0
11,2020-04-30,7.1,1,0.6,▲,5.0,9.2,0.0,16.0
12,2020-05-03,7.1,1,0.0,-,5.0,0.0,0.0,17.0
13,2020-05-05,5.3,1,-1.8,▼,4.0,-25.4,0.0,18.0
14,2020-05-21,9.6,1,4.3,▲,5.0,81.1,0.0,19.0
15,2020-05-22,8.0,1,-1.6,▼,4.0,-16.7,0.0,20.0
16,2020-05-23,7.4,1,-0.6,▼,3.0,-7.5,0.0,21.0
17,2020-05-27,7.4,1,0.0,-,3.0,0.0,0.0,22.0
18,2020-06-01,7.8,2,0.4,▲,4.0,5.4,1.0,24.0
19,2020-06-03,3.1,3,-4.7,▼,3.0,-60.3,1.0,27.0
20,2020-06-08,3.5,1,0.4,▲,4.0,12.9,-2.0,28.0
21,2020-06-14,3.3,1,-0.2,▼,3.0,-5.7,0.0,29.0
22,2020-06-18,3.3,1,0.0,-,3.0,0.0,0.0,30.0
23,2020-06-20,3.1,1,-0.2,▼,2.0,-6.1,0.0,31.0
24,2020-07-09,3.0,1,-0.1,▼,1.0,-3.2,0.0,32.0
25,2020-07-11,2.8,1,-0.2,▼,0.0,-6.7,0.0,33.0
26,2020-07-24,2.4,1,-0.4,▼,-1.0,-14.3,0.0,34.0
27,2020-08-10,2.6,3,0.2,▲,0.0,8.3,2.0,37.0
28,2020-08-14,2.5,3,-0.1,▼,-1.0,-3.8,0.0,40.0
29,2020-08-19,2.5,1,0.0,-,-1.0,0.0,-2.0,41.0
30,2020-08-24,2.3,1,-0.2,▼,-2.0,-8.0,0.0,42.0
31,2020-08-31,2.3,1,0.0,-,-2.0,0.0,0.0,43.0
32,2020-09-05,2.1,2,-0.2,▼,-3.0,-8.7,1.0,45.0
33,2020-09-06,2.4,4,0.3,▲,-2.0,14.3,2.0,49.0
34,2020-09-07,2.6,4,0.2,▲,-1.0,8.3,0.0,53.0
35,2020-09-08,2.7,2,0.1,▲,0.0,3.8,-2.0,55.0
36,2020-09-12,2.8,2,0.1,▲,1.0,3.7,0.0,57.0
37,2020-09-19,2.8,3,0.0,-,1.0,0.0,1.0,60.0
38,2020-09-21,2.8,2,0.0,-,1.0,0.0,-1.0,62.0
39,2020-09-27,2.6,2,-0.2,▼,0.0,-7.1,0.0,64.0
40,2020-09-30,2.5,1,-0.1,▼,-1.0,-3.8,-1.0,65.0
41,2020-10-02,2.3,2,-0.2,▼,-2.0,-8.0,1.0,67.0
42,2020-10-06,2.1,1,-0.2,▼,-3.0,-8.7,-1.0,68.0
43,2020-10-11,1.9,1,-0.2,▼,-4.0,-9.5,0.0,69.0
44,2020-10-16,1.7,1,-0.2,▼,-5.0,-10.5,0.0,70.0
45,2020-10-18,1.7,2,0.0,-,-5.0,0.0,1.0,72.0
46,2020-10-19,1.8,1,0.1,▲,-4.0,5.9,-1.0,73.0
47,2020-10-24,2.0,1,0.2,▲,-3.0,11.1,0.0,74.0
48,2020-10-25,2.0,1,0.0,-,-3.0,0.0,0.0,75.0
49,2020-10-31,2.0,1,0.0,-,-3.0,0.0,0.0,76.0
50,2020-11-01,1.8,1,-0.2,▼,-4.0,-10.0,0.0,77.0
