,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,7.8,9,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,9.2,13,1.4,▲,1.0,17.9,4.0,13.0
2,2020-04-29,9.2,11,0.0,-,1.0,0.0,-2.0,24.0
3,2020-04-30,9.5,9,0.3,▲,2.0,3.3,-2.0,33.0
4,2020-05-01,9.3,3,-0.2,▼,1.0,-2.1,-6.0,36.0
5,2020-05-02,9.2,7,-0.1,▼,0.0,-1.1,4.0,43.0
6,2020-05-03,8.1,9,-1.1,▼,-1.0,-12.0,2.0,52.0
7,2020-05-04,8.2,4,0.1,▲,0.0,1.2,-5.0,56.0
8,2020-05-05,8.4,5,0.2,▲,1.0,2.4,1.0,61.0
9,2020-05-06,8.5,3,0.1,▲,2.0,1.2,-2.0,64.0
10,2020-05-07,8.3,5,-0.2,▼,1.0,-2.4,2.0,69.0
11,2020-05-08,8.2,6,-0.1,▼,0.0,-1.2,1.0,75.0
12,2020-05-09,8.2,10,0.0,-,0.0,0.0,4.0,85.0
13,2020-05-10,8.1,7,-0.1,▼,-1.0,-1.2,-3.0,92.0
14,2020-05-11,8.0,7,-0.1,▼,-2.0,-1.2,0.0,99.0
15,2020-05-12,8.2,5,0.2,▲,-1.0,2.5,-2.0,104.0
16,2020-05-13,8.1,7,-0.1,▼,-2.0,-1.2,2.0,111.0
17,2020-05-14,8.0,5,-0.1,▼,-3.0,-1.2,-2.0,116.0
18,2020-05-15,7.8,4,-0.2,▼,-4.0,-2.5,-1.0,120.0
19,2020-05-16,7.9,17,0.1,▲,-3.0,1.3,13.0,137.0
20,2020-05-17,7.6,9,-0.3,▼,-4.0,-3.8,-8.0,146.0
21,2020-05-18,7.6,4,0.0,-,-4.0,0.0,-5.0,150.0
22,2020-05-19,7.9,3,0.3,▲,-3.0,3.9,-1.0,153.0
23,2020-05-20,8.1,12,0.2,▲,-2.0,2.5,9.0,165.0
24,2020-05-21,8.3,2,0.2,▲,-1.0,2.5,-10.0,167.0
25,2020-05-22,8.8,5,0.5,▲,0.0,6.0,3.0,172.0
26,2020-05-23,8.7,8,-0.1,▼,-1.0,-1.1,3.0,180.0
27,2020-05-24,8.2,7,-0.5,▼,-2.0,-5.7,-1.0,187.0
28,2020-05-25,8.0,8,-0.2,▼,-3.0,-2.4,1.0,195.0
29,2020-05-26,7.6,8,-0.4,▼,-4.0,-5.0,0.0,203.0
30,2020-05-27,7.3,10,-0.3,▼,-5.0,-3.9,2.0,213.0
31,2020-05-28,7.6,10,0.3,▲,-4.0,4.1,0.0,223.0
32,2020-05-29,7.8,9,0.2,▲,-3.0,2.6,-1.0,232.0
33,2020-05-30,8.0,6,0.2,▲,-2.0,2.6,-3.0,238.0
34,2020-05-31,8.1,8,0.1,▲,-1.0,1.2,2.0,246.0
35,2020-06-01,8.3,6,0.2,▲,0.0,2.5,-2.0,252.0
36,2020-06-02,8.5,10,0.2,▲,1.0,2.4,4.0,262.0
37,2020-06-03,8.5,13,0.0,-,1.0,0.0,3.0,275.0
38,2020-06-04,8.6,11,0.1,▲,2.0,1.2,-2.0,286.0
39,2020-06-05,8.9,8,0.3,▲,3.0,3.5,-3.0,294.0
40,2020-06-06,8.7,18,-0.2,▼,2.0,-2.2,10.0,312.0
41,2020-06-07,8.6,8,-0.1,▼,1.0,-1.1,-10.0,320.0
42,2020-06-08,8.7,7,0.1,▲,2.0,1.2,-1.0,327.0
43,2020-06-09,8.6,13,-0.1,▼,1.0,-1.1,6.0,340.0
44,2020-06-10,8.6,7,0.0,-,1.0,0.0,-6.0,347.0
45,2020-06-11,8.7,3,0.1,▲,2.0,1.2,-4.0,350.0
46,2020-06-12,8.7,7,0.0,-,2.0,0.0,4.0,357.0
47,2020-06-13,8.7,9,0.0,-,2.0,0.0,2.0,366.0
48,2020-06-14,9.0,4,0.3,▲,3.0,3.4,-5.0,370.0
49,2020-06-15,8.8,2,-0.2,▼,2.0,-2.2,-2.0,372.0
50,2020-06-16,8.6,4,-0.2,▼,1.0,-2.3,2.0,376.0
51,2020-06-17,8.6,4,0.0,-,1.0,0.0,0.0,380.0
52,2020-06-18,8.7,8,0.1,▲,2.0,1.2,4.0,388.0
53,2020-06-19,8.2,6,-0.5,▼,1.0,-5.7,-2.0,394.0
54,2020-06-20,8.2,9,0.0,-,1.0,0.0,3.0,403.0
55,2020-06-21,8.3,2,0.1,▲,2.0,1.2,-7.0,405.0
56,2020-06-22,8.2,7,-0.1,▼,1.0,-1.2,5.0,412.0
57,2020-06-23,8.0,10,-0.2,▼,0.0,-2.4,3.0,422.0
58,2020-06-24,7.9,3,-0.1,▼,-1.0,-1.2,-7.0,425.0
59,2020-06-25,7.8,6,-0.1,▼,-2.0,-1.3,3.0,431.0
60,2020-06-26,7.8,5,0.0,-,-2.0,0.0,-1.0,436.0
61,2020-06-27,7.5,3,-0.3,▼,-3.0,-3.8,-2.0,439.0
62,2020-06-28,7.5,2,0.0,-,-3.0,0.0,-1.0,441.0
63,2020-06-29,7.6,4,0.1,▲,-2.0,1.3,2.0,445.0
64,2020-06-30,7.6,7,0.0,-,-2.0,0.0,3.0,452.0
65,2020-07-01,7.5,5,-0.1,▼,-3.0,-1.3,-2.0,457.0
66,2020-07-02,7.6,3,0.1,▲,-2.0,1.3,-2.0,460.0
67,2020-07-03,7.4,10,-0.2,▼,-3.0,-2.6,7.0,470.0
68,2020-07-04,7.5,1,0.1,▲,-2.0,1.4,-9.0,471.0
69,2020-07-05,7.5,8,0.0,-,-2.0,0.0,7.0,479.0
70,2020-07-06,7.7,7,0.2,▲,-1.0,2.7,-1.0,486.0
71,2020-07-07,7.6,11,-0.1,▼,-2.0,-1.3,4.0,497.0
72,2020-07-08,7.8,5,0.2,▲,-1.0,2.6,-6.0,502.0
73,2020-07-09,7.7,9,-0.1,▼,-2.0,-1.3,4.0,511.0
74,2020-07-10,7.6,8,-0.1,▼,-3.0,-1.3,-1.0,519.0
75,2020-07-11,7.6,14,0.0,-,-3.0,0.0,6.0,533.0
76,2020-07-12,8.0,7,0.4,▲,-2.0,5.3,-7.0,540.0
77,2020-07-13,8.2,15,0.2,▲,-1.0,2.5,8.0,555.0
78,2020-07-14,8.2,6,0.0,-,-1.0,0.0,-9.0,561.0
79,2020-07-15,8.4,10,0.2,▲,0.0,2.4,4.0,571.0
80,2020-07-16,8.4,12,0.0,-,0.0,0.0,2.0,583.0
81,2020-07-17,8.3,10,-0.1,▼,-1.0,-1.2,-2.0,593.0
82,2020-07-18,8.0,28,-0.3,▼,-2.0,-3.6,18.0,621.0
83,2020-07-19,8.2,15,0.2,▲,-1.0,2.5,-13.0,636.0
84,2020-07-20,8.4,9,0.2,▲,0.0,2.4,-6.0,645.0
85,2020-07-21,8.4,14,0.0,-,0.0,0.0,5.0,659.0
86,2020-07-22,8.4,11,0.0,-,0.0,0.0,-3.0,670.0
87,2020-07-23,8.8,9,0.4,▲,1.0,4.8,-2.0,679.0
88,2020-07-24,8.9,7,0.1,▲,2.0,1.1,-2.0,686.0
89,2020-07-25,8.6,13,-0.3,▼,1.0,-3.4,6.0,699.0
90,2020-07-26,8.4,11,-0.2,▼,0.0,-2.3,-2.0,710.0
91,2020-07-27,8.4,11,0.0,-,0.0,0.0,0.0,721.0
92,2020-07-28,8.4,5,0.0,-,0.0,0.0,-6.0,726.0
93,2020-07-29,8.0,8,-0.4,▼,-1.0,-4.8,3.0,734.0
94,2020-07-30,8.1,8,0.1,▲,0.0,1.2,0.0,742.0
95,2020-07-31,8.3,5,0.2,▲,1.0,2.5,-3.0,747.0
96,2020-08-01,8.5,7,0.2,▲,2.0,2.4,2.0,754.0
97,2020-08-02,8.4,18,-0.1,▼,1.0,-1.2,11.0,772.0
98,2020-08-03,8.3,15,-0.1,▼,0.0,-1.2,-3.0,787.0
99,2020-08-04,9.0,18,0.7,▲,1.0,8.4,3.0,805.0
100,2020-08-05,9.2,20,0.2,▲,2.0,2.2,2.0,825.0
101,2020-08-06,9.1,6,-0.1,▼,1.0,-1.1,-14.0,831.0
102,2020-08-07,9.0,8,-0.1,▼,0.0,-1.1,2.0,839.0
103,2020-08-08,9.4,17,0.4,▲,1.0,4.4,9.0,856.0
104,2020-08-09,8.8,12,-0.6,▼,0.0,-6.4,-5.0,868.0
105,2020-08-10,8.6,14,-0.2,▼,-1.0,-2.3,2.0,882.0
106,2020-08-11,8.7,14,0.1,▲,0.0,1.2,0.0,896.0
107,2020-08-12,8.7,20,0.0,-,0.0,0.0,6.0,916.0
108,2020-08-13,8.7,13,0.0,-,0.0,0.0,-7.0,929.0
109,2020-08-14,8.7,16,0.0,-,0.0,0.0,3.0,945.0
110,2020-08-15,8.7,12,0.0,-,0.0,0.0,-4.0,957.0
111,2020-08-16,8.5,10,-0.2,▼,-1.0,-2.3,-2.0,967.0
112,2020-08-17,8.6,16,0.1,▲,0.0,1.2,6.0,983.0
113,2020-08-18,8.7,15,0.1,▲,1.0,1.2,-1.0,998.0
114,2020-08-19,8.7,18,0.0,-,1.0,0.0,3.0,1016.0
115,2020-08-20,8.5,14,-0.2,▼,0.0,-2.3,-4.0,1030.0
116,2020-08-21,8.7,17,0.2,▲,1.0,2.4,3.0,1047.0
117,2020-08-22,8.7,13,0.0,-,1.0,0.0,-4.0,1060.0
118,2020-08-23,8.6,17,-0.1,▼,0.0,-1.1,4.0,1077.0
119,2020-08-24,8.7,8,0.1,▲,1.0,1.2,-9.0,1085.0
120,2020-08-25,9.0,7,0.3,▲,2.0,3.4,-1.0,1092.0
121,2020-08-26,8.8,26,-0.2,▼,1.0,-2.2,19.0,1118.0
122,2020-08-27,8.9,10,0.1,▲,2.0,1.1,-16.0,1128.0
123,2020-08-28,9.1,11,0.2,▲,3.0,2.2,1.0,1139.0
124,2020-08-29,9.1,28,0.0,-,3.0,0.0,17.0,1167.0
125,2020-08-30,9.1,16,0.0,-,3.0,0.0,-12.0,1183.0
126,2020-08-31,9.2,33,0.1,▲,4.0,1.1,17.0,1216.0
127,2020-09-01,9.1,11,-0.1,▼,3.0,-1.1,-22.0,1227.0
128,2020-09-02,9.5,14,0.4,▲,4.0,4.4,3.0,1241.0
