,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,8.5,31,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,8.4,29,-0.1,▼,-1.0,-1.2,-2.0,29.0
2,2020-04-29,8.0,40,-0.4,▼,-2.0,-4.8,11.0,69.0
3,2020-04-30,8.0,33,0.0,-,-2.0,0.0,-7.0,102.0
4,2020-05-01,7.8,23,-0.2,▼,-3.0,-2.5,-10.0,125.0
5,2020-05-02,7.8,33,0.0,-,-3.0,0.0,10.0,158.0
6,2020-05-03,7.9,28,0.1,▲,-2.0,1.3,-5.0,186.0
7,2020-05-04,8.3,39,0.4,▲,-1.0,5.1,11.0,225.0
8,2020-05-05,8.2,28,-0.1,▼,-2.0,-1.2,-11.0,253.0
9,2020-05-06,8.2,31,0.0,-,-2.0,0.0,3.0,284.0
10,2020-05-07,8.2,35,0.0,-,-2.0,0.0,4.0,319.0
11,2020-05-08,8.0,32,-0.2,▼,-3.0,-2.4,-3.0,351.0
12,2020-05-09,7.7,41,-0.3,▼,-4.0,-3.8,9.0,392.0
13,2020-05-10,7.6,33,-0.1,▼,-5.0,-1.3,-8.0,425.0
14,2020-05-11,7.6,38,0.0,-,-5.0,0.0,5.0,463.0
15,2020-05-12,7.4,34,-0.2,▼,-6.0,-2.6,-4.0,497.0
16,2020-05-13,7.3,42,-0.1,▼,-7.0,-1.4,8.0,539.0
17,2020-05-14,7.5,37,0.2,▲,-6.0,2.7,-5.0,576.0
18,2020-05-15,7.4,34,-0.1,▼,-7.0,-1.3,-3.0,610.0
19,2020-05-16,7.4,28,0.0,-,-7.0,0.0,-6.0,638.0
20,2020-05-17,7.6,46,0.2,▲,-6.0,2.7,18.0,684.0
21,2020-05-18,7.8,34,0.2,▲,-5.0,2.6,-12.0,718.0
22,2020-05-19,7.8,30,0.0,-,-5.0,0.0,-4.0,748.0
23,2020-05-20,8.0,27,0.2,▲,-4.0,2.6,-3.0,775.0
24,2020-05-21,8.0,37,0.0,-,-4.0,0.0,10.0,812.0
25,2020-05-22,8.0,36,0.0,-,-4.0,0.0,-1.0,848.0
26,2020-05-23,8.0,48,0.0,-,-4.0,0.0,12.0,896.0
27,2020-05-24,8.0,57,0.0,-,-4.0,0.0,9.0,953.0
28,2020-05-25,8.1,38,0.1,▲,-3.0,1.2,-19.0,991.0
29,2020-05-26,8.3,39,0.2,▲,-2.0,2.5,1.0,1030.0
30,2020-05-27,8.6,29,0.3,▲,-1.0,3.6,-10.0,1059.0
31,2020-05-28,8.7,29,0.1,▲,0.0,1.2,0.0,1088.0
32,2020-05-29,8.8,42,0.1,▲,1.0,1.1,13.0,1130.0
33,2020-05-30,8.8,41,0.0,-,1.0,0.0,-1.0,1171.0
34,2020-05-31,8.5,44,-0.3,▼,0.0,-3.4,3.0,1215.0
35,2020-06-01,8.3,36,-0.2,▼,-1.0,-2.4,-8.0,1251.0
36,2020-06-02,8.4,37,0.1,▲,0.0,1.2,1.0,1288.0
37,2020-06-03,8.4,35,0.0,-,0.0,0.0,-2.0,1323.0
38,2020-06-04,8.3,31,-0.1,▼,-1.0,-1.2,-4.0,1354.0
39,2020-06-05,8.2,33,-0.1,▼,-2.0,-1.2,2.0,1387.0
40,2020-06-06,8.1,36,-0.1,▼,-3.0,-1.2,3.0,1423.0
41,2020-06-07,7.9,29,-0.2,▼,-4.0,-2.5,-7.0,1452.0
42,2020-06-08,7.8,35,-0.1,▼,-5.0,-1.3,6.0,1487.0
43,2020-06-09,7.8,32,0.0,-,-5.0,0.0,-3.0,1519.0
44,2020-06-10,8.0,25,0.2,▲,-4.0,2.6,-7.0,1544.0
45,2020-06-11,8.0,32,0.0,-,-4.0,0.0,7.0,1576.0
46,2020-06-12,7.8,28,-0.2,▼,-5.0,-2.5,-4.0,1604.0
47,2020-06-13,7.6,28,-0.2,▼,-6.0,-2.6,0.0,1632.0
48,2020-06-14,7.3,36,-0.3,▼,-7.0,-3.9,8.0,1668.0
49,2020-06-15,7.0,20,-0.3,▼,-8.0,-4.1,-16.0,1688.0
50,2020-06-16,6.8,46,-0.2,▼,-9.0,-2.9,26.0,1734.0
51,2020-06-17,6.7,31,-0.1,▼,-10.0,-1.5,-15.0,1765.0
52,2020-06-18,6.7,39,0.0,-,-10.0,0.0,8.0,1804.0
53,2020-06-19,6.8,41,0.1,▲,-9.0,1.5,2.0,1845.0
54,2020-06-20,6.5,33,-0.3,▼,-10.0,-4.4,-8.0,1878.0
55,2020-06-21,6.5,31,0.0,-,-10.0,0.0,-2.0,1909.0
56,2020-06-22,6.6,31,0.1,▲,-9.0,1.5,0.0,1940.0
57,2020-06-23,6.3,29,-0.3,▼,-10.0,-4.5,-2.0,1969.0
58,2020-06-24,6.1,26,-0.2,▼,-11.0,-3.2,-3.0,1995.0
59,2020-06-25,6.6,15,0.5,▲,-10.0,8.2,-11.0,2010.0
60,2020-06-26,6.6,32,0.0,-,-10.0,0.0,17.0,2042.0
61,2020-06-27,6.5,25,-0.1,▼,-11.0,-1.5,-7.0,2067.0
62,2020-06-28,6.8,32,0.3,▲,-10.0,4.6,7.0,2099.0
63,2020-06-29,6.9,34,0.1,▲,-9.0,1.5,2.0,2133.0
64,2020-06-30,6.9,32,0.0,-,-9.0,0.0,-2.0,2165.0
65,2020-07-01,7.1,24,0.2,▲,-8.0,2.9,-8.0,2189.0
66,2020-07-02,7.2,23,0.1,▲,-7.0,1.4,-1.0,2212.0
67,2020-07-03,7.1,26,-0.1,▼,-8.0,-1.4,3.0,2238.0
68,2020-07-04,7.5,38,0.4,▲,-7.0,5.6,12.0,2276.0
69,2020-07-05,7.8,29,0.3,▲,-6.0,4.0,-9.0,2305.0
70,2020-07-06,7.6,21,-0.2,▼,-7.0,-2.6,-8.0,2326.0
71,2020-07-07,7.9,25,0.3,▲,-6.0,3.9,4.0,2351.0
72,2020-07-08,8.3,19,0.4,▲,-5.0,5.1,-6.0,2370.0
73,2020-07-09,8.3,29,0.0,-,-5.0,0.0,10.0,2399.0
74,2020-07-10,8.0,16,-0.3,▼,-6.0,-3.6,-13.0,2415.0
75,2020-07-11,8.2,25,0.2,▲,-5.0,2.5,9.0,2440.0
76,2020-07-12,8.1,28,-0.1,▼,-6.0,-1.2,3.0,2468.0
77,2020-07-13,8.1,27,0.0,-,-6.0,0.0,-1.0,2495.0
78,2020-07-14,8.2,21,0.1,▲,-5.0,1.2,-6.0,2516.0
79,2020-07-15,8.3,30,0.1,▲,-4.0,1.2,9.0,2546.0
80,2020-07-16,8.4,28,0.1,▲,-3.0,1.2,-2.0,2574.0
81,2020-07-17,8.4,39,0.0,-,-3.0,0.0,11.0,2613.0
82,2020-07-18,8.4,42,0.0,-,-3.0,0.0,3.0,2655.0
83,2020-07-19,8.2,31,-0.2,▼,-4.0,-2.4,-11.0,2686.0
84,2020-07-20,8.3,33,0.1,▲,-3.0,1.2,2.0,2719.0
85,2020-07-21,8.3,33,0.0,-,-3.0,0.0,0.0,2752.0
86,2020-07-22,8.4,54,0.1,▲,-2.0,1.2,21.0,2806.0
87,2020-07-23,8.4,31,0.0,-,-2.0,0.0,-23.0,2837.0
88,2020-07-24,8.5,48,0.1,▲,-1.0,1.2,17.0,2885.0
89,2020-07-25,8.5,25,0.0,-,-1.0,0.0,-23.0,2910.0
90,2020-07-26,8.5,32,0.0,-,-1.0,0.0,7.0,2942.0
91,2020-07-27,8.4,24,-0.1,▼,-2.0,-1.2,-8.0,2966.0
92,2020-07-28,8.4,37,0.0,-,-2.0,0.0,13.0,3003.0
93,2020-07-29,8.4,30,0.0,-,-2.0,0.0,-7.0,3033.0
94,2020-07-30,8.4,34,0.0,-,-2.0,0.0,4.0,3067.0
95,2020-07-31,8.4,41,0.0,-,-2.0,0.0,7.0,3108.0
96,2020-08-01,8.5,37,0.1,▲,-1.0,1.2,-4.0,3145.0
97,2020-08-02,8.3,59,-0.2,▼,-2.0,-2.4,22.0,3204.0
