,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-24,3.8,4,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-25,3.8,10,0.0,-,0.0,0.0,6.0,10.0
2,2020-03-26,3.7,7,-0.1,▼,-1.0,-2.6,-3.0,17.0
3,2020-03-27,3.8,15,0.1,▲,0.0,2.7,8.0,32.0
4,2020-03-28,3.8,14,0.0,-,0.0,0.0,-1.0,46.0
5,2020-03-29,3.7,9,-0.1,▼,-1.0,-2.6,-5.0,55.0
6,2020-03-30,3.7,2,0.0,-,-1.0,0.0,-7.0,57.0
7,2020-03-31,3.8,6,0.1,▲,0.0,2.7,4.0,63.0
8,2020-04-01,3.7,6,-0.1,▼,-1.0,-2.6,0.0,69.0
9,2020-04-02,3.6,6,-0.1,▼,-2.0,-2.7,0.0,75.0
10,2020-04-03,3.6,12,0.0,-,-2.0,0.0,6.0,87.0
11,2020-04-04,3.7,12,0.1,▲,-1.0,2.8,0.0,99.0
12,2020-04-05,3.8,9,0.1,▲,0.0,2.7,-3.0,108.0
13,2020-04-06,3.8,13,0.0,-,0.0,0.0,4.0,121.0
14,2020-04-07,3.9,20,0.1,▲,1.0,2.6,7.0,141.0
15,2020-04-08,4.0,17,0.1,▲,2.0,2.6,-3.0,158.0
16,2020-04-09,3.9,11,-0.1,▼,1.0,-2.5,-6.0,169.0
17,2020-04-10,3.9,9,0.0,-,1.0,0.0,-2.0,178.0
18,2020-04-11,4.0,14,0.1,▲,2.0,2.6,5.0,192.0
19,2020-04-12,4.0,12,0.0,-,2.0,0.0,-2.0,204.0
20,2020-04-13,3.9,16,-0.1,▼,1.0,-2.5,4.0,220.0
21,2020-04-14,3.8,11,-0.1,▼,0.0,-2.6,-5.0,231.0
22,2020-04-15,3.8,20,0.0,-,0.0,0.0,9.0,251.0
23,2020-04-16,4.0,14,0.2,▲,1.0,5.3,-6.0,265.0
24,2020-04-17,3.9,15,-0.1,▼,0.0,-2.5,1.0,280.0
25,2020-04-18,4.0,8,0.1,▲,1.0,2.6,-7.0,288.0
26,2020-04-19,4.1,12,0.1,▲,2.0,2.5,4.0,300.0
27,2020-04-20,4.0,13,-0.1,▼,1.0,-2.4,1.0,313.0
28,2020-04-21,3.7,11,-0.3,▼,0.0,-7.5,-2.0,324.0
29,2020-04-22,3.7,12,0.0,-,0.0,0.0,1.0,336.0
30,2020-04-23,3.8,9,0.1,▲,1.0,2.7,-3.0,345.0
31,2020-04-24,3.8,10,0.0,-,1.0,0.0,1.0,355.0
32,2020-04-25,4.0,12,0.2,▲,2.0,5.3,2.0,367.0
33,2020-04-26,4.0,21,0.0,-,2.0,0.0,9.0,388.0
34,2020-04-27,4.1,15,0.1,▲,3.0,2.5,-6.0,403.0
35,2020-04-28,4.2,6,0.1,▲,4.0,2.4,-9.0,409.0
36,2020-04-29,4.1,9,-0.1,▼,3.0,-2.4,3.0,418.0
37,2020-04-30,4.1,4,0.0,-,3.0,0.0,-5.0,422.0
38,2020-05-01,4.3,7,0.2,▲,4.0,4.9,3.0,429.0
39,2020-05-02,4.3,16,0.0,-,4.0,0.0,9.0,445.0
40,2020-05-03,4.1,9,-0.2,▼,3.0,-4.7,-7.0,454.0
41,2020-05-04,4.2,27,0.1,▲,4.0,2.4,18.0,481.0
42,2020-05-05,4.1,12,-0.1,▼,3.0,-2.4,-15.0,493.0
43,2020-05-06,4.2,10,0.1,▲,4.0,2.4,-2.0,503.0
44,2020-05-07,4.2,13,0.0,-,4.0,0.0,3.0,516.0
45,2020-05-08,4.3,12,0.1,▲,5.0,2.4,-1.0,528.0
46,2020-05-09,4.4,11,0.1,▲,6.0,2.3,-1.0,539.0
47,2020-05-10,4.3,13,-0.1,▼,5.0,-2.3,2.0,552.0
48,2020-05-11,4.0,15,-0.3,▼,4.0,-7.0,2.0,567.0
49,2020-05-12,4.0,10,0.0,-,4.0,0.0,-5.0,577.0
50,2020-05-13,3.8,9,-0.2,▼,3.0,-5.0,-1.0,586.0
51,2020-05-14,3.7,15,-0.1,▼,2.0,-2.6,6.0,601.0
52,2020-05-15,3.8,14,0.1,▲,3.0,2.7,-1.0,615.0
53,2020-05-16,3.9,20,0.1,▲,4.0,2.6,6.0,635.0
54,2020-05-17,4.0,20,0.1,▲,5.0,2.6,0.0,655.0
55,2020-05-18,4.4,19,0.4,▲,6.0,10.0,-1.0,674.0
56,2020-05-19,4.7,7,0.3,▲,7.0,6.8,-12.0,681.0
57,2020-05-20,4.8,7,0.1,▲,8.0,2.1,0.0,688.0
58,2020-05-21,4.9,6,0.1,▲,9.0,2.1,-1.0,694.0
59,2020-05-22,5.0,5,0.1,▲,10.0,2.0,-1.0,699.0
60,2020-05-23,4.7,17,-0.3,▼,9.0,-6.0,12.0,716.0
