,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-24,8.9,18,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-25,8.8,19,-0.1,▼,-1.0,-1.1,1.0,19.0
2,2020-03-26,8.5,12,-0.3,▼,-2.0,-3.4,-7.0,31.0
3,2020-03-27,8.3,19,-0.2,▼,-3.0,-2.4,7.0,50.0
4,2020-03-28,8.2,30,-0.1,▼,-4.0,-1.2,11.0,80.0
5,2020-03-29,8.2,18,0.0,-,-4.0,0.0,-12.0,98.0
6,2020-03-30,8.4,24,0.2,▲,-3.0,2.4,6.0,122.0
7,2020-03-31,8.6,24,0.2,▲,-2.0,2.4,0.0,146.0
8,2020-04-01,8.7,29,0.1,▲,-1.0,1.2,5.0,175.0
9,2020-04-02,8.6,25,-0.1,▼,-2.0,-1.1,-4.0,200.0
10,2020-04-03,8.4,31,-0.2,▼,-3.0,-2.3,6.0,231.0
11,2020-04-04,7.7,28,-0.7,▼,-4.0,-8.3,-3.0,259.0
12,2020-04-05,8.1,15,0.4,▲,-3.0,5.2,-13.0,274.0
13,2020-04-06,8.0,18,-0.1,▼,-4.0,-1.2,3.0,292.0
14,2020-04-07,8.1,18,0.1,▲,-3.0,1.2,0.0,310.0
15,2020-04-08,8.3,19,0.2,▲,-2.0,2.5,1.0,329.0
16,2020-04-09,9.0,18,0.7,▲,-1.0,8.4,-1.0,347.0
17,2020-04-10,8.5,17,-0.5,▼,-2.0,-5.6,-1.0,364.0
18,2020-04-11,8.6,21,0.1,▲,-1.0,1.2,4.0,385.0
19,2020-04-12,8.6,29,0.0,-,-1.0,0.0,8.0,414.0
20,2020-04-13,8.6,18,0.0,-,-1.0,0.0,-11.0,432.0
21,2020-04-14,8.5,32,-0.1,▼,-2.0,-1.2,14.0,464.0
22,2020-04-15,8.6,15,0.1,▲,-1.0,1.2,-17.0,479.0
23,2020-04-16,8.6,35,0.0,-,-1.0,0.0,20.0,514.0
24,2020-04-17,8.7,12,0.1,▲,0.0,1.2,-23.0,526.0
25,2020-04-18,8.7,25,0.0,-,0.0,0.0,13.0,551.0
26,2020-04-19,8.7,19,0.0,-,0.0,0.0,-6.0,570.0
27,2020-04-20,8.6,27,-0.1,▼,-1.0,-1.1,8.0,597.0
28,2020-04-21,8.4,25,-0.2,▼,-2.0,-2.3,-2.0,622.0
29,2020-04-22,7.9,24,-0.5,▼,-3.0,-6.0,-1.0,646.0
30,2020-04-23,7.6,24,-0.3,▼,-4.0,-3.8,0.0,670.0
31,2020-04-24,7.3,21,-0.3,▼,-5.0,-3.9,-3.0,691.0
32,2020-04-25,7.0,30,-0.3,▼,-6.0,-4.1,9.0,721.0
