,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-03-24,13.0,7,0.0,-,0.0,0.0
1,2020-03-25,14.4,10,1.4,▲,1.0,10.8
2,2020-03-26,17.2,17,2.8,▲,2.0,19.4
3,2020-03-27,18.1,17,0.9,▲,3.0,5.2
4,2020-03-28,18.8,30,0.7,▲,4.0,3.9
5,2020-03-29,19.2,6,0.4,▲,5.0,2.1
6,2020-03-30,18.1,11,-1.1,▼,4.0,-5.7
7,2020-03-31,16.7,6,-1.4,▼,3.0,-7.7
8,2020-04-01,17.6,8,0.9,▲,4.0,5.4
9,2020-04-02,17.4,10,-0.2,▼,3.0,-1.1
10,2020-04-03,16.3,14,-1.1,▼,2.0,-6.3
11,2020-04-04,16.4,17,0.1,▲,3.0,0.6
12,2020-04-05,16.3,14,-0.1,▼,2.0,-0.6
13,2020-04-06,15.8,8,-0.5,▼,1.0,-3.1
14,2020-04-07,15.8,7,0.0,-,1.0,0.0
15,2020-04-08,17.1,10,1.3,▲,2.0,8.2
16,2020-04-09,17.7,15,0.6,▲,3.0,3.5
17,2020-04-10,18.0,13,0.3,▲,4.0,1.7
18,2020-04-11,18.0,11,0.0,-,4.0,0.0
19,2020-04-12,17.7,25,-0.3,▼,3.0,-1.7
20,2020-04-13,17.4,20,-0.3,▼,2.0,-1.7
21,2020-04-14,17.9,9,0.5,▲,3.0,2.9
22,2020-04-15,17.7,9,-0.2,▼,2.0,-1.1
23,2020-04-16,18.2,6,0.5,▲,3.0,2.8
24,2020-04-17,18.8,9,0.6,▲,4.0,3.3
25,2020-04-18,18.7,18,-0.1,▼,3.0,-0.5
26,2020-04-19,18.1,19,-0.6,▼,2.0,-3.2
27,2020-04-20,17.8,13,-0.3,▼,1.0,-1.7
28,2020-04-21,16.7,8,-1.1,▼,0.0,-6.2
29,2020-04-22,16.7,19,0.0,-,0.0,0.0
30,2020-04-23,16.9,5,0.2,▲,1.0,1.2
31,2020-04-24,17.4,5,0.5,▲,2.0,3.0
32,2020-04-25,16.7,12,-0.7,▼,1.0,-4.0
33,2020-04-26,16.7,18,0.0,-,1.0,0.0
34,2020-04-27,15.9,19,-0.8,▼,0.0,-4.8
35,2020-04-28,15.4,14,-0.5,▼,-1.0,-3.1
36,2020-04-29,14.3,8,-1.1,▼,-2.0,-7.1
37,2020-04-30,14.5,5,0.2,▲,-1.0,1.4
38,2020-05-01,14.5,10,0.0,-,-1.0,0.0
39,2020-05-02,14.4,13,-0.1,▼,-2.0,-0.7
40,2020-05-03,14.3,8,-0.1,▼,-3.0,-0.7
41,2020-05-04,15.0,7,0.7,▲,-2.0,4.9
42,2020-05-05,15.2,9,0.2,▲,-1.0,1.3
43,2020-05-06,14.3,4,-0.9,▼,-2.0,-5.9
44,2020-05-07,14.2,11,-0.1,▼,-3.0,-0.7
45,2020-05-08,14.0,12,-0.2,▼,-4.0,-1.4
46,2020-05-09,13.2,9,-0.8,▼,-5.0,-5.7
47,2020-05-10,12.5,13,-0.7,▼,-6.0,-5.3
48,2020-05-11,13.1,12,0.6,▲,-5.0,4.8
49,2020-05-12,12.8,7,-0.3,▼,-6.0,-2.3
50,2020-05-13,12.6,7,-0.2,▼,-7.0,-1.6
51,2020-05-14,12.5,10,-0.1,▼,-8.0,-0.8
52,2020-05-15,11.9,5,-0.6,▼,-9.0,-4.8
53,2020-05-16,12.4,7,0.5,▲,-8.0,4.2
54,2020-05-17,12.9,24,0.5,▲,-7.0,4.0
