,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-27,62.9,35,0.0,-,0.0,0.0
1,2020-04-28,61.9,18,-1.0,▼,-1.0,-1.6
2,2020-04-29,62.4,15,0.5,▲,0.0,0.8
3,2020-04-30,62.5,36,0.1,▲,1.0,0.2
4,2020-05-01,63.0,14,0.5,▲,2.0,0.8
5,2020-05-02,63.0,22,0.0,-,2.0,0.0
6,2020-05-03,63.6,23,0.6,▲,3.0,1.0
7,2020-05-04,63.0,15,-0.6,▼,2.0,-0.9
8,2020-05-05,62.7,16,-0.3,▼,1.0,-0.5
9,2020-05-06,62.6,18,-0.1,▼,0.0,-0.2
10,2020-05-07,63.1,24,0.5,▲,1.0,0.8
11,2020-05-08,63.5,16,0.4,▲,2.0,0.6
12,2020-05-09,63.1,36,-0.4,▼,1.0,-0.6
13,2020-05-10,62.9,18,-0.2,▼,0.0,-0.3
14,2020-05-11,63.0,27,0.1,▲,1.0,0.2
15,2020-05-12,63.0,11,0.0,-,1.0,0.0
16,2020-05-13,63.5,24,0.5,▲,2.0,0.8
17,2020-05-14,64.5,20,1.0,▲,3.0,1.6
18,2020-05-15,64.9,20,0.4,▲,4.0,0.6
19,2020-05-16,66.2,18,1.3,▲,5.0,2.0
20,2020-05-17,66.2,22,0.0,-,5.0,0.0
21,2020-05-18,64.7,25,-1.5,▼,4.0,-2.3
22,2020-05-19,64.9,18,0.2,▲,5.0,0.3
23,2020-05-20,63.5,24,-1.4,▼,4.0,-2.2
24,2020-05-21,61.2,11,-2.3,▼,3.0,-3.6
25,2020-05-22,60.0,15,-1.2,▼,2.0,-2.0
26,2020-05-23,61.0,14,1.0,▲,3.0,1.7
27,2020-05-24,60.3,17,-0.7,▼,2.0,-1.1
28,2020-05-25,61.8,24,1.5,▲,3.0,2.5
29,2020-05-26,62.8,25,1.0,▲,4.0,1.6
30,2020-05-27,63.0,27,0.2,▲,5.0,0.3
31,2020-05-28,62.5,15,-0.5,▼,4.0,-0.8
32,2020-05-29,62.5,29,0.0,-,4.0,0.0
33,2020-05-30,60.5,25,-2.0,▼,3.0,-3.2
34,2020-05-31,60.9,33,0.4,▲,4.0,0.7
35,2020-06-01,61.4,18,0.5,▲,5.0,0.8
36,2020-06-02,61.9,52,0.5,▲,6.0,0.8
37,2020-06-03,63.8,11,1.9,▲,7.0,3.1
38,2020-06-04,65.3,18,1.5,▲,8.0,2.4
39,2020-06-05,66.3,13,1.0,▲,9.0,1.5
40,2020-06-06,66.5,18,0.2,▲,10.0,0.3
41,2020-06-07,66.0,27,-0.5,▼,9.0,-0.8
42,2020-06-08,65.6,26,-0.4,▼,8.0,-0.6
43,2020-06-09,67.1,12,1.5,▲,9.0,2.3
44,2020-06-10,67.7,5,0.6,▲,10.0,0.9
45,2020-06-11,67.0,10,-0.7,▼,9.0,-1.0
46,2020-06-12,67.4,15,0.4,▲,10.0,0.6
