,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,72.1,57,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,72.8,59,0.7,▲,1.0,1.0,2.0,59.0
2,2020-04-29,73.8,49,1.0,▲,2.0,1.4,-10.0,108.0
3,2020-04-30,74.6,44,0.8,▲,3.0,1.1,-5.0,152.0
4,2020-05-01,76.0,69,1.4,▲,4.0,1.9,25.0,221.0
5,2020-05-02,76.1,53,0.1,▲,5.0,0.1,-16.0,274.0
6,2020-05-03,76.8,49,0.7,▲,6.0,0.9,-4.0,323.0
7,2020-05-04,76.4,51,-0.4,▼,5.0,-0.5,2.0,374.0
8,2020-05-05,77.1,43,0.7,▲,6.0,0.9,-8.0,417.0
9,2020-05-06,76.7,62,-0.4,▼,5.0,-0.5,19.0,479.0
10,2020-05-07,77.2,42,0.5,▲,6.0,0.7,-20.0,521.0
11,2020-05-08,77.8,40,0.6,▲,7.0,0.8,-2.0,561.0
12,2020-05-09,79.3,51,1.5,▲,8.0,1.9,11.0,612.0
13,2020-05-10,78.0,61,-1.3,▼,7.0,-1.6,10.0,673.0
14,2020-05-11,78.3,63,0.3,▲,8.0,0.4,2.0,736.0
15,2020-05-12,78.3,53,0.0,-,8.0,0.0,-10.0,789.0
16,2020-05-13,77.3,45,-1.0,▼,7.0,-1.3,-8.0,834.0
17,2020-05-14,77.5,49,0.2,▲,8.0,0.3,4.0,883.0
18,2020-05-15,77.8,61,0.3,▲,9.0,0.4,12.0,944.0
19,2020-05-16,77.8,65,0.0,-,9.0,0.0,4.0,1009.0
20,2020-05-17,77.2,77,-0.6,▼,8.0,-0.8,12.0,1086.0
21,2020-05-18,78.2,42,1.0,▲,9.0,1.3,-35.0,1128.0
22,2020-05-19,77.8,77,-0.4,▼,8.0,-0.5,35.0,1205.0
23,2020-05-20,79.3,34,1.5,▲,9.0,1.9,-43.0,1239.0
24,2020-05-21,79.1,48,-0.2,▼,8.0,-0.3,14.0,1287.0
25,2020-05-22,78.8,47,-0.3,▼,7.0,-0.4,-1.0,1334.0
26,2020-05-23,78.5,59,-0.3,▼,6.0,-0.4,12.0,1393.0
27,2020-05-24,78.9,85,0.4,▲,7.0,0.5,26.0,1478.0
28,2020-05-25,78.0,57,-0.9,▼,6.0,-1.1,-28.0,1535.0
29,2020-05-26,78.0,58,0.0,-,6.0,0.0,1.0,1593.0
30,2020-05-27,78.5,49,0.5,▲,7.0,0.6,-9.0,1642.0
31,2020-05-28,78.5,42,0.0,-,7.0,0.0,-7.0,1684.0
32,2020-05-29,79.9,64,1.4,▲,8.0,1.8,22.0,1748.0
33,2020-05-30,80.9,90,1.0,▲,9.0,1.3,26.0,1838.0
34,2020-05-31,82.3,70,1.4,▲,10.0,1.7,-20.0,1908.0
35,2020-06-01,84.2,56,1.9,▲,11.0,2.3,-14.0,1964.0
36,2020-06-02,86.4,58,2.2,▲,12.0,2.6,2.0,2022.0
37,2020-06-03,87.0,35,0.6,▲,13.0,0.7,-23.0,2057.0
38,2020-06-04,88.2,54,1.2,▲,14.0,1.4,19.0,2111.0
39,2020-06-05,89.2,55,1.0,▲,15.0,1.1,1.0,2166.0
40,2020-06-06,91.1,58,1.9,▲,16.0,2.1,3.0,2224.0
41,2020-06-07,89.4,84,-1.7,▼,15.0,-1.9,26.0,2308.0
42,2020-06-08,91.4,48,2.0,▲,16.0,2.2,-36.0,2356.0
43,2020-06-09,93.4,47,2.0,▲,17.0,2.2,-1.0,2403.0
44,2020-06-10,94.0,69,0.6,▲,18.0,0.6,22.0,2472.0
45,2020-06-11,92.2,50,-1.8,▼,17.0,-1.9,-19.0,2522.0
46,2020-06-12,94.5,55,2.3,▲,18.0,2.5,5.0,2577.0
47,2020-06-13,91.9,78,-2.6,▼,17.0,-2.8,23.0,2655.0
48,2020-06-14,89.1,70,-2.8,▼,16.0,-3.0,-8.0,2725.0
49,2020-06-15,86.5,53,-2.6,▼,15.0,-2.9,-17.0,2778.0
50,2020-06-16,85.9,52,-0.6,▼,14.0,-0.7,-1.0,2830.0
51,2020-06-17,85.5,66,-0.4,▼,13.0,-0.5,14.0,2896.0
52,2020-06-18,85.7,82,0.2,▲,14.0,0.2,16.0,2978.0
53,2020-06-19,86.2,47,0.5,▲,15.0,0.6,-35.0,3025.0
54,2020-06-20,88.1,52,1.9,▲,16.0,2.2,5.0,3077.0
55,2020-06-21,88.7,63,0.6,▲,17.0,0.7,11.0,3140.0
56,2020-06-22,88.1,70,-0.6,▼,16.0,-0.7,7.0,3210.0
57,2020-06-23,89.0,27,0.9,▲,17.0,1.0,-43.0,3237.0
58,2020-06-24,91.0,41,2.0,▲,18.0,2.2,14.0,3278.0
59,2020-06-25,92.6,36,1.6,▲,19.0,1.8,-5.0,3314.0
60,2020-06-26,94.0,51,1.4,▲,20.0,1.5,15.0,3365.0
61,2020-06-27,93.5,42,-0.5,▼,19.0,-0.5,-9.0,3407.0
62,2020-06-28,94.0,52,0.5,▲,20.0,0.5,10.0,3459.0
