,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-28,4.3,3,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-29,4.6,3,0.3,▲,1.0,7.0,0.0,3.0
2,2020-04-30,4.4,1,-0.2,▼,0.0,-4.3,-2.0,4.0
3,2020-05-01,4.2,5,-0.2,▼,-1.0,-4.5,4.0,9.0
4,2020-05-02,4.0,5,-0.2,▼,-2.0,-4.8,0.0,14.0
5,2020-05-03,4.0,3,0.0,-,-2.0,0.0,-2.0,17.0
6,2020-05-04,3.8,4,-0.2,▼,-3.0,-5.0,1.0,21.0
7,2020-05-05,4.0,4,0.2,▲,-2.0,5.3,0.0,25.0
8,2020-05-06,3.9,4,-0.1,▼,-3.0,-2.5,0.0,29.0
9,2020-05-07,4.1,2,0.2,▲,-2.0,5.1,-2.0,31.0
10,2020-05-08,3.9,4,-0.2,▼,-3.0,-4.9,2.0,35.0
11,2020-05-09,3.9,2,0.0,-,-3.0,0.0,-2.0,37.0
12,2020-05-10,3.9,2,0.0,-,-3.0,0.0,0.0,39.0
13,2020-05-11,4.0,1,0.1,▲,-2.0,2.6,-1.0,40.0
14,2020-05-12,3.9,1,-0.1,▼,-3.0,-2.5,0.0,41.0
15,2020-05-14,4.0,1,0.1,▲,-2.0,2.6,0.0,42.0
16,2020-05-15,4.0,3,0.0,-,-2.0,0.0,2.0,45.0
17,2020-05-16,3.9,3,-0.1,▼,-3.0,-2.5,0.0,48.0
18,2020-05-17,3.7,2,-0.2,▼,-4.0,-5.1,-1.0,50.0
19,2020-05-18,3.5,2,-0.2,▼,-5.0,-5.4,0.0,52.0
20,2020-05-19,3.4,4,-0.1,▼,-6.0,-2.9,2.0,56.0
21,2020-05-21,3.4,3,0.0,-,-6.0,0.0,-1.0,59.0
22,2020-05-22,3.3,5,-0.1,▼,-7.0,-2.9,2.0,64.0
23,2020-05-23,3.4,4,0.1,▲,-6.0,3.0,-1.0,68.0
24,2020-05-24,3.4,4,0.0,-,-6.0,0.0,0.0,72.0
25,2020-05-25,3.5,2,0.1,▲,-5.0,2.9,-2.0,74.0
26,2020-05-26,3.4,4,-0.1,▼,-6.0,-2.9,2.0,78.0
27,2020-05-28,3.4,1,0.0,-,-6.0,0.0,-3.0,79.0
28,2020-05-30,3.3,1,-0.1,▼,-7.0,-2.9,0.0,80.0
29,2020-05-31,3.5,1,0.2,▲,-6.0,6.1,0.0,81.0
30,2020-06-01,3.6,5,0.1,▲,-5.0,2.9,4.0,86.0
31,2020-06-02,3.7,1,0.1,▲,-4.0,2.8,-4.0,87.0
32,2020-06-04,3.9,2,0.2,▲,-3.0,5.4,1.0,89.0
33,2020-06-05,4.1,5,0.2,▲,-2.0,5.1,3.0,94.0
34,2020-06-06,4.1,4,0.0,-,-2.0,0.0,-1.0,98.0
35,2020-06-07,4.1,2,0.0,-,-2.0,0.0,-2.0,100.0
36,2020-06-08,4.0,2,-0.1,▼,-3.0,-2.4,0.0,102.0
37,2020-06-09,4.0,2,0.0,-,-3.0,0.0,0.0,104.0
38,2020-06-10,4.2,1,0.2,▲,-2.0,5.0,-1.0,105.0
39,2020-06-12,4.3,4,0.1,▲,-1.0,2.4,3.0,109.0
40,2020-06-13,4.1,10,-0.2,▼,-2.0,-4.7,6.0,119.0
41,2020-06-14,4.1,9,0.0,-,-2.0,0.0,-1.0,128.0
42,2020-06-15,4.2,9,0.1,▲,-1.0,2.4,0.0,137.0
43,2020-06-16,4.0,5,-0.2,▼,-2.0,-4.8,-4.0,142.0
44,2020-06-17,4.0,7,0.0,-,-2.0,0.0,2.0,149.0
45,2020-06-18,4.2,6,0.2,▲,-1.0,5.0,-1.0,155.0
46,2020-06-19,4.4,5,0.2,▲,0.0,4.8,-1.0,160.0
47,2020-06-20,4.3,2,-0.1,▼,-1.0,-2.3,-3.0,162.0
48,2020-06-21,4.5,5,0.2,▲,0.0,4.7,3.0,167.0
49,2020-06-22,4.3,5,-0.2,▼,-1.0,-4.4,0.0,172.0
50,2020-06-23,4.2,1,-0.1,▼,-2.0,-2.3,-4.0,173.0
51,2020-06-24,4.3,3,0.1,▲,-1.0,2.4,2.0,176.0
52,2020-06-25,4.3,4,0.0,-,-1.0,0.0,1.0,180.0
53,2020-06-26,4.3,4,0.0,-,-1.0,0.0,0.0,184.0
54,2020-06-27,4.4,3,0.1,▲,0.0,2.3,-1.0,187.0
55,2020-06-28,4.6,2,0.2,▲,1.0,4.5,-1.0,189.0
56,2020-06-30,4.5,2,-0.1,▼,0.0,-2.2,0.0,191.0
57,2020-07-01,4.6,2,0.1,▲,1.0,2.2,0.0,193.0
58,2020-07-02,4.4,6,-0.2,▼,0.0,-4.3,4.0,199.0
59,2020-07-03,4.5,3,0.1,▲,1.0,2.3,-3.0,202.0
60,2020-07-04,4.2,2,-0.3,▼,0.0,-6.7,-1.0,204.0
61,2020-07-06,4.1,3,-0.1,▼,-1.0,-2.4,1.0,207.0
62,2020-07-07,4.1,3,0.0,-,-1.0,0.0,0.0,210.0
63,2020-07-08,4.2,3,0.1,▲,0.0,2.4,0.0,213.0
64,2020-07-09,4.0,3,-0.2,▼,-1.0,-4.8,0.0,216.0
