,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
30,2022-03-28,34.2,44,-0.3,▼,-95.0,-0.9,-48.0,69865.0,inaros_prime_set
10,2022-03-28,41.4,70,-0.9,▼,-86.0,-2.1,-7.0,92375.0,ivara_prime_set
31,2022-03-28,45.1,14,1.0,▲,-78.0,2.3,0.0,26328.0,baza_prime_set
67,2022-03-28,58.8,12,-1.0,▼,-61.0,-1.7,0.0,21763.0,aksomati_prime_set
33,2022-03-28,69.5,29,-1.0,▼,-52.0,-1.4,-1.0,5748.0,scourge_prime_set
32,2022-03-28,41.5,55,0.0,-,-50.0,0.0,-5.0,6947.0,knell_prime_set
4,2022-03-28,35.6,75,0.7,▲,-40.0,2.0,-87.0,71671.0,titania_prime_set
35,2022-03-28,34.9,14,0.1,▲,-33.0,0.3,0.0,8265.0,magnus_prime_set
47,2022-03-28,42.8,30,0.0,-,-20.0,0.0,7.0,23978.0,corinth_prime_set
236,2022-03-28,41.9,25,-0.1,▼,-14.0,-0.2,2.0,20262.0,dual_rounds
