,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
0,321,2022-05-21,73.9,46,0.0,-,281.0,0.0,-2.0,33726.0,primed_continuity
1,432,2022-05-21,64.0,60,0.7,▲,223.0,1.1,18.0,19607.0,primed_cryo_rounds
2,392,2022-05-21,77.8,88,0.1,▲,182.0,0.1,25.0,14798.0,primed_firestorm
3,323,2022-05-21,39.2,33,0.2,▲,174.0,0.5,12.0,26249.0,primed_flow
4,573,2022-05-21,66.6,23,0.3,▲,168.0,0.5,-7.0,21696.0,primed_reach
5,370,2022-05-21,68.5,276,0.3,▲,168.0,0.4,125.0,148706.0,arcane_energize
6,533,2022-05-21,77.3,23,1.7,▲,163.0,2.2,0.0,13592.0,primed_target_cracker
7,528,2022-05-21,75.4,39,0.5,▲,160.0,0.7,14.0,13529.0,primed_pistol_gambit
8,567,2022-05-21,40.3,33,-2.0,▼,160.0,-4.7,7.0,19053.0,primed_fever_strike
9,474,2022-05-21,69.0,21,1.1,▲,154.0,1.6,-19.0,13770.0,primed_point_blank
