,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
26,2020-01-25,108.9,41,-0.2,▼,-10.0,-0.2,-5.0,535.0,baza_prime_set
20,2020-01-25,99.2,26,-0.2,▼,-6.0,-0.2,-4.0,407.0,vauban_prime_set
23,2020-01-25,178.1,24,0.3,▲,-4.0,0.2,-21.0,518.0,nekros_prime_set
6,2020-01-25,121.8,131,-2.0,▼,-4.0,-1.6,-7.0,1637.0,ivara_prime_set
17,2020-01-25,65.5,54,-1.0,▼,-3.0,-1.5,30.0,486.0,ash_prime_set
76,2020-01-25,46.5,21,-1.3,▼,-2.0,-2.7,3.0,214.0,silva_and_aegis_prime_set
5,2020-01-25,44.3,49,-1.0,▼,-2.0,-2.2,-3.0,571.0,limbo_prime_set
65,2020-01-25,84.8,19,-0.9,▼,-2.0,-1.1,15.0,112.0,glaive_prime_set
7,2020-01-25,39.9,47,0.0,-,-1.0,0.0,1.0,608.0,chroma_prime_set
40,2020-01-25,46.9,17,0.5,▲,-1.0,1.1,6.0,198.0,vectis_prime_set
