,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
6,2020-02-03,107.8,150,-0.8,▼,-11.0,-0.7,24.0,2804.0,ivara_prime_set
19,2020-02-03,50.6,103,-0.9,▼,-7.0,-1.7,-6.0,1767.0,wukong_prime_set
25,2020-02-03,49.5,61,-0.3,▼,-5.0,-0.6,-29.0,1730.0,atlas_prime_set
3,2020-02-03,47.7,89,0.0,-,-3.0,0.0,-30.0,1475.0,mesa_prime_set
13,2020-02-03,126.1,54,-1.0,▼,13.0,-0.8,-27.0,1269.0,saryn_prime_set
1,2020-02-03,46.8,40,-0.1,▼,1.0,-0.2,-21.0,1232.0,equinox_prime_set
7,2020-02-03,38.9,42,-0.1,▼,-6.0,-0.3,-14.0,1063.0,chroma_prime_set
2,2020-02-03,152.3,55,-1.4,▼,8.0,-0.9,3.0,1034.0,rhino_prime_set
5,2020-02-03,47.3,42,0.0,-,2.0,0.0,-21.0,1026.0,limbo_prime_set
14,2020-02-03,59.1,51,-0.7,▼,10.0,-1.2,-6.0,950.0,mirage_prime_set
