,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
77,2020-04-18,65.7,16,-2.5,▼,-9.0,-3.7,-8.0,1605.0,tekko_prime_set
48,2020-04-18,118.1,12,-3.4,▼,21.0,-2.8,5.0,717.0,akvasto_prime_set
118,2020-04-18,36.9,18,-1.0,▼,11.0,-2.6,10.0,1262.0,rakta_dark_dagger
38,2020-04-18,35.8,19,-0.9,▼,14.0,-2.5,5.0,1811.0,tiberon_prime_set
19,2020-04-18,38.6,167,-1.0,▼,-28.0,-2.5,45.0,9968.0,wukong_prime_set
6,2020-04-18,62.2,166,-1.5,▼,-42.0,-2.4,13.0,14045.0,ivara_prime_set
106,2020-04-18,33.0,14,-0.8,▼,-2.0,-2.4,-3.0,716.0,synoid_gammacor
46,2020-04-18,103.5,38,-2.2,▼,-31.0,-2.1,8.0,3230.0,aksomati_prime_set
91,2020-04-18,58.1,13,-1.2,▼,-6.0,-2.0,8.0,626.0,pathocyst_set
73,2020-04-18,97.9,34,-1.7,▼,10.0,-1.7,6.0,2694.0,reaper_prime_set
