,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
7,2020-05-12,31.4,89,-4.2,▼,-22.0,-11.8,-39.0,9836.0,chroma_prime_set
179,2020-05-12,73.8,18,0.0,-,29.0,0.0,-29.0,1516.0,primed_flow
11,2020-05-12,92.4,52,-0.5,▼,6.0,-0.5,-28.0,6365.0,hydroid_prime_set
24,2020-05-12,190.1,51,0.2,▲,25.0,0.1,-26.0,6856.0,volt_prime_set
6,2020-05-12,49.5,147,0.4,▲,-52.0,0.8,-23.0,17446.0,ivara_prime_set
2,2020-05-12,159.6,41,0.1,▲,14.0,0.1,-21.0,7668.0,rhino_prime_set
15,2020-05-12,91.6,34,0.5,▲,23.0,0.5,-21.0,5322.0,valkyr_prime_set
77,2020-05-12,50.2,11,-1.0,▼,-19.0,-2.0,-16.0,2106.0,tekko_prime_set
379,2020-05-12,63.0,11,0.0,-,1.0,0.0,-16.0,309.0,voltaic_strike
277,2020-05-12,37.4,13,-0.2,▼,3.0,-0.5,-13.0,259.0,blaze
