,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
366,2020-08-02,44.9,17,3.6,▲,2.0,8.7,8.0,939.0,primed_heated_charge
97,2020-08-02,92.5,120,7.2,▲,-9.0,8.4,33.0,2217.0,panthera_prime_set
98,2020-08-02,75.0,97,5.4,▲,-9.0,7.8,-8.0,2508.0,karyst_prime_set
125,2020-08-02,30.8,24,1.9,▲,2.0,6.6,20.0,1523.0,telos_akbolto
27,2020-08-02,99.4,438,5.9,▲,-7.0,6.3,182.0,7869.0,inaros_prime_set
50,2020-08-02,71.0,45,4.0,▲,-40.0,6.0,10.0,6758.0,aksomati_prime_set
1,2020-08-02,44.2,279,2.3,▲,-10.0,5.5,115.0,3489.0,titania_prime_set
81,2020-08-02,43.7,27,2.2,▲,-20.0,5.3,-3.0,3678.0,tekko_prime_set
48,2020-08-02,33.0,52,1.5,▲,-9.0,4.8,21.0,4619.0,akjagara_prime_set
116,2020-08-02,45.5,19,2.0,▲,7.0,4.6,12.0,968.0,prisma_grakata
