,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
0,0,2020-08-16,352.1,43,0.5,▲,64.0,0.1,5.0,6347.0,loki_prime_set
1,18,2020-08-16,139.6,59,-1.0,▼,57.0,-0.7,-1.0,9951.0,ash_prime_set
2,204,2020-08-16,32.3,68,1.0,▲,56.0,3.2,-3.0,5548.0,primed_continuity
3,243,2020-08-16,44.9,261,0.0,-,54.0,0.0,-87.0,27962.0,arcane_energize
4,72,2020-08-16,159.1,67,-1.2,▼,48.0,-0.7,6.0,8100.0,kronen_prime_set
5,62,2020-08-16,89.8,14,-3.0,▼,47.0,-3.2,3.0,1708.0,ankyros_prime_set
6,205,2020-08-16,45.5,52,1.5,▲,43.0,3.4,6.0,3748.0,primed_flow
7,74,2020-08-16,90.0,56,0.6,▲,42.0,0.7,35.0,7388.0,nikana_prime_set
8,19,2020-08-16,61.4,54,0.2,▲,39.0,0.3,6.0,7617.0,zephyr_prime_set
9,429,2020-08-16,121.5,101,-0.9,▼,38.0,-0.7,20.0,6812.0,weeping_wounds
