,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
294,294,2020-11-02,450.4,17,-0.4,▼,94.0,-0.1,-15.0,8498.0,loki_prime_set
48,48,2020-11-02,20.8,37,-0.5,▼,-1.0,-2.3,-12.0,2333.0,dethcube_prime_set
48,48,2020-11-02,132.9,12,0.0,-,20.0,0.0,-14.0,571.0,wyrm_prime_set
48,48,2020-11-02,89.0,43,1.1,▲,13.0,1.3,2.0,1898.0,helios_prime_set
48,48,2020-11-02,78.3,21,-0.4,▼,13.0,-0.5,-10.0,1263.0,carrier_prime_set
6,6,2020-11-02,128.0,285,-11.8,▼,2.0,-8.4,-117.0,3051.0,nezha_prime_set
118,118,2020-11-02,34.0,103,-1.2,▼,-44.0,-3.4,-14.0,14555.0,titania_prime_set
294,294,2020-11-02,35.0,73,-0.4,▼,-26.0,-1.1,-24.0,24476.0,equinox_prime_set
294,294,2020-11-02,194.8,59,0.5,▲,43.0,0.3,20.0,17470.0,rhino_prime_set
294,294,2020-11-02,48.8,158,-1.5,▼,-10.0,-3.0,15.0,37330.0,mesa_prime_set
294,294,2020-11-02,59.8,53,0.0,-,8.0,0.0,-17.0,14149.0,ember_prime_set
294,294,2020-11-02,91.9,49,-0.2,▼,52.0,-0.2,0.0,17342.0,limbo_prime_set
294,294,2020-11-02,35.2,96,-0.8,▼,-80.0,-2.2,4.0,37968.0,ivara_prime_set
294,294,2020-11-02,65.6,48,-0.3,▼,14.0,-0.5,-19.0,24437.0,chroma_prime_set
294,294,2020-11-02,137.5,23,0.0,-,40.0,0.0,-7.0,9115.0,nyx_prime_set
294,294,2020-11-02,63.1,80,0.0,-,-4.0,0.0,-28.0,11475.0,frost_prime_set
294,294,2020-11-02,46.9,43,-0.7,▼,-20.0,-1.5,-19.0,18108.0,trinity_prime_set
294,294,2020-11-02,94.5,29,-0.3,▼,17.0,-0.3,-29.0,14009.0,hydroid_prime_set
294,294,2020-11-02,66.2,55,-0.5,▼,16.0,-0.7,-3.0,19815.0,nova_prime_set
294,294,2020-11-02,170.4,65,0.0,-,55.0,0.0,-8.0,24754.0,saryn_prime_set
294,294,2020-11-02,98.5,63,0.3,▲,65.0,0.3,2.0,19675.0,mirage_prime_set
294,294,2020-11-02,103.3,52,1.1,▲,39.0,1.1,22.0,13230.0,valkyr_prime_set
294,294,2020-11-02,149.2,20,-0.1,▼,44.0,-0.1,-24.0,11189.0,mag_prime_set
294,294,2020-11-02,149.8,24,0.3,▲,68.0,0.2,5.0,13276.0,ash_prime_set
294,294,2020-11-02,73.1,29,0.4,▲,48.0,0.6,-12.0,10411.0,zephyr_prime_set
294,294,2020-11-02,33.9,134,-0.2,▼,-38.0,-0.6,50.0,33738.0,wukong_prime_set
294,294,2020-11-02,174.0,38,0.4,▲,36.0,0.2,-11.0,13413.0,vauban_prime_set
294,294,2020-11-02,96.1,23,2.4,▲,36.0,2.6,-12.0,10478.0,banshee_prime_set
294,294,2020-11-02,75.4,37,-0.7,▼,5.0,-0.9,3.0,11389.0,oberon_prime_set
294,294,2020-11-02,140.5,71,0.0,-,7.0,0.0,2.0,21397.0,nekros_prime_set
294,294,2020-11-02,170.8,46,0.4,▲,28.0,0.2,-8.0,17787.0,volt_prime_set
294,294,2020-11-02,34.0,76,0.0,-,-31.0,0.0,18.0,25721.0,atlas_prime_set
111,111,2020-11-02,61.5,100,-1.4,▼,-46.0,-2.2,-30.0,22583.0,inaros_prime_set
294,294,2020-11-02,45.0,26,-0.7,▼,-64.0,-1.5,0.0,11844.0,baza_prime_set
6,6,2020-11-02,117.9,165,-10.9,▼,2.0,-8.5,-21.0,1698.0,guandao_prime_set
48,48,2020-11-02,40.1,31,0.0,-,-5.0,0.0,1.0,1215.0,stropha_set
48,48,2020-11-02,17.4,13,-0.1,▼,-4.0,-0.6,-14.0,641.0,stahlta_set
6,6,2020-11-02,124.9,106,-13.9,▼,2.0,-10.0,-33.0,983.0,zakti_prime_set
118,118,2020-11-02,20.6,30,-0.9,▼,-18.0,-4.2,2.0,4128.0,pangolin_prime_set
118,118,2020-11-02,41.2,39,-1.5,▼,-30.0,-3.5,-3.0,6386.0,corinth_prime_set
294,294,2020-11-02,94.4,21,-0.4,▼,32.0,-0.4,11.0,3568.0,boar_prime_set
294,294,2020-11-02,65.8,19,-1.0,▼,21.0,-1.5,11.0,3744.0,boltor_prime_set
294,294,2020-11-02,8.8,11,1.2,▲,-7.0,15.8,-8.0,5797.0,braton_prime_set
294,294,2020-11-02,6.5,9,0.2,▲,6.0,3.2,-4.0,3674.0,burston_prime_set
294,294,2020-11-02,66.9,16,-0.5,▼,33.0,-0.7,9.0,4082.0,cernos_prime_set
294,294,2020-11-02,31.6,24,0.5,▲,0.0,1.6,-7.0,3896.0,latron_prime_set
294,294,2020-11-02,12.2,18,1.7,▲,3.0,16.2,1.0,5178.0,paris_prime_set
294,294,2020-11-02,67.9,73,-1.0,▼,49.0,-1.5,30.0,18342.0,rubico_prime_set
294,294,2020-11-02,43.5,31,-0.5,▼,-13.0,-1.1,-11.0,8746.0,soma_prime_set
294,294,2020-11-02,13.5,24,-0.7,▼,-10.0,-4.9,-5.0,7343.0,stradavar_prime_set
294,294,2020-11-02,39.3,21,0.1,▲,17.0,0.3,-1.0,4239.0,sybaris_prime_set
294,294,2020-11-02,55.1,14,1.5,▲,35.0,2.8,-2.0,5038.0,tiberon_prime_set
294,294,2020-11-02,45.9,11,-3.1,▼,8.0,-6.3,-13.0,6615.0,tigris_prime_set
294,294,2020-11-02,122.5,36,0.7,▲,42.0,0.6,13.0,5594.0,vectis_prime_set
294,294,2020-11-02,24.5,22,0.5,▲,-9.0,2.1,-9.0,6393.0,zhuge_prime_set
294,294,2020-11-02,73.4,16,1.1,▲,32.0,1.5,0.0,3790.0,akbolto_prime_set
289,289,2020-11-02,17.7,8,1.0,▲,2.0,6.0,2.0,1669.0,akbronco_prime_set
294,294,2020-11-02,43.3,28,0.4,▲,-1.0,0.9,-6.0,7156.0,akjagara_prime_set
293,293,2020-11-02,76.3,8,3.0,▲,13.0,4.1,-1.0,3030.0,aklex_prime_set
294,294,2020-11-02,60.6,23,-2.3,▼,-57.0,-3.7,1.0,9286.0,aksomati_prime_set
294,294,2020-11-02,103.7,11,2.0,▲,28.0,2.0,-1.0,4008.0,akstiletto_prime_set
294,294,2020-11-02,107.8,11,0.9,▲,24.0,0.8,-3.0,2753.0,akvasto_prime_set
294,294,2020-11-02,44.0,19,1.1,▲,24.0,2.6,4.0,4040.0,ballistica_prime_set
294,294,2020-11-02,13.8,13,0.2,▲,10.0,1.5,-13.0,5722.0,bronco_prime_set
294,294,2020-11-02,80.0,12,-0.6,▼,23.0,-0.7,-3.0,4385.0,euphona_prime_set
294,294,2020-11-02,72.8,5,1.5,▲,20.0,2.1,-13.0,3244.0,hikou_prime_set
294,294,2020-11-02,7.9,18,0.0,-,-19.0,0.0,3.0,6635.0,lex_prime_set
294,294,2020-11-02,47.9,32,0.2,▲,45.0,0.4,7.0,10399.0,pyrana_prime_set
294,294,2020-11-02,24.3,15,0.5,▲,1.0,2.1,-12.0,3250.0,sicarus_prime_set
294,294,2020-11-02,145.8,12,1.5,▲,26.0,1.0,5.0,2496.0,spira_prime_set
294,294,2020-11-02,24.3,15,0.4,▲,-13.0,1.7,-17.0,7465.0,vasto_prime_set
291,291,2020-11-02,110.7,13,0.5,▲,65.0,0.5,-1.0,2345.0,ankyros_prime_set
294,294,2020-11-02,50.2,21,0.5,▲,29.0,1.0,-8.0,5148.0,dakra_prime_set
294,294,2020-11-02,36.4,23,0.0,-,28.0,0.0,-4.0,5875.0,destreza_prime_set
294,294,2020-11-02,81.9,15,-0.3,▼,-6.0,-0.4,-13.0,4497.0,dual_kamas_prime_set
294,294,2020-11-02,8.9,8,0.2,▲,-10.0,2.3,-1.0,3152.0,fang_prime_set
294,294,2020-11-02,37.9,20,-0.3,▼,29.0,-0.8,4.0,5554.0,fragor_prime_set
294,294,2020-11-02,40.7,20,0.7,▲,-2.0,1.7,-4.0,5496.0,galatine_prime_set
294,294,2020-11-02,34.5,21,-0.5,▼,-12.0,-1.4,-11.0,3597.0,glaive_prime_set
294,294,2020-11-02,40.6,36,-0.9,▼,36.0,-2.2,9.0,10500.0,gram_prime_set
293,293,2020-11-02,75.3,9,1.0,▲,12.0,1.3,-2.0,3077.0,kogake_prime_set
294,294,2020-11-02,188.6,51,0.3,▲,72.0,0.2,-10.0,12323.0,kronen_prime_set
294,294,2020-11-02,142.1,16,1.9,▲,42.0,1.4,-9.0,4498.0,nami_skyla_prime_set
294,294,2020-11-02,100.8,34,-0.2,▼,54.0,-0.2,-3.0,10412.0,nikana_prime_set
294,294,2020-11-02,23.2,27,0.2,▲,-28.0,0.9,1.0,7710.0,ninkondi_prime_set
294,294,2020-11-02,11.1,14,-0.9,▼,3.0,-7.5,-28.0,10981.0,orthos_prime_set
294,294,2020-11-02,28.9,35,-0.3,▼,-15.0,-1.0,-20.0,9383.0,reaper_prime_set
294,294,2020-11-02,27.8,47,-0.8,▼,3.0,-2.8,3.0,18142.0,redeemer_prime_set
294,294,2020-11-02,67.8,6,2.5,▲,30.0,3.8,-2.0,3548.0,scindo_prime_set
294,294,2020-11-02,46.9,17,0.4,▲,1.0,0.9,-7.0,5995.0,silva_and_aegis_prime_set
294,294,2020-11-02,42.9,20,-0.1,▼,-19.0,-0.2,-4.0,5332.0,tekko_prime_set
294,294,2020-11-02,33.7,12,-1.2,▼,-4.0,-3.4,0.0,4764.0,tipedo_prime_set
