,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
109,2020-12-10,30.7,135,-0.1,▼,-13.0,-0.3,17.0,14493.0,melee_riven_mod_(veiled)
93,2020-12-10,66.7,26,-0.7,▼,1.0,-1.0,15.0,16337.0,shedu_set
463,2020-12-10,48.3,29,-0.8,▼,3.0,-1.6,14.0,7421.0,bullet_dance
7,2020-12-10,37.4,75,4.0,▲,-30.0,12.0,12.0,27965.0,equinox_prime_set
29,2020-12-10,139.4,38,0.3,▲,4.0,0.2,12.0,23248.0,nekros_prime_set
16,2020-12-10,51.7,50,0.1,▲,-9.0,0.2,11.0,19917.0,trinity_prime_set
30,2020-12-10,176.1,36,0.5,▲,30.0,0.3,11.0,19537.0,volt_prime_set
77,2020-12-10,39.9,20,-0.2,▼,-1.0,-0.5,10.0,6017.0,galatine_prime_set
47,2020-12-10,62.5,52,1.1,▲,46.0,1.8,10.0,20474.0,rubico_prime_set
18,2020-12-10,72.9,39,0.0,-,27.0,0.0,9.0,21453.0,nova_prime_set
