,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
25,2020-12-12,139.7,33,0.1,▲,6.0,0.1,-17.0,23331.0,nekros_prime_set
75,2020-12-12,182.4,25,1.2,▲,74.0,0.7,-16.0,13654.0,kronen_prime_set
81,2020-12-12,34.9,32,0.6,▲,11.0,1.7,-13.0,19835.0,redeemer_prime_set
72,2020-12-12,55.4,24,3.4,▲,-10.0,6.5,-12.0,4801.0,glaive_prime_set
12,2020-12-12,53.9,26,1.0,▲,-7.0,1.9,-10.0,19979.0,trinity_prime_set
71,2020-12-12,40.5,10,0.5,▲,1.0,1.2,-9.0,6046.0,galatine_prime_set
10,2020-12-12,128.5,12,0.9,▲,25.0,0.7,-9.0,9937.0,nyx_prime_set
11,2020-12-12,68.7,64,2.0,▲,-13.0,3.0,-8.0,14034.0,frost_prime_set
20,2020-12-12,72.7,16,0.8,▲,46.0,1.1,-8.0,11497.0,zephyr_prime_set
6,2020-12-12,65.1,59,2.7,▲,1.0,4.3,-7.0,16853.0,ember_prime_set
