,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
11,2021-06-06,79.1,188,-0.5,▼,27.0,-0.6,74.0,60237.0,mesa_prime_set
14,2021-06-06,30.5,217,-1.0,▼,-88.0,-3.2,43.0,58338.0,ivara_prime_set
18,2021-06-06,82.2,124,-0.7,▼,37.0,-0.8,42.0,31024.0,trinity_prime_set
33,2021-06-06,32.7,168,-0.1,▼,-40.0,-0.3,41.0,39532.0,atlas_prime_set
30,2021-06-06,97.0,58,-1.2,▼,34.0,-1.2,36.0,18179.0,oberon_prime_set
76,2021-06-06,39.8,70,0.0,-,26.0,0.0,28.0,12925.0,vasto_prime_set
521,2021-06-06,161.6,40,-0.4,▼,23.0,-0.2,24.0,4066.0,primed_reach(max)
343,2021-06-06,40.1,162,-0.1,▼,35.0,-0.2,23.0,45457.0,arcane_grace
5,2021-06-06,64.8,61,0.5,▲,-5.0,0.8,22.0,10896.0,helios_prime_set
477,2021-06-06,94.9,40,-1.0,▼,83.0,-1.0,22.0,6905.0,primed_pistol_gambit
