,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
560,560,2021-07-26,426.5,20,-7.9,▼,64.0,-1.8,-53.0,14904.0,loki_prime_set
62,62,2021-07-26,87.4,149,-1.2,▼,-24.0,-1.4,-24.0,16104.0,gara_prime_set
152,152,2021-07-26,63.3,170,-1.6,▼,-45.0,-2.5,-40.0,36319.0,octavia_prime_set
314,314,2021-07-26,31.2,45,-0.7,▼,14.0,-2.2,-1.0,15100.0,dethcube_prime_set
314,314,2021-07-26,187.8,11,1.6,▲,52.0,0.9,-4.0,3849.0,wyrm_prime_set
314,314,2021-07-26,58.2,44,0.5,▲,-8.0,0.9,11.0,12852.0,helios_prime_set
314,314,2021-07-26,89.8,17,0.1,▲,20.0,0.1,-17.0,7197.0,carrier_prime_set
272,272,2021-07-26,59.1,62,0.2,▲,-46.0,0.3,-30.0,36063.0,nezha_prime_set
384,384,2021-07-26,30.8,100,0.0,-,-44.0,0.0,-56.0,40816.0,titania_prime_set
560,560,2021-07-26,50.8,85,1.7,▲,-9.0,3.5,5.0,46854.0,equinox_prime_set
560,560,2021-07-26,250.8,55,1.4,▲,53.0,0.6,10.0,29310.0,rhino_prime_set
560,560,2021-07-26,74.9,145,0.4,▲,21.0,0.5,51.0,66024.0,mesa_prime_set
560,560,2021-07-26,121.0,56,0.2,▲,54.0,0.2,-19.0,29456.0,ember_prime_set
560,560,2021-07-26,99.0,41,0.0,-,64.0,0.0,-34.0,29400.0,limbo_prime_set
560,560,2021-07-26,40.6,92,-3.8,▼,-94.0,-8.6,4.0,64931.0,ivara_prime_set
560,560,2021-07-26,45.9,43,0.0,-,3.0,0.0,-40.0,40960.0,chroma_prime_set
560,560,2021-07-26,116.7,22,1.2,▲,49.0,1.0,-28.0,16743.0,nyx_prime_set
560,560,2021-07-26,108.7,55,1.0,▲,45.0,0.9,4.0,24053.0,frost_prime_set
560,560,2021-07-26,71.4,61,-0.6,▼,30.0,-0.8,-10.0,33979.0,trinity_prime_set
560,560,2021-07-26,111.9,43,1.5,▲,25.0,1.4,-19.0,24477.0,hydroid_prime_set
560,560,2021-07-26,90.4,54,0.0,-,64.0,0.0,-11.0,33229.0,nova_prime_set
560,560,2021-07-26,218.6,62,-0.1,▼,75.0,-0.0,-21.0,44851.0,saryn_prime_set
560,560,2021-07-26,74.5,79,0.4,▲,39.0,0.5,-27.0,39736.0,mirage_prime_set
560,560,2021-07-26,82.9,53,-0.4,▼,58.0,-0.5,-3.0,23524.0,valkyr_prime_set
560,560,2021-07-26,188.8,33,0.6,▲,72.0,0.3,1.0,19837.0,mag_prime_set
560,560,2021-07-26,198.4,40,-0.4,▼,94.0,-0.2,9.0,24453.0,ash_prime_set
560,560,2021-07-26,40.8,46,-0.9,▼,29.0,-2.2,4.0,23039.0,zephyr_prime_set
560,560,2021-07-26,55.2,155,0.4,▲,-29.0,0.7,-12.0,71014.0,wukong_prime_set
560,560,2021-07-26,212.5,58,1.1,▲,72.0,0.5,6.0,24104.0,vauban_prime_set
560,560,2021-07-26,67.8,56,0.2,▲,34.0,0.3,-19.0,21304.0,banshee_prime_set
560,560,2021-07-26,94.8,36,0.4,▲,38.0,0.4,-2.0,19789.0,oberon_prime_set
560,560,2021-07-26,177.7,60,0.4,▲,41.0,0.2,16.0,37037.0,nekros_prime_set
560,560,2021-07-26,152.7,111,1.0,▲,47.0,0.7,29.0,35115.0,volt_prime_set
560,560,2021-07-26,31.4,80,-0.3,▼,-39.0,-0.9,6.0,44218.0,atlas_prime_set
377,377,2021-07-26,35.8,121,-0.4,▼,-82.0,-1.1,-8.0,48650.0,inaros_prime_set
560,560,2021-07-26,35.0,40,0.0,-,-85.0,0.0,7.0,19707.0,baza_prime_set
100,100,2021-07-26,241.8,14,2.5,▲,20.0,1.0,3.0,1155.0,wolf_sledge_set
62,62,2021-07-26,51.4,44,-0.5,▼,-10.0,-1.0,-15.0,5783.0,volnus_prime_set
62,62,2021-07-26,58.8,40,-1.1,▼,-15.0,-1.8,-17.0,7000.0,astilla_prime_set
