,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
190,2021-01-18,106.4,44,-53.1,▼,35.0,-33.3,-45.0,1817.0,primed_rubedo_lined_barrel
195,2021-01-18,51.2,18,-12.0,▼,5.0,-19.0,-16.0,1233.0,primed_animal_instinct
141,2021-01-18,51.5,11,-5.5,▼,25.0,-9.6,-31.0,2596.0,supra_vandal
472,2021-01-18,30.2,21,-3.0,▼,54.0,-9.0,-17.0,7845.0,primed_reach
72,2021-01-18,54.2,12,-2.0,▼,37.0,-3.6,-1.0,6217.0,dakra_prime_set
400,2021-01-18,38.6,12,-1.0,▼,-10.0,-2.5,6.0,3741.0,shell_shock
90,2021-01-18,36.9,13,-0.9,▼,-34.0,-2.4,-1.0,6358.0,tekko_prime_set
37,2021-01-18,45.1,28,-1.0,▼,-29.0,-2.2,-1.0,4040.0,zakti_prime_set
76,2021-01-18,36.9,18,-0.8,▼,28.0,-2.1,2.0,6606.0,fragor_prime_set
3,2021-01-18,50.5,16,-1.1,▼,-12.0,-2.1,-21.0,4182.0,helios_prime_set
