,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
7,2021-01-02,32.0,126,2.0,▲,-33.0,6.7,42.0,29864.0,equinox_prime_set
164,2021-01-02,35.8,17,2.1,▲,5.0,6.2,1.0,3471.0,telos_boltor
391,2021-01-02,50.8,20,2.9,▲,2.0,6.1,-4.0,4114.0,blaze
409,2021-01-02,45.5,13,2.5,▲,-4.0,5.8,-1.0,3556.0,shell_shock
151,2021-01-02,33.9,18,1.6,▲,0.0,5.0,-5.0,3346.0,secura_dual_cestra
165,2021-01-02,36.0,21,1.5,▲,10.0,4.3,6.0,3812.0,secura_lecta
404,2021-01-02,67.5,14,2.3,▲,5.0,3.5,-3.0,2004.0,primed_ravage
163,2021-01-02,30.5,14,1.0,▲,-21.0,3.4,-2.0,3728.0,sancti_magistar
50,2021-01-02,36.8,21,1.2,▲,14.0,3.4,-1.0,4938.0,sybaris_prime_set
500,2021-01-02,51.9,21,1.5,▲,27.0,3.0,9.0,4744.0,voltaic_strike
