,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
1,2020-11-30,73.8,102,-2.3,▼,-20.0,-3.0,-78.0,8186.0,nezha_prime_set
6,2020-11-30,56.1,100,-0.7,▼,1.0,-1.2,19.0,15937.0,ember_prime_set
3,2020-11-30,33.1,94,0.4,▲,-31.0,1.2,-20.0,27209.0,equinox_prime_set
292,2020-11-30,67.4,90,0.1,▲,96.0,0.1,-36.0,44818.0,arcane_energize
5,2020-11-30,49.6,88,0.1,▲,-13.0,0.2,-12.0,39983.0,mesa_prime_set
293,2020-11-30,42.2,80,2.4,▲,19.0,6.0,38.0,28741.0,arcane_grace
28,2020-11-30,56.7,80,-0.7,▼,-55.0,-1.2,-3.0,24976.0,inaros_prime_set
8,2020-11-30,32.0,80,-0.3,▼,-86.0,-0.9,-2.0,40225.0,ivara_prime_set
30,2020-11-30,68.6,78,-2.5,▼,-16.0,-3.5,19.0,4498.0,guandao_prime_set
21,2020-11-30,33.2,67,0.0,-,-39.0,0.0,-22.0,36181.0,wukong_prime_set
