,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-05-25,,242,0.0,-,0.0,0.0,0.0,0.0
1,2021-05-26,,1255,,▲,1.0,,1013.0,1255.0
2,2021-05-27,,790,,▲,2.0,,-465.0,2045.0
3,2021-05-28,,672,,▲,3.0,,-118.0,2717.0
4,2021-05-29,161.6,584,,▲,4.0,,-88.0,3301.0
5,2021-05-30,146.7,526,-14.9,▼,3.0,-9.2,-58.0,3827.0
6,2021-05-31,137.0,372,-9.7,▼,2.0,-6.6,-154.0,4199.0
7,2021-06-01,132.8,420,-4.2,▼,1.0,-3.1,48.0,4619.0
8,2021-06-02,130.1,357,-2.7,▼,0.0,-2.0,-63.0,4976.0
9,2021-06-03,126.2,356,-3.9,▼,-1.0,-3.0,-1.0,5332.0
10,2021-06-04,122.8,325,-3.4,▼,-2.0,-2.7,-31.0,5657.0
11,2021-06-05,120.0,345,-2.8,▼,-3.0,-2.3,20.0,6002.0
12,2021-06-06,117.0,297,-3.0,▼,-4.0,-2.5,-48.0,6299.0
13,2021-06-07,114.3,250,-2.7,▼,-5.0,-2.3,-47.0,6549.0
14,2021-06-08,112.8,241,-1.5,▼,-6.0,-1.3,-9.0,6790.0
15,2021-06-09,111.2,246,-1.6,▼,-7.0,-1.4,5.0,7036.0
16,2021-06-10,108.2,195,-3.0,▼,-8.0,-2.7,-51.0,7231.0
17,2021-06-11,105.3,222,-2.9,▼,-9.0,-2.7,27.0,7453.0
18,2021-06-12,103.0,215,-2.3,▼,-10.0,-2.2,-7.0,7668.0
19,2021-06-13,100.4,247,-2.6,▼,-11.0,-2.5,32.0,7915.0
20,2021-06-14,97.0,240,-3.4,▼,-12.0,-3.4,-7.0,8155.0
21,2021-06-15,95.5,214,-1.5,▼,-13.0,-1.5,-26.0,8369.0
22,2021-06-16,94.2,236,-1.3,▼,-14.0,-1.4,22.0,8605.0
