,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2022-03-28,,235,0.0,-,0.0,0.0,0.0,0.0
1,2022-03-29,,845,,▲,1.0,,610.0,845.0
2,2022-03-30,,658,,▲,2.0,,-187.0,1503.0
3,2022-03-31,,526,,▲,3.0,,-132.0,2029.0
4,2022-04-01,196.7,376,,▲,4.0,,-150.0,2405.0
5,2022-04-02,181.0,375,-15.7,▼,3.0,-8.0,-1.0,2780.0
6,2022-04-03,172.6,419,-8.4,▼,2.0,-4.6,44.0,3199.0
7,2022-04-04,168.3,333,-4.3,▼,1.0,-2.5,-86.0,3532.0
8,2022-04-05,163.7,334,-4.6,▼,0.0,-2.7,1.0,3866.0
9,2022-04-06,159.4,288,-4.3,▼,-1.0,-2.6,-46.0,4154.0
10,2022-04-07,153.0,277,-6.4,▼,-2.0,-4.0,-11.0,4431.0
11,2022-04-08,146.5,262,-6.5,▼,-3.0,-4.2,-15.0,4693.0
12,2022-04-09,143.6,297,-2.9,▼,-4.0,-2.0,35.0,4990.0
13,2022-04-10,142.3,314,-1.3,▼,-5.0,-0.9,17.0,5304.0
14,2022-04-11,140.9,251,-1.4,▼,-6.0,-1.0,-63.0,5555.0
15,2022-04-12,139.2,277,-1.7,▼,-7.0,-1.2,26.0,5832.0
16,2022-04-13,136.1,232,-3.1,▼,-8.0,-2.2,-45.0,6064.0
17,2022-04-14,131.0,129,-5.1,▼,-9.0,-3.7,-103.0,6193.0
18,2022-04-15,125.8,264,-5.2,▼,-10.0,-4.0,135.0,6457.0
19,2022-04-16,121.4,249,-4.4,▼,-11.0,-3.5,-15.0,6706.0
20,2022-04-17,117.9,267,-3.5,▼,-12.0,-2.9,18.0,6973.0
21,2022-04-18,117.3,205,-0.6,▼,-13.0,-0.5,-62.0,7178.0
22,2022-04-19,116.4,208,-0.9,▼,-14.0,-0.8,3.0,7386.0
23,2022-04-20,115.0,188,-1.4,▼,-15.0,-1.2,-20.0,7574.0
24,2022-04-21,113.0,213,-2.0,▼,-16.0,-1.7,25.0,7787.0
25,2022-04-22,110.3,246,-2.7,▼,-17.0,-2.4,33.0,8033.0
26,2022-04-23,107.9,317,-2.4,▼,-18.0,-2.2,71.0,8350.0
27,2022-04-24,105.8,273,-2.1,▼,-19.0,-1.9,-44.0,8623.0
28,2022-04-25,104.5,186,-1.3,▼,-20.0,-1.2,-87.0,8809.0
29,2022-04-26,104.4,203,-0.1,▼,-21.0,-0.1,17.0,9012.0
30,2022-04-27,105.9,171,1.5,▲,-20.0,1.4,-32.0,9183.0
31,2022-04-28,110.7,254,4.8,▲,-19.0,4.5,83.0,9437.0
32,2022-04-29,116.8,203,6.1,▲,-18.0,5.5,-51.0,9640.0
33,2022-04-30,123.5,238,6.7,▲,-17.0,5.7,35.0,9878.0
34,2022-05-01,129.5,239,6.0,▲,-16.0,4.9,1.0,10117.0
35,2022-05-02,133.0,208,3.5,▲,-15.0,2.7,-31.0,10325.0
36,2022-05-03,130.2,197,-2.8,▼,-16.0,-2.1,-11.0,10522.0
37,2022-05-04,125.6,219,-4.6,▼,-17.0,-3.5,22.0,10741.0
38,2022-05-05,119.8,201,-5.8,▼,-18.0,-4.6,-18.0,10942.0
39,2022-05-06,114.2,235,-5.6,▼,-19.0,-4.7,34.0,11177.0
40,2022-05-07,111.2,268,-3.0,▼,-20.0,-2.6,33.0,11445.0
41,2022-05-08,110.2,255,-1.0,▼,-21.0,-0.9,-13.0,11700.0
42,2022-05-09,109.3,152,-0.9,▼,-22.0,-0.8,-103.0,11852.0
43,2022-05-10,108.3,217,-1.0,▼,-23.0,-0.9,65.0,12069.0
44,2022-05-11,107.5,182,-0.8,▼,-24.0,-0.7,-35.0,12251.0
45,2022-05-12,105.8,152,-1.7,▼,-25.0,-1.6,-30.0,12403.0
46,2022-05-13,103.6,109,-2.2,▼,-26.0,-2.1,-43.0,12512.0
47,2022-05-14,102.1,142,-1.5,▼,-27.0,-1.4,33.0,12654.0
48,2022-05-15,100.9,161,-1.2,▼,-28.0,-1.2,19.0,12815.0
49,2022-05-16,99.6,85,-1.3,▼,-29.0,-1.3,-76.0,12900.0
50,2022-05-17,97.8,175,-1.8,▼,-30.0,-1.8,90.0,13075.0
51,2022-05-18,96.8,170,-1.0,▼,-31.0,-1.0,-5.0,13245.0
52,2022-05-19,95.1,142,-1.7,▼,-32.0,-1.8,-28.0,13387.0
53,2022-05-20,93.1,181,-2.0,▼,-33.0,-2.1,39.0,13568.0
54,2022-05-21,91.5,180,-1.6,▼,-34.0,-1.7,-1.0,13748.0
