,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-12-16,,238,0.0,-,0.0,0.0,0.0,0.0
1,2021-12-17,,677,,▲,1.0,,439.0,677.0
2,2021-12-18,,588,,▲,2.0,,-89.0,1265.0
3,2021-12-19,,658,,▲,3.0,,70.0,1923.0
4,2021-12-20,213.8,521,,▲,4.0,,-137.0,2444.0
5,2021-12-21,193.4,418,-20.4,▼,3.0,-9.5,-103.0,2862.0
6,2021-12-22,181.6,365,-11.8,▼,2.0,-6.1,-53.0,3227.0
7,2021-12-23,172.8,330,-8.8,▼,1.0,-4.8,-35.0,3557.0
8,2021-12-24,167.1,347,-5.7,▼,0.0,-3.3,17.0,3904.0
9,2021-12-25,163.9,357,-3.2,▼,-1.0,-1.9,10.0,4261.0
10,2021-12-26,159.8,350,-4.1,▼,-2.0,-2.5,-7.0,4611.0
11,2021-12-27,155.5,325,-4.3,▼,-3.0,-2.7,-25.0,4936.0
12,2021-12-28,153.1,199,-2.4,▼,-4.0,-1.5,-126.0,5135.0
13,2021-12-29,150.6,261,-2.5,▼,-5.0,-1.6,62.0,5396.0
14,2021-12-30,148.3,290,-2.3,▼,-6.0,-1.5,29.0,5686.0
15,2021-12-31,147.6,292,-0.7,▼,-7.0,-0.5,2.0,5978.0
16,2022-01-01,147.6,315,0.0,-,-7.0,0.0,23.0,6293.0
17,2022-01-02,146.4,245,-1.2,▼,-8.0,-0.8,-70.0,6538.0
18,2022-01-03,144.8,251,-1.6,▼,-9.0,-1.1,6.0,6789.0
19,2022-01-04,142.3,218,-2.5,▼,-10.0,-1.7,-33.0,7007.0
20,2022-01-05,139.7,194,-2.6,▼,-11.0,-1.8,-24.0,7201.0
21,2022-01-06,137.7,221,-2.0,▼,-12.0,-1.4,27.0,7422.0
22,2022-01-07,135.9,204,-1.8,▼,-13.0,-1.3,-17.0,7626.0
23,2022-01-08,133.5,261,-2.4,▼,-14.0,-1.8,57.0,7887.0
24,2022-01-09,131.9,239,-1.6,▼,-15.0,-1.2,-22.0,8126.0
25,2022-01-10,129.6,196,-2.3,▼,-16.0,-1.7,-43.0,8322.0
26,2022-01-11,126.0,182,-3.6,▼,-17.0,-2.8,-14.0,8504.0
27,2022-01-12,123.3,139,-2.7,▼,-18.0,-2.1,-43.0,8643.0
28,2022-01-13,121.2,177,-2.1,▼,-19.0,-1.7,38.0,8820.0
29,2022-01-14,118.8,202,-2.4,▼,-20.0,-2.0,25.0,9022.0
30,2022-01-15,117.8,201,-1.0,▼,-21.0,-0.8,-1.0,9223.0
31,2022-01-16,115.6,212,-2.2,▼,-22.0,-1.9,11.0,9435.0
32,2022-01-17,113.9,173,-1.7,▼,-23.0,-1.5,-39.0,9608.0
33,2022-01-18,112.8,197,-1.1,▼,-24.0,-1.0,24.0,9805.0
34,2022-01-19,112.8,155,0.0,-,-24.0,0.0,-42.0,9960.0
35,2022-01-20,112.4,153,-0.4,▼,-25.0,-0.4,-2.0,10113.0
36,2022-01-21,112.9,158,0.5,▲,-24.0,0.4,5.0,10271.0
37,2022-01-22,112.9,199,0.0,-,-24.0,0.0,41.0,10470.0
38,2022-01-23,112.5,201,-0.4,▼,-25.0,-0.4,2.0,10671.0
