,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,99.5,18,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,99.6,33,0.1,▲,1.0,0.1,15.0,33.0
2,2020-01-15,100.1,35,0.5,▲,2.0,0.5,2.0,68.0
3,2020-01-16,100.3,30,0.2,▲,3.0,0.2,-5.0,98.0
4,2020-01-17,101.4,22,1.1,▲,4.0,1.1,-8.0,120.0
5,2020-01-18,102.6,38,1.2,▲,5.0,1.2,16.0,158.0
6,2020-01-19,103.6,37,1.0,▲,6.0,1.0,-1.0,195.0
7,2020-01-20,104.6,26,1.0,▲,7.0,1.0,-11.0,221.0
8,2020-01-21,105.6,15,1.0,▲,8.0,1.0,-11.0,236.0
9,2020-01-22,105.5,40,-0.1,▼,7.0,-0.1,25.0,276.0
10,2020-01-23,106.3,27,0.8,▲,8.0,0.8,-13.0,303.0
11,2020-01-24,107.3,37,1.0,▲,9.0,0.9,10.0,340.0
12,2020-01-25,107.8,35,0.5,▲,10.0,0.5,-2.0,375.0
13,2020-01-26,108.8,29,1.0,▲,11.0,0.9,-6.0,404.0
14,2020-01-27,110.8,23,2.0,▲,12.0,1.8,-6.0,427.0
15,2020-01-28,110.9,42,0.1,▲,13.0,0.1,19.0,469.0
16,2020-01-29,111.4,29,0.5,▲,14.0,0.5,-13.0,498.0
17,2020-01-30,111.9,25,0.5,▲,15.0,0.4,-4.0,523.0
18,2020-01-31,111.9,25,0.0,-,15.0,0.0,0.0,548.0
19,2020-02-01,112.4,29,0.5,▲,16.0,0.4,4.0,577.0
20,2020-02-02,112.9,33,0.5,▲,17.0,0.4,4.0,610.0
21,2020-02-03,112.3,40,-0.6,▼,16.0,-0.5,7.0,650.0
22,2020-02-04,111.8,26,-0.5,▼,15.0,-0.4,-14.0,676.0
23,2020-02-05,111.8,30,0.0,-,15.0,0.0,4.0,706.0
24,2020-02-06,110.9,23,-0.9,▼,14.0,-0.8,-7.0,729.0
25,2020-02-07,110.9,28,0.0,-,14.0,0.0,5.0,757.0
26,2020-02-08,110.7,23,-0.2,▼,13.0,-0.2,-5.0,780.0
27,2020-02-09,110.5,28,-0.2,▼,12.0,-0.2,5.0,808.0
28,2020-02-10,110.5,24,0.0,-,12.0,0.0,-4.0,832.0
29,2020-02-11,110.0,18,-0.5,▼,11.0,-0.5,-6.0,850.0
30,2020-02-12,111.0,26,1.0,▲,12.0,0.9,8.0,876.0
31,2020-02-13,113.8,20,2.8,▲,13.0,2.5,-6.0,896.0
32,2020-02-14,113.9,20,0.1,▲,14.0,0.1,0.0,916.0
33,2020-02-15,111.8,49,-2.1,▼,13.0,-1.8,29.0,965.0
34,2020-02-16,110.2,44,-1.6,▼,12.0,-1.4,-5.0,1009.0
35,2020-02-17,109.1,30,-1.1,▼,11.0,-1.0,-14.0,1039.0
36,2020-02-18,106.1,33,-3.0,▼,10.0,-2.7,3.0,1072.0
37,2020-02-19,107.0,17,0.9,▲,11.0,0.8,-16.0,1089.0
38,2020-02-20,108.6,22,1.6,▲,12.0,1.5,5.0,1111.0
39,2020-02-21,110.1,29,1.5,▲,13.0,1.4,7.0,1140.0
40,2020-02-22,108.7,40,-1.4,▼,12.0,-1.3,11.0,1180.0
41,2020-02-23,109.2,16,0.5,▲,13.0,0.5,-24.0,1196.0
42,2020-02-24,108.4,27,-0.8,▼,12.0,-0.7,11.0,1223.0
43,2020-02-25,109.9,21,1.5,▲,13.0,1.4,-6.0,1244.0
44,2020-02-26,110.5,17,0.6,▲,14.0,0.5,-4.0,1261.0
45,2020-02-27,112.0,27,1.5,▲,15.0,1.4,10.0,1288.0
46,2020-02-28,112.0,24,0.0,-,15.0,0.0,-3.0,1312.0
47,2020-02-29,113.0,34,1.0,▲,16.0,0.9,10.0,1346.0
48,2020-03-01,111.6,27,-1.4,▼,15.0,-1.2,-7.0,1373.0
49,2020-03-02,112.0,25,0.4,▲,16.0,0.4,-2.0,1398.0
50,2020-03-03,111.0,20,-1.0,▼,15.0,-0.9,-5.0,1418.0
51,2020-03-04,112.9,19,1.9,▲,16.0,1.7,-1.0,1437.0
52,2020-03-05,113.9,19,1.0,▲,17.0,0.9,0.0,1456.0
53,2020-03-06,130.8,50,16.9,▲,18.0,14.8,31.0,1506.0
54,2020-03-07,131.9,54,1.1,▲,19.0,0.8,4.0,1560.0
55,2020-03-08,134.7,52,2.8,▲,20.0,2.1,-2.0,1612.0
56,2020-03-09,134.8,29,0.1,▲,21.0,0.1,-23.0,1641.0
57,2020-03-10,134.7,37,-0.1,▼,20.0,-0.1,8.0,1678.0
58,2020-03-11,120.0,33,-14.7,▼,19.0,-10.9,-4.0,1711.0
59,2020-03-12,120.0,37,0.0,-,19.0,0.0,4.0,1748.0
60,2020-03-13,119.7,48,-0.3,▼,18.0,-0.2,11.0,1796.0
61,2020-03-14,119.7,45,0.0,-,18.0,0.0,-3.0,1841.0
62,2020-03-15,118.8,43,-0.9,▼,17.0,-0.8,-2.0,1884.0
63,2020-03-16,119.2,34,0.4,▲,18.0,0.3,-9.0,1918.0
64,2020-03-17,119.1,43,-0.1,▼,17.0,-0.1,9.0,1961.0
65,2020-03-18,119.1,41,0.0,-,17.0,0.0,-2.0,2002.0
66,2020-03-19,118.6,37,-0.5,▼,16.0,-0.4,-4.0,2039.0
67,2020-03-20,119.0,45,0.4,▲,17.0,0.3,8.0,2084.0
68,2020-03-21,118.8,44,-0.2,▼,16.0,-0.2,-1.0,2128.0
69,2020-03-22,118.9,50,0.1,▲,17.0,0.1,6.0,2178.0
70,2020-03-23,118.7,34,-0.2,▼,16.0,-0.2,-16.0,2212.0
71,2020-03-24,119.5,35,0.8,▲,17.0,0.7,1.0,2247.0
72,2020-03-25,120.1,21,0.6,▲,18.0,0.5,-14.0,2268.0
73,2020-03-26,120.1,43,0.0,-,18.0,0.0,22.0,2311.0
74,2020-03-27,120.1,37,0.0,-,18.0,0.0,-6.0,2348.0
75,2020-03-28,120.3,44,0.2,▲,19.0,0.2,7.0,2392.0
76,2020-03-29,119.0,55,-1.3,▼,18.0,-1.1,11.0,2447.0
77,2020-03-30,117.1,46,-1.9,▼,17.0,-1.6,-9.0,2493.0
78,2020-03-31,117.0,52,-0.1,▼,16.0,-0.1,6.0,2545.0
79,2020-04-01,117.0,43,0.0,-,16.0,0.0,-9.0,2588.0
80,2020-04-02,116.9,46,-0.1,▼,15.0,-0.1,3.0,2634.0
81,2020-04-03,117.9,54,1.0,▲,16.0,0.9,8.0,2688.0
82,2020-04-04,119.8,50,1.9,▲,17.0,1.6,-4.0,2738.0
83,2020-04-05,119.6,32,-0.2,▼,16.0,-0.2,-18.0,2770.0
84,2020-04-06,119.6,45,0.0,-,16.0,0.0,13.0,2815.0
85,2020-04-07,119.7,40,0.1,▲,17.0,0.1,-5.0,2855.0
86,2020-04-08,118.6,41,-1.1,▼,16.0,-0.9,1.0,2896.0
87,2020-04-09,118.6,50,0.0,-,16.0,0.0,9.0,2946.0
88,2020-04-10,118.4,42,-0.2,▼,15.0,-0.2,-8.0,2988.0
89,2020-04-11,118.4,62,0.0,-,15.0,0.0,20.0,3050.0
90,2020-04-12,118.4,53,0.0,-,15.0,0.0,-9.0,3103.0
91,2020-04-13,119.5,44,1.1,▲,16.0,0.9,-9.0,3147.0
92,2020-04-14,119.0,55,-0.5,▼,15.0,-0.4,11.0,3202.0
93,2020-04-15,120.9,42,1.9,▲,16.0,1.6,-13.0,3244.0
94,2020-04-16,121.4,50,0.5,▲,17.0,0.4,8.0,3294.0
95,2020-04-17,123.1,32,1.7,▲,18.0,1.4,-18.0,3326.0
96,2020-04-18,123.5,42,0.4,▲,19.0,0.3,10.0,3368.0
97,2020-04-19,124.0,53,0.5,▲,20.0,0.4,11.0,3421.0
98,2020-04-20,123.1,33,-0.9,▼,19.0,-0.7,-20.0,3454.0
99,2020-04-21,123.1,38,0.0,-,19.0,0.0,5.0,3492.0
100,2020-04-22,122.9,28,-0.2,▼,18.0,-0.2,-10.0,3520.0
101,2020-04-23,122.5,36,-0.4,▼,17.0,-0.3,8.0,3556.0
102,2020-04-24,123.3,58,0.8,▲,18.0,0.7,22.0,3614.0
103,2020-04-25,124.2,52,0.9,▲,19.0,0.7,-6.0,3666.0
104,2020-04-26,125.5,49,1.3,▲,20.0,1.0,-3.0,3715.0
105,2020-04-27,125.4,49,-0.1,▼,19.0,-0.1,0.0,3764.0
106,2020-04-28,127.2,48,1.8,▲,20.0,1.4,-1.0,3812.0
107,2020-04-29,127.7,33,0.5,▲,21.0,0.4,-15.0,3845.0
108,2020-04-30,127.5,32,-0.2,▼,20.0,-0.2,-1.0,3877.0
109,2020-05-01,126.7,37,-0.8,▼,19.0,-0.6,5.0,3914.0
110,2020-05-02,125.3,45,-1.4,▼,18.0,-1.1,8.0,3959.0
111,2020-05-03,124.4,47,-0.9,▼,17.0,-0.7,2.0,4006.0
112,2020-05-04,124.0,31,-0.4,▼,16.0,-0.3,-16.0,4037.0
113,2020-05-05,123.7,39,-0.3,▼,15.0,-0.2,8.0,4076.0
114,2020-05-06,123.2,45,-0.5,▼,14.0,-0.4,6.0,4121.0
115,2020-05-07,124.2,40,1.0,▲,15.0,0.8,-5.0,4161.0
116,2020-05-08,123.3,35,-0.9,▼,14.0,-0.7,-5.0,4196.0
117,2020-05-09,122.9,55,-0.4,▼,13.0,-0.3,20.0,4251.0
118,2020-05-10,121.6,51,-1.3,▼,12.0,-1.1,-4.0,4302.0
119,2020-05-11,121.1,43,-0.5,▼,11.0,-0.4,-8.0,4345.0
120,2020-05-12,120.6,45,-0.5,▼,10.0,-0.4,2.0,4390.0
121,2020-05-13,121.1,53,0.5,▲,11.0,0.4,8.0,4443.0
122,2020-05-14,121.6,50,0.5,▲,12.0,0.4,-3.0,4493.0
123,2020-05-15,122.5,47,0.9,▲,13.0,0.7,-3.0,4540.0
124,2020-05-16,123.9,46,1.4,▲,14.0,1.1,-1.0,4586.0
125,2020-05-17,124.7,48,0.8,▲,15.0,0.6,2.0,4634.0
126,2020-05-18,123.7,38,-1.0,▼,14.0,-0.8,-10.0,4672.0
127,2020-05-19,123.7,38,0.0,-,14.0,0.0,0.0,4710.0
128,2020-05-20,123.2,47,-0.5,▼,13.0,-0.4,9.0,4757.0
129,2020-05-21,122.7,32,-0.5,▼,12.0,-0.4,-15.0,4789.0
130,2020-05-22,122.3,27,-0.4,▼,11.0,-0.3,-5.0,4816.0
131,2020-05-23,122.7,53,0.4,▲,12.0,0.3,26.0,4869.0
132,2020-05-24,122.6,32,-0.1,▼,11.0,-0.1,-21.0,4901.0
133,2020-05-25,123.0,61,0.4,▲,12.0,0.3,29.0,4962.0
134,2020-05-26,123.1,54,0.1,▲,13.0,0.1,-7.0,5016.0
135,2020-05-27,122.2,34,-0.9,▼,12.0,-0.7,-20.0,5050.0
