,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,48.3,61,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,48.3,75,0.0,-,0.0,0.0,14.0,75.0
2,2020-01-15,48.2,49,-0.1,▼,-1.0,-0.2,-26.0,124.0
3,2020-01-16,48.0,46,-0.2,▼,-2.0,-0.4,-3.0,170.0
4,2020-01-17,47.7,79,-0.3,▼,-3.0,-0.6,33.0,249.0
5,2020-01-18,47.8,64,0.1,▲,-2.0,0.2,-15.0,313.0
6,2020-01-19,47.7,61,-0.1,▼,-3.0,-0.2,-3.0,374.0
7,2020-01-20,48.0,76,0.3,▲,-2.0,0.6,15.0,450.0
8,2020-01-21,48.3,33,0.3,▲,-1.0,0.6,-43.0,483.0
9,2020-01-22,49.3,65,1.0,▲,0.0,2.1,32.0,548.0
10,2020-01-23,49.4,44,0.1,▲,1.0,0.2,-21.0,592.0
11,2020-01-24,49.3,63,-0.1,▼,0.0,-0.2,19.0,655.0
12,2020-01-25,49.3,75,0.0,-,0.0,0.0,12.0,730.0
13,2020-01-26,49.4,62,0.1,▲,1.0,0.2,-13.0,792.0
14,2020-01-27,48.7,52,-0.7,▼,0.0,-1.4,-10.0,844.0
15,2020-01-28,48.3,82,-0.4,▼,-1.0,-0.8,30.0,926.0
16,2020-01-29,48.7,70,0.4,▲,0.0,0.8,-12.0,996.0
17,2020-01-30,48.7,87,0.0,-,0.0,0.0,17.0,1083.0
18,2020-01-31,48.6,80,-0.1,▼,-1.0,-0.2,-7.0,1163.0
19,2020-02-01,48.2,104,-0.4,▼,-2.0,-0.8,24.0,1267.0
20,2020-02-02,47.7,119,-0.5,▼,-3.0,-1.0,15.0,1386.0
21,2020-02-03,47.7,89,0.0,-,-3.0,0.0,-30.0,1475.0
22,2020-02-04,47.4,53,-0.3,▼,-4.0,-0.6,-36.0,1528.0
23,2020-02-05,47.6,81,0.2,▲,-3.0,0.4,28.0,1609.0
24,2020-02-06,48.7,65,1.1,▲,-2.0,2.3,-16.0,1674.0
25,2020-02-07,49.7,44,1.0,▲,-1.0,2.1,-21.0,1718.0
