,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,54.6,4,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,54.3,4,-0.3,▼,-1.0,-0.5,0.0,4.0
2,2020-01-15,54.4,14,0.1,▲,0.0,0.2,10.0,18.0
3,2020-01-16,54.0,8,-0.4,▼,-1.0,-0.7,-6.0,26.0
4,2020-01-17,54.5,6,0.5,▲,0.0,0.9,-2.0,32.0
5,2020-01-18,54.0,8,-0.5,▼,-1.0,-0.9,2.0,40.0
6,2020-01-19,53.9,5,-0.1,▼,-2.0,-0.2,-3.0,45.0
7,2020-01-20,53.4,8,-0.5,▼,-3.0,-0.9,3.0,53.0
8,2020-01-21,54.8,5,1.4,▲,-2.0,2.6,-3.0,58.0
9,2020-01-22,55.7,9,0.9,▲,-1.0,1.6,4.0,67.0
10,2020-01-23,57.8,9,2.1,▲,0.0,3.8,0.0,76.0
11,2020-01-25,59.2,8,1.4,▲,1.0,2.4,-1.0,84.0
12,2020-01-26,59.7,5,0.5,▲,2.0,0.8,-3.0,89.0
13,2020-01-27,59.6,7,-0.1,▼,1.0,-0.2,2.0,96.0
14,2020-01-28,58.7,7,-0.9,▼,0.0,-1.5,0.0,103.0
15,2020-01-29,59.7,5,1.0,▲,1.0,1.7,-2.0,108.0
16,2020-01-30,60.8,14,1.1,▲,2.0,1.8,9.0,122.0
17,2020-01-31,61.7,5,0.9,▲,3.0,1.5,-9.0,127.0
18,2020-02-01,61.1,10,-0.6,▼,2.0,-1.0,5.0,137.0
19,2020-02-02,62.1,9,1.0,▲,3.0,1.6,-1.0,146.0
20,2020-02-03,59.6,9,-2.5,▼,2.0,-4.0,0.0,155.0
21,2020-02-04,59.0,6,-0.6,▼,1.0,-1.0,-3.0,161.0
22,2020-02-05,59.5,2,0.5,▲,2.0,0.8,-4.0,163.0
23,2020-02-06,61.3,9,1.8,▲,3.0,3.0,7.0,172.0
24,2020-02-07,59.8,7,-1.5,▼,2.0,-2.4,-2.0,179.0
25,2020-02-08,60.3,11,0.5,▲,3.0,0.8,4.0,190.0
26,2020-02-09,59.4,7,-0.9,▼,2.0,-1.5,-4.0,197.0
27,2020-02-10,58.5,13,-0.9,▼,1.0,-1.5,6.0,210.0
28,2020-02-11,57.0,3,-1.5,▼,0.0,-2.6,-10.0,213.0
29,2020-02-12,57.5,3,0.5,▲,1.0,0.9,0.0,216.0
30,2020-02-13,58.0,12,0.5,▲,2.0,0.9,9.0,228.0
31,2020-02-14,58.0,5,0.0,-,2.0,0.0,-7.0,233.0
32,2020-02-15,57.0,12,-1.0,▼,1.0,-1.7,7.0,245.0
33,2020-02-16,57.0,17,0.0,-,1.0,0.0,5.0,262.0
34,2020-02-17,57.4,9,0.4,▲,2.0,0.7,-8.0,271.0
35,2020-02-18,57.2,9,-0.2,▼,1.0,-0.3,0.0,280.0
36,2020-02-19,57.7,13,0.5,▲,2.0,0.9,4.0,293.0
37,2020-02-20,60.7,12,3.0,▲,3.0,5.2,-1.0,305.0
38,2020-02-21,60.7,10,0.0,-,3.0,0.0,-2.0,315.0
39,2020-02-22,60.0,10,-0.7,▼,2.0,-1.2,0.0,325.0
40,2020-02-23,61.5,10,1.5,▲,3.0,2.5,0.0,335.0
41,2020-02-24,61.4,8,-0.1,▼,2.0,-0.2,-2.0,343.0
42,2020-02-25,59.9,7,-1.5,▼,1.0,-2.4,-1.0,350.0
43,2020-02-26,61.8,3,1.9,▲,2.0,3.2,-4.0,353.0
44,2020-02-27,63.8,3,2.0,▲,3.0,3.2,0.0,356.0
45,2020-02-28,62.5,10,-1.3,▼,2.0,-2.0,7.0,366.0
46,2020-02-29,60.6,15,-1.9,▼,1.0,-3.0,5.0,381.0
47,2020-03-01,58.1,14,-2.5,▼,0.0,-4.1,-1.0,395.0
48,2020-03-02,55.2,12,-2.9,▼,-1.0,-5.0,-2.0,407.0
49,2020-03-03,52.5,13,-2.7,▼,-2.0,-4.9,1.0,420.0
