,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-10-27,260.9,5,0.0,-,0.0,0.0,0.0,0.0
1,2021-10-28,264.5,6,3.6,▲,1.0,1.4,1.0,6.0
2,2021-10-29,266.8,5,2.3,▲,2.0,0.9,-1.0,11.0
3,2021-10-30,265.3,6,-1.5,▼,1.0,-0.6,1.0,17.0
4,2021-10-31,264.3,8,-1.0,▼,0.0,-0.4,2.0,25.0
5,2021-11-01,269.8,5,5.5,▲,1.0,2.1,-3.0,30.0
6,2021-11-02,267.5,6,-2.3,▼,0.0,-0.9,1.0,36.0
7,2021-11-03,266.8,11,-0.7,▼,-1.0,-0.3,5.0,47.0
8,2021-11-04,265.3,10,-1.5,▼,-2.0,-0.6,-1.0,57.0
9,2021-11-05,263.2,14,-2.1,▼,-3.0,-0.8,4.0,71.0
10,2021-11-06,259.2,20,-4.0,▼,-4.0,-1.5,6.0,91.0
11,2021-11-07,261.5,11,2.3,▲,-3.0,0.9,-9.0,102.0
12,2021-11-08,257.7,7,-3.8,▼,-4.0,-1.5,-4.0,109.0
13,2021-11-09,259.7,8,2.0,▲,-3.0,0.8,1.0,117.0
14,2021-11-10,258.2,9,-1.5,▼,-4.0,-0.6,1.0,126.0
15,2021-11-11,254.2,7,-4.0,▼,-5.0,-1.5,-2.0,133.0
16,2021-11-12,239.4,8,-14.8,▼,-6.0,-5.8,1.0,141.0
17,2021-11-13,209.6,6,-29.8,▼,-7.0,-12.4,-2.0,147.0
18,2021-11-14,197.6,8,-12.0,▼,-8.0,-5.7,2.0,155.0
19,2021-11-15,188.2,4,-9.4,▼,-9.0,-4.8,-4.0,159.0
20,2021-11-16,183.2,6,-5.0,▼,-10.0,-2.7,2.0,165.0
21,2021-11-17,182.7,8,-0.5,▼,-11.0,-0.3,2.0,173.0
22,2021-11-18,210.0,4,27.3,▲,-10.0,14.9,-4.0,177.0
23,2021-11-19,209.0,1,-1.0,▼,-11.0,-0.5,-3.0,178.0
24,2021-11-20,213.0,8,4.0,▲,-10.0,1.9,7.0,186.0
25,2021-11-21,217.5,6,4.5,▲,-9.0,2.1,-2.0,192.0
