,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,7.9,10,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,8.0,10,0.1,▲,1.0,1.3,0.0,10.0
2,2020-01-15,8.2,9,0.2,▲,2.0,2.5,-1.0,19.0
3,2020-01-16,8.4,3,0.2,▲,3.0,2.4,-6.0,22.0
4,2020-01-17,8.4,12,0.0,-,3.0,0.0,9.0,34.0
5,2020-01-18,8.4,13,0.0,-,3.0,0.0,1.0,47.0
6,2020-01-19,8.3,10,-0.1,▼,2.0,-1.2,-3.0,57.0
7,2020-01-20,8.3,3,0.0,-,2.0,0.0,-7.0,60.0
8,2020-01-21,8.0,7,-0.3,▼,1.0,-3.6,4.0,67.0
9,2020-01-22,7.8,4,-0.2,▼,0.0,-2.5,-3.0,71.0
10,2020-01-23,7.8,6,0.0,-,0.0,0.0,2.0,77.0
11,2020-01-24,7.4,4,-0.4,▼,-1.0,-5.1,-2.0,81.0
12,2020-01-25,7.7,7,0.3,▲,0.0,4.1,3.0,88.0
13,2020-01-26,7.9,8,0.2,▲,1.0,2.6,1.0,96.0
14,2020-01-27,8.3,7,0.4,▲,2.0,5.1,-1.0,103.0
15,2020-01-28,8.1,6,-0.2,▼,1.0,-2.4,-1.0,109.0
16,2020-01-29,8.5,9,0.4,▲,2.0,4.9,3.0,118.0
17,2020-01-30,8.0,8,-0.5,▼,1.0,-5.9,-1.0,126.0
18,2020-01-31,8.1,12,0.1,▲,2.0,1.2,4.0,138.0
19,2020-02-01,8.2,5,0.1,▲,3.0,1.2,-7.0,143.0
20,2020-02-02,8.5,18,0.3,▲,4.0,3.7,13.0,161.0
21,2020-02-03,8.7,12,0.2,▲,5.0,2.4,-6.0,173.0
22,2020-02-04,8.9,13,0.2,▲,6.0,2.3,1.0,186.0
23,2020-02-05,8.9,2,0.0,-,6.0,0.0,-11.0,188.0
24,2020-02-06,9.0,3,0.1,▲,7.0,1.1,1.0,191.0
25,2020-02-07,8.9,5,-0.1,▼,6.0,-1.1,2.0,196.0
26,2020-02-08,8.5,8,-0.4,▼,5.0,-4.5,3.0,204.0
27,2020-02-09,8.6,5,0.1,▲,6.0,1.2,-3.0,209.0
28,2020-02-10,8.7,3,0.1,▲,7.0,1.2,-2.0,212.0
29,2020-02-11,8.9,11,0.2,▲,8.0,2.3,8.0,223.0
30,2020-02-12,8.9,8,0.0,-,8.0,0.0,-3.0,231.0
31,2020-02-13,9.2,11,0.3,▲,9.0,3.4,3.0,242.0
32,2020-02-14,10.0,53,0.8,▲,10.0,8.7,42.0,295.0
33,2020-02-15,11.7,76,1.7,▲,11.0,17.0,23.0,371.0
34,2020-02-16,11.6,17,-0.1,▼,10.0,-0.9,-59.0,388.0
35,2020-02-17,11.6,5,0.0,-,10.0,0.0,-12.0,393.0
36,2020-02-18,11.9,6,0.3,▲,11.0,2.6,1.0,399.0
37,2020-02-19,11.0,5,-0.9,▼,10.0,-7.6,-1.0,404.0
38,2020-02-20,9.3,10,-1.7,▼,9.0,-15.5,5.0,414.0
39,2020-02-21,9.2,4,-0.1,▼,8.0,-1.1,-6.0,418.0
40,2020-02-22,9.5,12,0.3,▲,9.0,3.3,8.0,430.0
