,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2022-03-28,,38,0.0,-,0.0,0.0,0.0,0.0
1,2022-03-29,,278,,▲,1.0,,240.0,278.0
2,2022-03-30,,194,,▲,2.0,,-84.0,472.0
3,2022-03-31,,191,,▲,3.0,,-3.0,663.0
4,2022-04-01,165.1,138,,▲,4.0,,-53.0,801.0
5,2022-04-02,138.7,136,-26.4,▼,3.0,-16.0,-2.0,937.0
6,2022-04-03,127.3,121,-11.4,▼,2.0,-8.2,-15.0,1058.0
7,2022-04-04,122.6,127,-4.7,▼,1.0,-3.7,6.0,1185.0
8,2022-04-05,119.2,122,-3.4,▼,0.0,-2.8,-5.0,1307.0
9,2022-04-06,115.4,107,-3.8,▼,-1.0,-3.2,-15.0,1414.0
10,2022-04-07,108.9,113,-6.5,▼,-2.0,-5.6,6.0,1527.0
11,2022-04-08,102.5,101,-6.4,▼,-3.0,-5.9,-12.0,1628.0
12,2022-04-09,102.2,138,-0.3,▼,-4.0,-0.3,37.0,1766.0
13,2022-04-10,104.2,117,2.0,▲,-3.0,2.0,-21.0,1883.0
14,2022-04-11,104.6,87,0.4,▲,-2.0,0.4,-30.0,1970.0
15,2022-04-12,104.6,107,0.0,-,-2.0,0.0,20.0,2077.0
16,2022-04-13,103.5,94,-1.1,▼,-3.0,-1.1,-13.0,2171.0
17,2022-04-14,97.4,100,-6.1,▼,-4.0,-5.9,6.0,2271.0
18,2022-04-15,92.4,69,-5.0,▼,-5.0,-5.1,-31.0,2340.0
19,2022-04-16,90.9,73,-1.5,▼,-6.0,-1.6,4.0,2413.0
20,2022-04-17,89.3,94,-1.6,▼,-7.0,-1.8,21.0,2507.0
21,2022-04-18,87.6,64,-1.7,▼,-8.0,-1.9,-30.0,2571.0
22,2022-04-19,86.2,72,-1.4,▼,-9.0,-1.6,8.0,2643.0
23,2022-04-20,83.7,74,-2.5,▼,-10.0,-2.9,2.0,2717.0
24,2022-04-21,79.9,70,-3.8,▼,-11.0,-4.5,-4.0,2787.0
25,2022-04-22,77.3,63,-2.6,▼,-12.0,-3.3,-7.0,2850.0
26,2022-04-23,75.5,107,-1.8,▼,-13.0,-2.3,44.0,2957.0
27,2022-04-24,74.8,85,-0.7,▼,-14.0,-0.9,-22.0,3042.0
28,2022-04-25,74.3,59,-0.5,▼,-15.0,-0.7,-26.0,3101.0
29,2022-04-26,74.1,77,-0.2,▼,-16.0,-0.3,18.0,3178.0
30,2022-04-27,74.1,71,0.0,-,-16.0,0.0,-6.0,3249.0
31,2022-04-28,75.5,81,1.4,▲,-15.0,1.9,10.0,3330.0
32,2022-04-29,76.6,62,1.1,▲,-14.0,1.5,-19.0,3392.0
33,2022-04-30,77.6,80,1.0,▲,-13.0,1.3,18.0,3472.0
34,2022-05-01,82.0,77,4.4,▲,-12.0,5.7,-3.0,3549.0
35,2022-05-02,85.2,76,3.2,▲,-11.0,3.9,-1.0,3625.0
36,2022-05-03,85.3,67,0.1,▲,-10.0,0.1,-9.0,3692.0
37,2022-05-04,84.5,50,-0.8,▼,-11.0,-0.9,-17.0,3742.0
38,2022-05-05,84.5,70,0.0,-,-11.0,0.0,20.0,3812.0
39,2022-05-06,81.0,77,-3.5,▼,-12.0,-4.1,7.0,3889.0
40,2022-05-07,78.0,50,-3.0,▼,-13.0,-3.7,-27.0,3939.0
41,2022-05-08,76.3,93,-1.7,▼,-14.0,-2.2,43.0,4032.0
42,2022-05-09,74.7,74,-1.6,▼,-15.0,-2.1,-19.0,4106.0
43,2022-05-10,72.7,62,-2.0,▼,-16.0,-2.7,-12.0,4168.0
44,2022-05-11,71.3,43,-1.4,▼,-17.0,-1.9,-19.0,4211.0
45,2022-05-12,70.0,44,-1.3,▼,-18.0,-1.8,1.0,4255.0
46,2022-05-13,69.0,58,-1.0,▼,-19.0,-1.4,14.0,4313.0
47,2022-05-14,68.3,67,-0.7,▼,-20.0,-1.0,9.0,4380.0
48,2022-05-15,67.6,63,-0.7,▼,-21.0,-1.0,-4.0,4443.0
49,2022-05-16,66.5,35,-1.1,▼,-22.0,-1.6,-28.0,4478.0
50,2022-05-17,65.3,55,-1.2,▼,-23.0,-1.8,20.0,4533.0
51,2022-05-18,64.2,35,-1.1,▼,-24.0,-1.7,-20.0,4568.0
52,2022-05-19,62.9,53,-1.3,▼,-25.0,-2.0,18.0,4621.0
53,2022-05-20,61.1,58,-1.8,▼,-26.0,-2.9,5.0,4679.0
54,2022-05-21,60.0,59,-1.1,▼,-27.0,-1.8,1.0,4738.0
55,2022-05-22,58.5,96,-1.5,▼,-28.0,-2.5,37.0,4834.0
