,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-01-13,31.1,15,0.0,-,0.0,0.0
1,2020-01-14,31.6,23,0.5,▲,1.0,1.6
2,2020-01-15,31.4,10,-0.2,▼,0.0,-0.6
3,2020-01-16,31.9,14,0.5,▲,1.0,1.6
4,2020-01-17,32.5,13,0.6,▲,2.0,1.9
5,2020-01-18,32.5,14,0.0,-,2.0,0.0
6,2020-01-19,31.5,21,-1.0,▼,1.0,-3.1
7,2020-01-20,32.2,14,0.7,▲,2.0,2.2
8,2020-01-21,33.6,14,1.4,▲,3.0,4.3
9,2020-01-22,34.5,18,0.9,▲,4.0,2.7
10,2020-01-23,35.2,18,0.7,▲,5.0,2.0
11,2020-01-24,36.6,10,1.4,▲,6.0,4.0
12,2020-01-25,36.0,23,-0.6,▼,5.0,-1.6
13,2020-01-26,34.7,17,-1.3,▼,4.0,-3.6
14,2020-01-27,34.8,15,0.1,▲,5.0,0.3
15,2020-01-28,35.5,14,0.7,▲,6.0,2.0
16,2020-01-29,35.6,8,0.1,▲,7.0,0.3
17,2020-01-30,37.2,17,1.6,▲,8.0,4.5
18,2020-01-31,38.2,16,1.0,▲,9.0,2.7
19,2020-02-01,38.4,24,0.2,▲,10.0,0.5
20,2020-02-02,37.5,23,-0.9,▼,9.0,-2.3
21,2020-02-03,37.5,18,0.0,-,9.0,0.0
22,2020-02-04,36.5,15,-1.0,▼,8.0,-2.7
23,2020-02-05,37.0,20,0.5,▲,9.0,1.4
24,2020-02-06,36.0,6,-1.0,▼,8.0,-2.7
25,2020-02-07,36.5,13,0.5,▲,9.0,1.4
26,2020-02-08,35.5,19,-1.0,▼,8.0,-2.7
27,2020-02-09,36.0,21,0.5,▲,9.0,1.4
28,2020-02-10,35.0,11,-1.0,▼,8.0,-2.8
29,2020-02-11,33.5,13,-1.5,▼,7.0,-4.3
30,2020-02-12,33.5,20,0.0,-,7.0,0.0
31,2020-02-13,35.0,13,1.5,▲,8.0,4.5
32,2020-02-14,35.7,15,0.7,▲,9.0,2.0
33,2020-02-15,35.9,26,0.2,▲,10.0,0.6
34,2020-02-16,36.9,25,1.0,▲,11.0,2.8
35,2020-02-17,37.0,16,0.1,▲,12.0,0.3
36,2020-02-18,36.9,37,-0.1,▼,11.0,-0.3
37,2020-02-19,38.6,16,1.7,▲,12.0,4.6
38,2020-02-20,38.9,24,0.3,▲,13.0,0.8
39,2020-02-21,40.4,18,1.5,▲,14.0,3.9
40,2020-02-22,40.8,16,0.4,▲,15.0,1.0
41,2020-02-23,40.9,31,0.1,▲,16.0,0.2
42,2020-02-24,39.5,17,-1.4,▼,15.0,-3.4
43,2020-02-25,40.5,20,1.0,▲,16.0,2.5
44,2020-02-26,41.4,13,0.9,▲,17.0,2.2
45,2020-02-27,41.4,15,0.0,-,17.0,0.0
46,2020-02-28,42.4,24,1.0,▲,18.0,2.4
47,2020-02-29,42.9,20,0.5,▲,19.0,1.2
48,2020-03-01,42.4,27,-0.5,▼,18.0,-1.2
49,2020-03-02,42.3,18,-0.1,▼,17.0,-0.2
50,2020-03-03,44.1,10,1.8,▲,18.0,4.3
51,2020-03-04,44.8,6,0.7,▲,19.0,1.6
52,2020-03-05,45.3,15,0.5,▲,20.0,1.1
53,2020-03-06,46.8,12,1.5,▲,21.0,3.3
54,2020-03-07,47.3,23,0.5,▲,22.0,1.1
55,2020-03-08,46.9,30,-0.4,▼,21.0,-0.8
56,2020-03-09,47.0,25,0.1,▲,22.0,0.2
57,2020-03-10,47.3,24,0.3,▲,23.0,0.6
58,2020-03-11,47.3,11,0.0,-,23.0,0.0
59,2020-03-12,47.5,16,0.2,▲,24.0,0.4
60,2020-03-13,47.1,20,-0.4,▼,23.0,-0.8
61,2020-03-14,47.3,20,0.2,▲,24.0,0.4
62,2020-03-15,47.0,19,-0.3,▼,23.0,-0.6
63,2020-03-16,46.0,19,-1.0,▼,22.0,-2.1
64,2020-03-17,45.2,20,-0.8,▼,21.0,-1.7
65,2020-03-18,44.3,22,-0.9,▼,20.0,-2.0
66,2020-03-19,42.3,14,-2.0,▼,19.0,-4.5
67,2020-03-20,42.3,23,0.0,-,19.0,0.0
68,2020-03-21,40.8,21,-1.5,▼,18.0,-3.5
69,2020-03-22,40.1,23,-0.7,▼,17.0,-1.7
70,2020-03-23,40.5,9,0.4,▲,18.0,1.0
71,2020-03-24,42.0,15,1.5,▲,19.0,3.7
72,2020-03-25,41.5,10,-0.5,▼,18.0,-1.2
73,2020-03-26,43.0,25,1.5,▲,19.0,3.6
74,2020-03-27,43.1,15,0.1,▲,20.0,0.2
75,2020-03-28,42.6,29,-0.5,▼,19.0,-1.2
76,2020-03-29,41.1,17,-1.5,▼,18.0,-3.5
77,2020-03-30,41.1,17,0.0,-,18.0,0.0
78,2020-03-31,41.1,22,0.0,-,18.0,0.0
79,2020-04-01,41.3,20,0.2,▲,19.0,0.5
80,2020-04-02,41.3,35,0.0,-,19.0,0.0
81,2020-04-03,42.2,21,0.9,▲,20.0,2.2
82,2020-04-04,42.6,23,0.4,▲,21.0,0.9
83,2020-04-05,42.6,39,0.0,-,21.0,0.0
84,2020-04-06,42.5,16,-0.1,▼,20.0,-0.2
85,2020-04-07,42.5,16,0.0,-,20.0,0.0
86,2020-04-08,41.1,19,-1.4,▼,19.0,-3.3
87,2020-04-09,41.1,22,0.0,-,19.0,0.0
88,2020-04-10,41.3,26,0.2,▲,20.0,0.5
89,2020-04-11,41.1,23,-0.2,▼,19.0,-0.5
90,2020-04-12,41.5,21,0.4,▲,20.0,1.0
91,2020-04-13,41.5,27,0.0,-,20.0,0.0
92,2020-04-14,41.6,16,0.1,▲,21.0,0.2
93,2020-04-15,40.5,18,-1.1,▼,20.0,-2.6
94,2020-04-16,40.5,16,0.0,-,20.0,0.0
95,2020-04-17,39.6,23,-0.9,▼,19.0,-2.2
96,2020-04-18,41.3,15,1.7,▲,20.0,4.3
97,2020-04-19,40.1,10,-1.2,▼,19.0,-2.9
98,2020-04-20,40.7,16,0.6,▲,20.0,1.5
99,2020-04-21,39.6,8,-1.1,▼,19.0,-2.7
100,2020-04-22,40.6,18,1.0,▲,20.0,2.5
101,2020-04-23,39.8,16,-0.8,▼,19.0,-2.0
102,2020-04-24,40.0,25,0.2,▲,20.0,0.5
103,2020-04-25,39.7,13,-0.3,▼,19.0,-0.8
104,2020-04-26,40.3,15,0.6,▲,20.0,1.5
105,2020-04-27,38.3,25,-2.0,▼,19.0,-5.0
106,2020-04-28,37.9,11,-0.4,▼,18.0,-1.0
107,2020-04-29,37.7,13,-0.2,▼,17.0,-0.5
108,2020-04-30,37.6,10,-0.1,▼,16.0,-0.3
109,2020-05-01,41.1,13,3.5,▲,17.0,9.3
110,2020-05-02,40.6,23,-0.5,▼,16.0,-1.2
111,2020-05-03,40.3,14,-0.3,▼,15.0,-0.7
112,2020-05-04,40.0,11,-0.3,▼,14.0,-0.7
113,2020-05-05,39.2,19,-0.8,▼,13.0,-2.0
114,2020-05-06,36.1,8,-3.1,▼,12.0,-7.9
115,2020-05-07,38.1,15,2.0,▲,13.0,5.5
116,2020-05-08,38.2,14,0.1,▲,14.0,0.3
117,2020-05-09,37.2,25,-1.0,▼,13.0,-2.6
118,2020-05-10,37.7,15,0.5,▲,14.0,1.3
119,2020-05-11,37.6,17,-0.1,▼,13.0,-0.3
120,2020-05-12,37.6,21,0.0,-,13.0,0.0
121,2020-05-13,37.8,20,0.2,▲,14.0,0.5
122,2020-05-14,39.2,24,1.4,▲,15.0,3.7
123,2020-05-15,39.7,25,0.5,▲,16.0,1.3
124,2020-05-16,40.2,19,0.5,▲,17.0,1.3
125,2020-05-17,40.7,22,0.5,▲,18.0,1.2
126,2020-05-18,40.7,19,0.0,-,18.0,0.0
127,2020-05-19,40.7,24,0.0,-,18.0,0.0
128,2020-05-20,40.7,13,0.0,-,18.0,0.0
129,2020-05-21,39.0,15,-1.7,▼,17.0,-4.2
130,2020-05-22,38.3,12,-0.7,▼,16.0,-1.8
