,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-02-11,22.9,2,0.0,-,0.0,0.0,0.0,0.0
1,2020-02-12,23.5,4,0.6,▲,1.0,2.6,2.0,4.0
2,2020-02-13,24.3,3,0.8,▲,2.0,3.4,-1.0,7.0
3,2020-02-14,24.7,3,0.4,▲,3.0,1.6,0.0,10.0
4,2020-02-15,24.6,3,-0.1,▼,2.0,-0.4,0.0,13.0
5,2020-02-16,23.1,11,-1.5,▼,1.0,-6.1,8.0,24.0
6,2020-02-17,22.8,2,-0.3,▼,0.0,-1.3,-9.0,26.0
7,2020-02-18,21.5,1,-1.3,▼,-1.0,-5.7,-1.0,27.0
8,2020-02-19,22.0,4,0.5,▲,0.0,2.3,3.0,31.0
9,2020-02-20,24.1,6,2.1,▲,1.0,9.5,2.0,37.0
10,2020-02-21,24.1,2,0.0,-,1.0,0.0,-4.0,39.0
11,2020-02-22,24.9,7,0.8,▲,2.0,3.3,5.0,46.0
12,2020-02-23,25.4,5,0.5,▲,3.0,2.0,-2.0,51.0
13,2020-02-24,25.8,3,0.4,▲,4.0,1.6,-2.0,54.0
14,2020-02-25,25.3,5,-0.5,▼,3.0,-1.9,2.0,59.0
15,2020-02-26,26.2,7,0.9,▲,4.0,3.6,2.0,66.0
16,2020-02-27,25.7,3,-0.5,▼,3.0,-1.9,-4.0,69.0
17,2020-02-28,26.8,1,1.1,▲,4.0,4.3,-2.0,70.0
18,2020-02-29,26.0,2,-0.8,▼,3.0,-3.0,1.0,72.0
19,2020-03-01,25.5,8,-0.5,▼,2.0,-1.9,6.0,80.0
20,2020-03-02,26.6,1,1.1,▲,3.0,4.3,-7.0,81.0
21,2020-03-03,26.1,2,-0.5,▼,2.0,-1.9,1.0,83.0
22,2020-03-04,25.5,1,-0.6,▼,1.0,-2.3,-1.0,84.0
23,2020-03-05,25.5,3,0.0,-,1.0,0.0,2.0,87.0
24,2020-03-06,25.0,5,-0.5,▼,0.0,-2.0,2.0,92.0
25,2020-03-07,23.2,8,-1.8,▼,-1.0,-7.2,3.0,100.0
26,2020-03-08,22.7,8,-0.5,▼,-2.0,-2.2,0.0,108.0
27,2020-03-09,24.6,2,1.9,▲,-1.0,8.4,-6.0,110.0
28,2020-03-10,23.6,7,-1.0,▼,-2.0,-4.1,5.0,117.0
29,2020-03-11,25.4,3,1.8,▲,-1.0,7.6,-4.0,120.0
30,2020-03-12,27.1,3,1.7,▲,0.0,6.7,0.0,123.0
31,2020-03-13,29.0,3,1.9,▲,1.0,7.0,0.0,126.0
32,2020-03-14,27.1,8,-1.9,▼,0.0,-6.6,5.0,134.0
33,2020-03-15,28.6,4,1.5,▲,1.0,5.5,-4.0,138.0
34,2020-03-16,27.6,6,-1.0,▼,0.0,-3.5,2.0,144.0
35,2020-03-17,28.2,4,0.6,▲,1.0,2.2,-2.0,148.0
36,2020-03-18,26.8,4,-1.4,▼,0.0,-5.0,0.0,152.0
37,2020-03-19,27.8,3,1.0,▲,1.0,3.7,-1.0,155.0
