,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,11.1,5,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,11.1,9,0.0,-,0.0,0.0,4.0,9.0
2,2020-01-15,10.9,6,-0.2,▼,-1.0,-1.8,-3.0,15.0
3,2020-01-16,10.7,4,-0.2,▼,-2.0,-1.8,-2.0,19.0
4,2020-01-17,10.1,6,-0.6,▼,-3.0,-5.6,2.0,25.0
5,2020-01-18,10.2,8,0.1,▲,-2.0,1.0,2.0,33.0
6,2020-01-19,10.0,10,-0.2,▼,-3.0,-2.0,2.0,43.0
7,2020-01-20,10.1,5,0.1,▲,-2.0,1.0,-5.0,48.0
8,2020-01-21,11.5,10,1.4,▲,-1.0,13.9,5.0,58.0
9,2020-01-22,11.9,6,0.4,▲,0.0,3.5,-4.0,64.0
10,2020-01-23,11.8,5,-0.1,▼,-1.0,-0.8,-1.0,69.0
11,2020-01-24,12.0,13,0.2,▲,0.0,1.7,8.0,82.0
12,2020-01-25,11.9,7,-0.1,▼,-1.0,-0.8,-6.0,89.0
13,2020-01-26,10.9,12,-1.0,▼,-2.0,-8.4,5.0,101.0
14,2020-01-27,10.9,12,0.0,-,-2.0,0.0,0.0,113.0
15,2020-01-28,11.2,2,0.3,▲,-1.0,2.8,-10.0,115.0
16,2020-01-29,11.0,6,-0.2,▼,-2.0,-1.8,4.0,121.0
17,2020-01-30,11.2,9,0.2,▲,-1.0,1.8,3.0,130.0
18,2020-01-31,10.8,9,-0.4,▼,-2.0,-3.6,0.0,139.0
19,2020-02-01,10.6,11,-0.2,▼,-3.0,-1.9,2.0,150.0
20,2020-02-02,10.6,9,0.0,-,-3.0,0.0,-2.0,159.0
21,2020-02-03,10.4,5,-0.2,▼,-4.0,-1.9,-4.0,164.0
22,2020-02-04,10.3,9,-0.1,▼,-5.0,-1.0,4.0,173.0
23,2020-02-05,11.3,7,1.0,▲,-4.0,9.7,-2.0,180.0
24,2020-02-06,11.0,8,-0.3,▼,-5.0,-2.7,1.0,188.0
25,2020-02-07,11.8,6,0.8,▲,-4.0,7.3,-2.0,194.0
26,2020-02-08,11.9,11,0.1,▲,-3.0,0.8,5.0,205.0
27,2020-02-09,12.3,8,0.4,▲,-2.0,3.4,-3.0,213.0
28,2020-02-10,11.7,13,-0.6,▼,-3.0,-4.9,5.0,226.0
29,2020-02-11,12.9,7,1.2,▲,-2.0,10.3,-6.0,233.0
30,2020-02-12,12.7,3,-0.2,▼,-3.0,-1.6,-4.0,236.0
31,2020-02-13,12.4,8,-0.3,▼,-4.0,-2.4,5.0,244.0
32,2020-02-14,12.8,24,0.4,▲,-3.0,3.2,16.0,268.0
33,2020-02-15,13.8,19,1.0,▲,-2.0,7.8,-5.0,287.0
34,2020-02-16,13.8,13,0.0,-,-2.0,0.0,-6.0,300.0
35,2020-02-17,13.8,6,0.0,-,-2.0,0.0,-7.0,306.0
36,2020-02-18,14.7,8,0.9,▲,-1.0,6.5,2.0,314.0
37,2020-02-19,14.3,11,-0.4,▼,-2.0,-2.7,3.0,325.0
38,2020-02-20,13.6,8,-0.7,▼,-3.0,-4.9,-3.0,333.0
39,2020-02-21,13.4,9,-0.2,▼,-4.0,-1.5,1.0,342.0
40,2020-02-22,13.1,7,-0.3,▼,-5.0,-2.2,-2.0,349.0
41,2020-02-23,12.9,8,-0.2,▼,-6.0,-1.5,1.0,357.0
42,2020-02-24,12.8,5,-0.1,▼,-7.0,-0.8,-3.0,362.0
43,2020-02-25,12.9,9,0.1,▲,-6.0,0.8,4.0,371.0
44,2020-02-26,12.6,9,-0.3,▼,-7.0,-2.3,0.0,380.0
45,2020-02-27,12.9,7,0.3,▲,-6.0,2.4,-2.0,387.0
46,2020-02-28,13.1,7,0.2,▲,-5.0,1.6,0.0,394.0
47,2020-02-29,13.7,15,0.6,▲,-4.0,4.6,8.0,409.0
48,2020-03-01,13.6,13,-0.1,▼,-5.0,-0.7,-2.0,422.0
49,2020-03-02,14.5,6,0.9,▲,-4.0,6.6,-7.0,428.0
50,2020-03-03,15.2,8,0.7,▲,-3.0,4.8,2.0,436.0
51,2020-03-04,15.2,10,0.0,-,-3.0,0.0,2.0,446.0
52,2020-03-05,14.7,6,-0.5,▼,-4.0,-3.3,-4.0,452.0
53,2020-03-06,15.4,4,0.7,▲,-3.0,4.8,-2.0,456.0
54,2020-03-07,15.1,14,-0.3,▼,-4.0,-1.9,10.0,470.0
55,2020-03-08,13.6,13,-1.5,▼,-5.0,-9.9,-1.0,483.0
56,2020-03-09,13.3,9,-0.3,▼,-6.0,-2.2,-4.0,492.0
57,2020-03-10,13.4,13,0.1,▲,-5.0,0.8,4.0,505.0
58,2020-03-11,13.0,8,-0.4,▼,-6.0,-3.0,-5.0,513.0
59,2020-03-12,12.1,5,-0.9,▼,-7.0,-6.9,-3.0,518.0
60,2020-03-13,12.6,10,0.5,▲,-6.0,4.1,5.0,528.0
61,2020-03-14,12.8,10,0.2,▲,-5.0,1.6,0.0,538.0
62,2020-03-15,13.1,6,0.3,▲,-4.0,2.3,-4.0,544.0
63,2020-03-16,13.0,6,-0.1,▼,-5.0,-0.8,0.0,550.0
64,2020-03-17,13.2,12,0.2,▲,-4.0,1.5,6.0,562.0
65,2020-03-18,13.8,9,0.6,▲,-3.0,4.5,-3.0,571.0
66,2020-03-19,13.4,13,-0.4,▼,-4.0,-2.9,4.0,584.0
67,2020-03-20,13.1,7,-0.3,▼,-5.0,-2.2,-6.0,591.0
68,2020-03-21,12.5,11,-0.6,▼,-6.0,-4.6,4.0,602.0
69,2020-03-22,13.2,12,0.7,▲,-5.0,5.6,1.0,614.0
70,2020-03-23,13.0,9,-0.2,▼,-6.0,-1.5,-3.0,623.0
71,2020-03-24,12.6,7,-0.4,▼,-7.0,-3.1,-2.0,630.0
72,2020-03-25,12.0,5,-0.6,▼,-8.0,-4.8,-2.0,635.0
73,2020-03-26,11.5,13,-0.5,▼,-9.0,-4.2,8.0,648.0
74,2020-03-27,10.8,13,-0.7,▼,-10.0,-6.1,0.0,661.0
75,2020-03-28,9.8,22,-1.0,▼,-11.0,-9.3,9.0,683.0
76,2020-03-29,10.2,17,0.4,▲,-10.0,4.1,-5.0,700.0
77,2020-03-30,10.5,5,0.3,▲,-9.0,2.9,-12.0,705.0
78,2020-03-31,10.6,6,0.1,▲,-8.0,1.0,1.0,711.0
79,2020-04-01,10.2,9,-0.4,▼,-9.0,-3.8,3.0,720.0
80,2020-04-02,10.2,9,0.0,-,-9.0,0.0,0.0,729.0
81,2020-04-03,11.8,12,1.6,▲,-8.0,15.7,3.0,741.0
82,2020-04-04,11.5,8,-0.3,▼,-9.0,-2.5,-4.0,749.0
83,2020-04-05,11.6,14,0.1,▲,-8.0,0.9,6.0,763.0
84,2020-04-06,12.2,18,0.6,▲,-7.0,5.2,4.0,781.0
85,2020-04-07,12.0,13,-0.2,▼,-8.0,-1.6,-5.0,794.0
86,2020-04-08,9.8,15,-2.2,▼,-9.0,-18.3,2.0,809.0
87,2020-04-09,9.8,14,0.0,-,-9.0,0.0,-1.0,823.0
88,2020-04-10,9.4,13,-0.4,▼,-10.0,-4.1,-1.0,836.0
89,2020-04-11,8.4,7,-1.0,▼,-11.0,-10.6,-6.0,843.0
90,2020-04-12,8.4,19,0.0,-,-11.0,0.0,12.0,862.0
91,2020-04-13,8.6,8,0.2,▲,-10.0,2.4,-11.0,870.0
92,2020-04-14,8.5,10,-0.1,▼,-11.0,-1.2,2.0,880.0
93,2020-04-15,8.5,10,0.0,-,-11.0,0.0,0.0,890.0
94,2020-04-16,8.7,10,0.2,▲,-10.0,2.4,0.0,900.0
95,2020-04-17,8.7,10,0.0,-,-10.0,0.0,0.0,910.0
96,2020-04-18,8.5,7,-0.2,▼,-11.0,-2.3,-3.0,917.0
97,2020-04-19,8.4,13,-0.1,▼,-12.0,-1.2,6.0,930.0
98,2020-04-20,8.8,5,0.4,▲,-11.0,4.8,-8.0,935.0
99,2020-04-21,8.0,4,-0.8,▼,-12.0,-9.1,-1.0,939.0
100,2020-04-22,7.7,6,-0.3,▼,-13.0,-3.8,2.0,945.0
101,2020-04-23,7.5,14,-0.2,▼,-14.0,-2.6,8.0,959.0
102,2020-04-24,7.3,18,-0.2,▼,-15.0,-2.7,4.0,977.0
103,2020-04-25,7.0,15,-0.3,▼,-16.0,-4.1,-3.0,992.0
104,2020-04-26,7.6,12,0.6,▲,-15.0,8.6,-3.0,1004.0
105,2020-04-27,7.9,16,0.3,▲,-14.0,3.9,4.0,1020.0
106,2020-04-28,8.1,14,0.2,▲,-13.0,2.5,-2.0,1034.0
107,2020-04-29,8.5,14,0.4,▲,-12.0,4.9,0.0,1048.0
108,2020-04-30,8.3,10,-0.2,▼,-13.0,-2.4,-4.0,1058.0
109,2020-05-01,8.4,9,0.1,▲,-12.0,1.2,-1.0,1067.0
110,2020-05-02,8.2,14,-0.2,▼,-13.0,-2.4,5.0,1081.0
111,2020-05-03,8.1,12,-0.1,▼,-14.0,-1.2,-2.0,1093.0
112,2020-05-04,8.3,15,0.2,▲,-13.0,2.5,3.0,1108.0
113,2020-05-05,8.3,23,0.0,-,-13.0,0.0,8.0,1131.0
114,2020-05-06,8.3,14,0.0,-,-13.0,0.0,-9.0,1145.0
115,2020-05-07,8.1,10,-0.2,▼,-14.0,-2.4,-4.0,1155.0
116,2020-05-08,8.0,23,-0.1,▼,-15.0,-1.2,13.0,1178.0
117,2020-05-09,7.7,15,-0.3,▼,-16.0,-3.8,-8.0,1193.0
118,2020-05-10,7.9,10,0.2,▲,-15.0,2.6,-5.0,1203.0
119,2020-05-11,7.8,20,-0.1,▼,-16.0,-1.3,10.0,1223.0
120,2020-05-12,8.0,14,0.2,▲,-15.0,2.6,-6.0,1237.0
121,2020-05-13,8.0,10,0.0,-,-15.0,0.0,-4.0,1247.0
122,2020-05-14,7.9,14,-0.1,▼,-16.0,-1.2,4.0,1261.0
123,2020-05-15,7.8,17,-0.1,▼,-17.0,-1.3,3.0,1278.0
124,2020-05-16,8.0,19,0.2,▲,-16.0,2.6,2.0,1297.0
125,2020-05-17,8.0,18,0.0,-,-16.0,0.0,-1.0,1315.0
126,2020-05-18,8.0,8,0.0,-,-16.0,0.0,-10.0,1323.0
127,2020-05-19,7.8,15,-0.2,▼,-17.0,-2.5,7.0,1338.0
128,2020-05-20,7.8,13,0.0,-,-17.0,0.0,-2.0,1351.0
129,2020-05-21,7.8,14,0.0,-,-17.0,0.0,1.0,1365.0
130,2020-05-22,8.1,11,0.3,▲,-16.0,3.8,-3.0,1376.0
131,2020-05-23,8.3,11,0.2,▲,-15.0,2.5,0.0,1387.0
132,2020-05-24,8.5,11,0.2,▲,-14.0,2.4,0.0,1398.0
133,2020-05-25,8.7,8,0.2,▲,-13.0,2.4,-3.0,1406.0
134,2020-05-26,8.9,7,0.2,▲,-12.0,2.3,-1.0,1413.0
135,2020-05-27,8.9,5,0.0,-,-12.0,0.0,-2.0,1418.0
136,2020-05-28,8.9,8,0.0,-,-12.0,0.0,3.0,1426.0
137,2020-05-29,9.0,8,0.1,▲,-11.0,1.1,0.0,1434.0
138,2020-05-30,9.0,16,0.0,-,-11.0,0.0,8.0,1450.0
139,2020-05-31,8.8,15,-0.2,▼,-12.0,-2.2,-1.0,1465.0
140,2020-06-01,8.7,10,-0.1,▼,-13.0,-1.1,-5.0,1475.0
141,2020-06-02,8.7,15,0.0,-,-13.0,0.0,5.0,1490.0
142,2020-06-03,9.4,14,0.7,▲,-12.0,8.0,-1.0,1504.0
143,2020-06-04,9.1,14,-0.3,▼,-13.0,-3.2,0.0,1518.0
144,2020-06-05,9.3,12,0.2,▲,-12.0,2.2,-2.0,1530.0
145,2020-06-06,9.1,14,-0.2,▼,-13.0,-2.2,2.0,1544.0
146,2020-06-07,9.9,11,0.8,▲,-12.0,8.8,-3.0,1555.0
147,2020-06-08,9.3,6,-0.6,▼,-13.0,-6.1,-5.0,1561.0
148,2020-06-09,9.6,9,0.3,▲,-12.0,3.2,3.0,1570.0
149,2020-06-10,10.2,17,0.6,▲,-11.0,6.2,8.0,1587.0
150,2020-06-11,10.4,10,0.2,▲,-10.0,2.0,-7.0,1597.0
151,2020-06-12,9.3,7,-1.1,▼,-11.0,-10.6,-3.0,1604.0
152,2020-06-13,9.1,14,-0.2,▼,-12.0,-2.2,7.0,1618.0
153,2020-06-14,9.1,7,0.0,-,-12.0,0.0,-7.0,1625.0
154,2020-06-15,7.9,8,-1.2,▼,-13.0,-13.2,1.0,1633.0
155,2020-06-16,8.0,6,0.1,▲,-12.0,1.3,-2.0,1639.0
156,2020-06-17,8.4,17,0.4,▲,-11.0,5.0,11.0,1656.0
157,2020-06-18,8.6,6,0.2,▲,-10.0,2.4,-11.0,1662.0
158,2020-06-19,8.7,9,0.1,▲,-9.0,1.2,3.0,1671.0
159,2020-06-20,9.4,17,0.7,▲,-8.0,8.0,8.0,1688.0
160,2020-06-21,9.6,7,0.2,▲,-7.0,2.1,-10.0,1695.0
161,2020-06-22,9.3,9,-0.3,▼,-8.0,-3.1,2.0,1704.0
162,2020-06-23,9.1,11,-0.2,▼,-9.0,-2.2,2.0,1715.0
