,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,54.4,9,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,53.9,14,-0.5,▼,-1.0,-0.9,5.0,14.0
2,2020-01-15,52.3,10,-1.6,▼,-2.0,-3.0,-4.0,24.0
3,2020-01-16,53.5,11,1.2,▲,-1.0,2.3,1.0,35.0
4,2020-01-17,54.5,8,1.0,▲,0.0,1.9,-3.0,43.0
5,2020-01-18,54.5,8,0.0,-,0.0,0.0,0.0,51.0
6,2020-01-19,54.0,19,-0.5,▼,-1.0,-0.9,11.0,70.0
7,2020-01-20,56.0,8,2.0,▲,0.0,3.7,-11.0,78.0
8,2020-01-21,56.5,18,0.5,▲,1.0,0.9,10.0,96.0
9,2020-01-22,56.9,5,0.4,▲,2.0,0.7,-13.0,101.0
10,2020-01-23,57.1,14,0.2,▲,3.0,0.4,9.0,115.0
11,2020-01-24,58.6,16,1.5,▲,4.0,2.6,2.0,131.0
12,2020-01-25,58.4,9,-0.2,▼,3.0,-0.3,-7.0,140.0
13,2020-01-26,58.3,11,-0.1,▼,2.0,-0.2,2.0,151.0
14,2020-01-27,57.4,14,-0.9,▼,1.0,-1.5,3.0,165.0
15,2020-01-28,58.2,15,0.8,▲,2.0,1.4,1.0,180.0
16,2020-01-29,59.2,8,1.0,▲,3.0,1.7,-7.0,188.0
17,2020-01-30,60.3,11,1.1,▲,4.0,1.9,3.0,199.0
18,2020-01-31,61.9,12,1.6,▲,5.0,2.7,1.0,211.0
19,2020-02-01,63.7,10,1.8,▲,6.0,2.9,-2.0,221.0
20,2020-02-02,64.2,19,0.5,▲,7.0,0.8,9.0,240.0
21,2020-02-03,63.7,10,-0.5,▼,6.0,-0.8,-9.0,250.0
22,2020-02-04,62.8,16,-0.9,▼,5.0,-1.4,6.0,266.0
23,2020-02-05,60.8,5,-2.0,▼,4.0,-3.2,-11.0,271.0
24,2020-02-06,59.0,13,-1.8,▼,3.0,-3.0,8.0,284.0
25,2020-02-07,58.5,10,-0.5,▼,2.0,-0.8,-3.0,294.0
26,2020-02-08,58.5,14,0.0,-,2.0,0.0,4.0,308.0
27,2020-02-09,57.5,10,-1.0,▼,1.0,-1.7,-4.0,318.0
28,2020-02-10,58.2,14,0.7,▲,2.0,1.2,4.0,332.0
29,2020-02-11,58.7,12,0.5,▲,3.0,0.9,-2.0,344.0
30,2020-02-12,58.2,13,-0.5,▼,2.0,-0.9,1.0,357.0
31,2020-02-13,58.5,11,0.3,▲,3.0,0.5,-2.0,368.0
32,2020-02-14,59.5,9,1.0,▲,4.0,1.7,-2.0,377.0
33,2020-02-15,59.8,21,0.3,▲,5.0,0.5,12.0,398.0
34,2020-02-16,60.3,19,0.5,▲,6.0,0.8,-2.0,417.0
